,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:48.0,J. Richardson misses 2-pt jump shot from 14 ft,,0,0
1,1,11:45.0,,Defensive rebound by N. Batum,0,0
2,1,11:38.0,,J. Lamb makes 3-pt jump shot from 25 ft (assist by N. Batum),0,3
3,1,11:19.0,R. McGruder makes 2-pt jump shot from 7 ft,,2,3
4,1,11:02.0,,C. Zeller makes 2-pt layup from 5 ft (assist by K. Walker),2,5
5,1,10:52.0,Personal foul by J. Lamb (drawn by K. Olynyk),,2,5
6,1,10:38.0,G. Dragić misses 2-pt layup from 3 ft,,2,5
7,1,10:35.0,,Defensive rebound by N. Batum,2,5
8,1,10:24.0,,N. Batum makes 2-pt jump shot from 11 ft,2,7
9,1,9:59.0,R. McGruder misses 2-pt layup from 5 ft,,2,7
10,1,9:58.0,,Defensive rebound by N. Batum,2,7
11,1,9:55.0,,Turnover by N. Batum (bad pass),2,7
12,1,9:42.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by K. Olynyk),,5,7
13,1,9:29.0,,J. Lamb makes 2-pt layup from 1 ft (assist by K. Walker),5,9
14,1,9:23.0,Offensive foul by K. Olynyk (drawn by K. Walker),,5,9
15,1,9:23.0,Turnover by K. Olynyk (offensive foul),,5,9
16,1,9:04.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Williams),5,12
17,1,8:48.0,G. Dragić misses 2-pt layup from 10 ft (block by M. Williams),,5,12
18,1,8:48.0,Offensive rebound by Team,,5,12
19,1,8:36.0,J. Richardson misses 2-pt hook shot from 9 ft,,5,12
20,1,8:31.0,Offensive rebound by K. Olynyk,,5,12
21,1,8:31.0,K. Olynyk makes 2-pt layup at rim,,7,12
22,1,8:24.0,,N. Batum makes 2-pt layup from 2 ft (assist by K. Walker),7,14
23,1,8:10.0,K. Olynyk misses 3-pt jump shot from 26 ft,,7,14
24,1,8:06.0,,Defensive rebound by N. Batum,7,14
25,1,7:53.0,,K. Walker misses 3-pt jump shot from 26 ft,7,14
26,1,7:50.0,Defensive rebound by R. McGruder,,7,14
27,1,7:47.0,Turnover by H. Whiteside (3 sec),,7,14
28,1,7:29.0,,Shooting foul by H. Whiteside (drawn by N. Batum),7,14
29,1,7:29.0,,N. Batum misses free throw 1 of 2,7,14
30,1,7:29.0,,Offensive rebound by Team,7,14
31,1,7:29.0,,N. Batum makes free throw 2 of 2,7,15
32,1,7:19.0,G. Dragić misses 3-pt jump shot from 25 ft,,7,15
33,1,7:18.0,Offensive rebound by Team,,7,15
34,1,7:18.0,,Loose ball foul by C. Zeller (drawn by H. Whiteside),7,15
35,1,7:07.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by G. Dragić),,10,15
36,1,6:53.0,,M. Williams misses 2-pt layup from 2 ft,10,15
37,1,6:53.0,Defensive rebound by H. Whiteside,,10,15
38,1,6:41.0,J. Richardson makes 2-pt jump shot from 13 ft,,12,15
39,1,6:26.0,,Turnover by C. Zeller (traveling),12,15
40,1,6:26.0,,Charlotte full timeout,12,15
41,1,6:26.0,,M. Kidd-Gilchrist enters the game for M. Williams,12,15
42,1,6:12.0,Turnover by H. Whiteside (3 sec),,12,15
43,1,6:12.0,D. Wade enters the game for J. Richardson,,12,15
44,1,6:02.0,,C. Zeller misses 3-pt jump shot from 26 ft,12,15
45,1,5:58.0,Defensive rebound by H. Whiteside,,12,15
46,1,5:49.0,R. McGruder makes 3-pt jump shot from 24 ft (assist by K. Olynyk),,15,15
47,1,5:33.0,,J. Lamb misses 3-pt jump shot from 25 ft,15,15
48,1,5:30.0,Defensive rebound by H. Whiteside,,15,15
49,1,5:23.0,D. Wade misses 3-pt jump shot from 25 ft,,15,15
50,1,5:20.0,,Defensive rebound by M. Kidd-Gilchrist,15,15
51,1,5:11.0,,Personal foul by K. Olynyk (drawn by C. Zeller),15,15
52,1,5:11.0,J. Winslow enters the game for K. Olynyk,,15,15
53,1,5:06.0,,K. Walker misses 3-pt jump shot from 25 ft,15,15
54,1,5:03.0,Defensive rebound by H. Whiteside,,15,15
55,1,4:53.0,Personal foul by M. Kidd-Gilchrist (drawn by R. McGruder),,15,15
56,1,4:53.0,,W. Hernangómez enters the game for C. Zeller,15,15
57,1,4:38.0,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Winslow),,18,15
58,1,4:31.0,,K. Walker misses 2-pt layup from 2 ft (block by H. Whiteside),18,15
59,1,4:31.0,,Offensive rebound by Team,18,15
60,1,4:20.0,,N. Batum makes 3-pt jump shot from 26 ft,18,18
61,1,4:04.0,Turnover by G. Dragić (bad pass; steal by J. Lamb),,18,18
62,1,4:01.0,,Shooting foul by G. Dragić (drawn by N. Batum),18,18
63,1,4:01.0,,N. Batum makes free throw 1 of 2,18,19
64,1,4:01.0,,N. Batum makes free throw 2 of 2,18,20
65,1,3:52.0,Turnover by D. Wade (bad pass),,18,20
66,1,3:52.0,,M. Bridges enters the game for N. Batum,18,20
67,1,3:37.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 5 ft (assist by K. Walker),18,22
68,1,3:31.0,R. McGruder misses 3-pt jump shot from 23 ft,,18,22
69,1,3:28.0,,Defensive rebound by J. Lamb,18,22
70,1,3:21.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,18,22
