,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:45.0,D. Jordan makes 2-pt layup from 1 ft (assist by L. Dončić),,2,0
1,1,11:23.0,,M. Harkless misses 2-pt jump shot from 15 ft,2,0
2,1,11:21.0,Defensive rebound by D. Jordan,,2,0
3,1,11:09.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,4,0
4,1,11:09.0,Shooting foul by M. Harkless (drawn by D. Jordan),,4,0
5,1,11:09.0,D. Jordan makes free throw 1 of 1,,5,0
6,1,10:57.0,,C. McCollum makes 2-pt jump shot from 21 ft (assist by J. Nurkić),5,2
7,1,10:45.0,L. Dončić makes 2-pt layup from 3 ft,,7,2
8,1,10:34.0,,D. Lillard makes 2-pt jump shot from 20 ft,7,4
9,1,10:16.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,10,4
10,1,10:03.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),10,6
11,1,9:45.0,W. Matthews misses 3-pt jump shot from 25 ft (block by D. Lillard),,10,6
12,1,9:41.0,,Defensive rebound by C. McCollum,10,6
13,1,9:36.0,,C. McCollum misses 3-pt jump shot from 26 ft,10,6
14,1,9:32.0,Defensive rebound by J. Brunson,,10,6
15,1,9:25.0,H. Barnes misses 2-pt jump shot from 4 ft,,10,6
16,1,9:25.0,,Defensive rebound by D. Lillard,10,6
17,1,9:16.0,,D. Lillard misses 2-pt layup from 1 ft,10,6
18,1,9:14.0,Defensive rebound by L. Dončić,,10,6
19,1,9:10.0,L. Dončić makes 3-pt jump shot from 25 ft,,13,6
20,1,8:55.0,,Personal foul by W. Matthews (drawn by A. Aminu),13,6
21,1,8:50.0,,D. Lillard misses 3-pt jump shot from 26 ft,13,6
22,1,8:47.0,Defensive rebound by L. Dončić,,13,6
23,1,8:41.0,L. Dončić misses 2-pt layup from 2 ft,,13,6
24,1,8:39.0,,Defensive rebound by J. Nurkić,13,6
25,1,8:25.0,,M. Harkless makes 2-pt layup from 1 ft,13,8
26,1,8:04.0,W. Matthews misses 3-pt jump shot from 25 ft,,13,8
27,1,8:02.0,,Defensive rebound by J. Nurkić,13,8
28,1,7:52.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),13,10
29,1,7:33.0,J. Brunson makes 2-pt layup from 2 ft,,15,10
30,1,7:19.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),15,12
31,1,7:03.0,Personal foul by D. Lillard (drawn by H. Barnes),,15,12
32,1,6:53.0,D. Jordan misses 2-pt hook shot from 4 ft,,15,12
33,1,6:48.0,Offensive rebound by L. Dončić,,15,12
34,1,6:48.0,L. Dončić makes 2-pt layup at rim,,17,12
35,1,6:42.0,,D. Lillard makes 2-pt jump shot from 18 ft,17,14
36,1,6:28.0,H. Barnes misses 3-pt jump shot from 23 ft,,17,14
37,1,6:27.0,Offensive rebound by Team,,17,14
38,1,6:27.0,,Portland full timeout,17,14
39,1,6:19.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,19,14
40,1,6:04.0,,J. Nurkić makes 2-pt dunk from 2 ft (assist by C. McCollum),19,16
41,1,5:45.0,W. Matthews misses 2-pt jump shot from 19 ft,,19,16
42,1,5:43.0,,Defensive rebound by J. Nurkić,19,16
43,1,5:39.0,,Offensive foul by M. Harkless (drawn by J. Brunson),19,16
44,1,5:39.0,,Turnover by M. Harkless (offensive foul),19,16
45,1,5:39.0,,E. Turner enters the game for M. Harkless,19,16
46,1,5:27.0,L. Dončić misses 2-pt jump shot from 12 ft,,19,16
47,1,5:25.0,,Defensive rebound by J. Nurkić,19,16
48,1,5:15.0,,E. Turner misses 2-pt hook shot from 3 ft,19,16
49,1,5:13.0,,Offensive rebound by E. Turner,19,16
50,1,5:12.0,,E. Turner misses 2-pt layup from 1 ft,19,16
51,1,5:12.0,,Offensive rebound by J. Nurkić,19,16
52,1,5:12.0,,Shooting foul by D. Jordan (drawn by J. Nurkić),19,16
53,1,5:12.0,,J. Nurkić misses free throw 1 of 2,19,16
54,1,5:12.0,,Offensive rebound by Team,19,16
55,1,5:12.0,,J. Nurkić misses free throw 2 of 2,19,16
56,1,5:09.0,Defensive rebound by W. Matthews,,19,16
57,1,4:47.0,L. Dončić misses 2-pt jump shot from 16 ft,,19,16
58,1,4:47.0,Offensive rebound by Team,,19,16
59,1,4:47.0,Turnover by Team (shot clock),,19,16
60,1,4:31.0,,D. Lillard misses 2-pt jump shot from 21 ft,19,16
61,1,4:31.0,,Offensive rebound by J. Nurkić,19,16
62,1,4:31.0,,J. Nurkić misses 2-pt layup at rim,19,16
63,1,4:31.0,,Offensive rebound by J. Nurkić,19,16
64,1,4:27.0,,J. Nurkić makes 2-pt layup from 2 ft,19,18
65,1,4:09.0,J. Brunson makes 2-pt jump shot from 10 ft,,21,18
66,1,3:54.0,,D. Lillard makes 3-pt jump shot from 26 ft,21,21
67,1,3:52.0,Dallas full timeout,,21,21
68,1,3:52.0,J. Barea enters the game for J. Brunson,,21,21
69,1,3:52.0,,S. Curry enters the game for C. McCollum,21,21
70,1,3:35.0,J. Barea misses 2-pt layup from 3 ft,,21,21
71,1,3:33.0,,Defensive rebound by A. Aminu,21,21
72,1,3:21.0,,J. Nurkić misses 2-pt hook shot from 4 ft,21,21
73,1,3:19.0,Defensive rebound by D. Jordan,,21,21
74,1,3:06.0,W. Matthews misses 2-pt jump shot from 7 ft,,21,21
75,1,3:04.0,,Defensive rebound by J. Nurkić,21,21
76,1,2:58.0,,Offensive foul by J. Nurkić (drawn by W. Matthews),21,21
77,1,2:58.0,,Turnover by J. Nurkić (offensive foul),21,21
78,1,2:58.0,D. Finney-Smith enters the game for H. Barnes,,21,21
79,1,2:58.0,D. Harris enters the game for L. Dončić,,21,21
80,1,2:58.0,M. Kleber enters the game for D. Jordan,,21,21
81,1,2:58.0,D. Powell enters the game for W. Matthews,,21,21
82,1,2:58.0,,Z. Collins enters the game for A. Aminu,21,21
83,1,2:58.0,,M. Leonard enters the game for J. Nurkić,21,21
84,1,2:51.0,D. Powell misses 3-pt jump shot from 25 ft,,21,21
85,1,2:48.0,,Defensive rebound by Z. Collins,21,21
86,1,2:34.0,,E. Turner misses 2-pt jump shot from 6 ft (block by M. Kleber),21,21
87,1,2:30.0,Defensive rebound by M. Kleber,,21,21
88,1,2:18.0,J. Barea misses 2-pt jump shot from 6 ft,,21,21
89,1,2:15.0,,Defensive rebound by E. Turner,21,21
90,1,2:10.0,,M. Leonard misses 3-pt jump shot from 28 ft,21,21
91,1,2:07.0,Defensive rebound by D. Harris,,21,21
92,1,2:01.0,Shooting foul by M. Leonard (drawn by D. Powell),,21,21
93,1,2:01.0,D. Powell makes free throw 1 of 2,,22,21
94,1,2:01.0,,N. Stauskas enters the game for D. Lillard,22,21
95,1,2:01.0,D. Powell makes free throw 2 of 2,,23,21
96,1,1:50.0,,Turnover by Z. Collins (traveling),23,21
97,1,1:36.0,D. Harris misses 2-pt jump shot from 2 ft,,23,21
98,1,1:33.0,,Defensive rebound by N. Stauskas,23,21
