,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,,N. Bjelica makes 2-pt hook shot from 4 ft (assist by W. Cauley-Stein),0,2
1,1,11:31.0,Turnover by B. Ingram (out of bounds lost ball),,0,2
2,1,11:21.0,,W. Cauley-Stein makes 2-pt hook shot from 5 ft (assist by N. Bjelica),0,4
3,1,11:07.0,K. Kuzma makes 2-pt jump shot from 19 ft (assist by L. Ball),,2,4
4,1,10:53.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),2,6
5,1,10:43.0,K. Kuzma misses 3-pt jump shot from 25 ft,,2,6
6,1,10:39.0,,Defensive rebound by B. Hield,2,6
7,1,10:29.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by I. Shumpert),2,8
8,1,10:17.0,I. Zubac makes 2-pt hook shot from 5 ft (assist by B. Ingram),,4,8
9,1,10:05.0,,Turnover by D. Fox (bad pass; steal by B. Ingram),4,8
10,1,10:00.0,J. Hart misses 2-pt layup from 2 ft,,4,8
11,1,9:57.0,Offensive rebound by B. Ingram,,4,8
12,1,9:57.0,B. Ingram misses 2-pt layup from 1 ft,,4,8
13,1,9:56.0,,Defensive rebound by N. Bjelica,4,8
14,1,9:51.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by D. Fox),4,11
15,1,9:27.0,B. Ingram misses 2-pt layup from 2 ft,,4,11
16,1,9:24.0,,Defensive rebound by D. Fox,4,11
17,1,9:21.0,,N. Bjelica makes 2-pt jump shot from 21 ft (assist by D. Fox),4,13
18,1,9:20.0,LA Lakers full timeout,,4,13
19,1,9:12.0,Turnover by L. Ball (bad pass; steal by B. Hield),,4,13
20,1,9:05.0,,I. Shumpert misses 2-pt layup from 3 ft,4,13
21,1,9:03.0,Defensive rebound by I. Zubac,,4,13
22,1,9:00.0,L. Ball misses 2-pt layup from 1 ft,,4,13
