,QUARTER,TIME_REMAINING,TORONTO_ACTION,MINNESOTA_ACTION,TORONTO_SCORE,MINNESOTA_SCORE
0,1,11:46.0,D. Green misses 2-pt jump shot from 7 ft,,0,0
1,1,11:45.0,Offensive rebound by M. Gasol,,0,0
2,1,11:45.0,Shooting foul by G. Dieng (drawn by M. Gasol),,0,0
3,1,11:45.0,M. Gasol misses free throw 1 of 2,,0,0
4,1,11:45.0,Offensive rebound by Team,,0,0
5,1,11:45.0,M. Gasol misses free throw 2 of 2,,0,0
6,1,11:43.0,,Defensive rebound by G. Dieng,0,0
7,1,11:30.0,,A. Wiggins makes 2-pt jump shot from 14 ft (assist by T. Jones),0,2
8,1,11:14.0,D. Green makes 2-pt jump shot from 7 ft,,2,2
9,1,10:55.0,,J. Okogie misses 3-pt jump shot from 25 ft,2,2
10,1,10:52.0,Defensive rebound by K. Leonard,,2,2
11,1,10:47.0,K. Leonard makes 3-pt jump shot from 24 ft,,5,2
12,1,10:35.0,,T. Jones makes 2-pt jump shot from 7 ft,5,4
13,1,10:26.0,K. Leonard misses 3-pt jump shot from 25 ft,,5,4
14,1,10:23.0,,Defensive rebound by G. Dieng,5,4
15,1,10:19.0,,A. Wiggins misses 3-pt jump shot from 25 ft,5,4
16,1,10:16.0,Defensive rebound by M. Gasol,,5,4
17,1,9:56.0,P. Siakam makes 2-pt jump shot from 19 ft,,7,4
18,1,9:40.0,,G. Dieng makes 2-pt jump shot from 21 ft (assist by T. Jones),7,6
19,1,9:27.0,K. Leonard misses 2-pt jump shot from 21 ft,,7,6
20,1,9:24.0,,Defensive rebound by G. Dieng,7,6
21,1,9:19.0,,A. Wiggins misses 2-pt layup from 4 ft (block by K. Leonard),7,6
22,1,9:18.0,,Offensive rebound by Team,7,6
23,1,9:16.0,,D. Šarić misses 2-pt jump shot from 22 ft,7,6
24,1,9:13.0,Defensive rebound by F. VanVleet,,7,6
25,1,9:08.0,F. VanVleet makes 2-pt layup from 1 ft,,9,6
26,1,8:49.0,,T. Jones misses 3-pt jump shot from 25 ft,9,6
27,1,8:45.0,Defensive rebound by P. Siakam,,9,6
28,1,8:42.0,Shooting foul by D. Šarić (drawn by P. Siakam),,9,6
29,1,8:42.0,P. Siakam misses free throw 1 of 2,,9,6
30,1,8:42.0,Offensive rebound by Team,,9,6
31,1,8:42.0,P. Siakam makes free throw 2 of 2,,10,6
32,1,8:20.0,,Turnover by G. Dieng (lost ball; steal by M. Gasol),10,6
33,1,8:15.0,P. Siakam misses 3-pt jump shot from 24 ft,,10,6
34,1,8:12.0,,Defensive rebound by D. Šarić,10,6
35,1,7:58.0,,T. Jones makes 2-pt jump shot from 8 ft,10,8
36,1,7:40.0,K. Leonard misses 2-pt layup from 5 ft,,10,8
37,1,7:37.0,,Defensive rebound by G. Dieng,10,8
38,1,7:29.0,,D. Šarić misses 3-pt jump shot from 25 ft,10,8
39,1,7:27.0,Defensive rebound by F. VanVleet,,10,8
40,1,7:24.0,P. Siakam misses 2-pt layup at rim,,10,8
41,1,7:20.0,,Defensive rebound by T. Jones,10,8
42,1,7:16.0,,G. Dieng makes 3-pt jump shot from 24 ft (assist by T. Jones),10,11
43,1,6:54.0,K. Leonard misses 2-pt layup from 2 ft (block by G. Dieng),,10,11
44,1,6:52.0,,Defensive rebound by D. Šarić,10,11
45,1,6:46.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by T. Jones),10,14
46,1,6:25.0,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),,13,14
47,1,6:08.0,,D. Šarić misses 3-pt jump shot from 25 ft,13,14
48,1,6:05.0,Defensive rebound by P. Siakam,,13,14
