,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
0,1,11:41.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),0,2
1,1,11:23.0,T. Ferguson misses 3-pt jump shot from 26 ft,,0,2
2,1,11:20.0,,Defensive rebound by R. Bullock,0,2
3,1,11:04.0,,A. Drummond misses 2-pt layup from 2 ft,0,2
4,1,11:03.0,Defensive rebound by S. Adams,,0,2
5,1,10:58.0,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),,2,2
6,1,10:43.0,,G. Robinson misses 2-pt layup from 1 ft,2,2
7,1,10:42.0,Defensive rebound by S. Adams,,2,2
8,1,10:34.0,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),,5,2
9,1,10:07.0,,B. Griffin misses 2-pt jump shot from 12 ft,5,2
10,1,10:06.0,Defensive rebound by P. George,,5,2
11,1,9:55.0,R. Westbrook misses 3-pt jump shot from 25 ft,,5,2
12,1,9:52.0,,Defensive rebound by R. Jackson,5,2
13,1,9:48.0,,R. Jackson makes 2-pt layup from 1 ft,5,4
14,1,9:36.0,Personal foul by A. Drummond (drawn by P. George),,5,4
15,1,9:30.0,P. George makes 2-pt layup from 3 ft,,7,4
16,1,9:17.0,,R. Bullock misses 2-pt jump shot from 10 ft,7,4
17,1,9:15.0,Defensive rebound by P. George,,7,4
18,1,9:09.0,J. Grant makes 2-pt layup from 6 ft (assist by T. Ferguson),,9,4
19,1,9:03.0,,Detroit full timeout,9,4
20,1,9:03.0,,L. Galloway enters the game for R. Bullock,9,4
21,1,8:52.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,4
22,1,8:49.0,Defensive rebound by T. Ferguson,,9,4
23,1,8:46.0,P. George misses 3-pt jump shot from 26 ft,,9,4
24,1,8:41.0,,Defensive rebound by G. Robinson,9,4
25,1,8:35.0,,A. Drummond makes 2-pt layup from 2 ft,9,6
