,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),0,2
1,1,11:28.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,2
2,1,11:25.0,,Defensive rebound by T. Ferguson,0,2
3,1,11:18.0,,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),0,4
4,1,10:58.0,Turnover by T. Ariza (bad pass; steal by S. Adams),,0,4
5,1,10:51.0,,P. George makes 2-pt dunk from 1 ft,0,6
6,1,10:36.0,J. Green misses 2-pt jump shot from 9 ft,,0,6
7,1,10:36.0,Offensive rebound by J. Green,,0,6
8,1,10:36.0,Shooting foul by J. Grant (drawn by J. Green),,0,6
9,1,10:36.0,J. Green makes free throw 1 of 2,,1,6
10,1,10:36.0,J. Green makes free throw 2 of 2,,2,6
11,1,10:27.0,,Turnover by R. Westbrook (bad pass; steal by T. Bryant),2,6
12,1,10:22.0,B. Beal misses 3-pt jump shot from 26 ft,,2,6
13,1,10:20.0,,Defensive rebound by R. Westbrook,2,6
14,1,10:14.0,,R. Westbrook misses 2-pt jump shot from 9 ft,2,6
15,1,10:11.0,Defensive rebound by J. Green,,2,6
16,1,9:54.0,T. Satoranský makes 2-pt jump shot from 10 ft (assist by B. Beal),,4,6
17,1,9:42.0,,T. Ferguson misses 3-pt jump shot from 25 ft,4,6
18,1,9:39.0,Defensive rebound by J. Green,,4,6
19,1,9:30.0,,Violation by Team (kicked ball),4,6
20,1,9:25.0,J. Green misses 2-pt jump shot from 16 ft,,4,6
21,1,9:21.0,,Defensive rebound by S. Adams,4,6
22,1,9:07.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),4,8
23,1,9:07.0,,Shooting foul by J. Green (drawn by P. George),4,8
24,1,9:07.0,,P. George makes free throw 1 of 1,4,9
25,1,8:53.0,B. Beal misses 2-pt jump shot from 15 ft,,4,9
26,1,8:50.0,,Defensive rebound by R. Westbrook,4,9
27,1,8:39.0,,Shooting foul by B. Beal (drawn by S. Adams),4,9
28,1,8:39.0,,S. Adams makes free throw 1 of 2,4,10
29,1,8:39.0,,S. Adams makes free throw 2 of 2,4,11
30,1,8:25.0,T. Bryant makes 2-pt jump shot from 10 ft (assist by T. Ariza),,6,11
31,1,8:16.0,,R. Westbrook misses 2-pt jump shot from 12 ft,6,11
32,1,8:13.0,Defensive rebound by T. Bryant,,6,11
33,1,8:06.0,T. Ariza misses 2-pt jump shot from 15 ft,,6,11
34,1,8:02.0,,Defensive rebound by R. Westbrook,6,11
35,1,7:59.0,,Turnover by R. Westbrook (bad pass; steal by B. Beal),6,11
36,1,7:47.0,B. Beal misses 2-pt layup from 1 ft,,6,11
37,1,7:45.0,Offensive rebound by Team,,6,11
38,1,7:30.0,B. Beal misses 2-pt jump shot from 22 ft,,6,11
39,1,7:29.0,,Defensive rebound by R. Westbrook,6,11
40,1,7:26.0,,Turnover by R. Westbrook (bad pass; steal by B. Beal),6,11
41,1,7:19.0,Washington full timeout,,6,11
42,1,7:12.0,Shooting foul by R. Westbrook (drawn by T. Satoranský),,6,11
43,1,7:12.0,T. Satoranský makes free throw 1 of 2,,7,11
44,1,7:12.0,T. Satoranský misses free throw 2 of 2,,7,11
45,1,7:08.0,,Defensive rebound by R. Westbrook,7,11
46,1,6:56.0,,S. Adams makes 2-pt layup from 1 ft,7,13
47,1,6:39.0,Turnover by T. Bryant (bad pass; steal by S. Adams),,7,13
48,1,6:36.0,,Turnover by J. Grant (step out of bounds),7,13
49,1,6:22.0,Turnover by J. Green (lost ball; steal by T. Ferguson),,7,13
50,1,6:10.0,,R. Westbrook makes 3-pt jump shot from 22 ft (assist by P. George),7,16
51,1,5:51.0,T. Satoranský misses 3-pt jump shot from 26 ft,,7,16
52,1,5:49.0,,Defensive rebound by P. George,7,16
53,1,5:41.0,,S. Adams makes 2-pt layup from 1 ft (assist by P. George),7,18
54,1,5:25.0,T. Ariza misses 3-pt jump shot from 25 ft,,7,18
55,1,5:22.0,Offensive rebound by T. Satoranský,,7,18
56,1,5:16.0,B. Beal makes 3-pt jump shot from 23 ft (assist by T. Ariza),,10,18
57,1,5:08.0,,P. George misses 3-pt jump shot from 24 ft,10,18
58,1,5:06.0,Defensive rebound by T. Ariza,,10,18
59,1,4:55.0,B. Beal makes 2-pt jump shot from 21 ft,,12,18
60,1,4:38.0,,J. Grant makes 2-pt layup from 1 ft,12,20
61,1,4:26.0,B. Beal misses 2-pt jump shot from 7 ft,,12,20
62,1,4:23.0,Offensive rebound by B. Beal,,12,20
63,1,4:23.0,B. Beal misses 2-pt layup from 1 ft,,12,20
64,1,4:23.0,Offensive rebound by T. Bryant,,12,20
65,1,4:16.0,T. Bryant makes 2-pt jump shot from 12 ft (assist by T. Satoranský),,14,20
66,1,4:06.0,,R. Westbrook misses 2-pt jump shot from 16 ft,14,20
67,1,4:03.0,Defensive rebound by T. Bryant,,14,20
68,1,3:53.0,T. Ariza misses 2-pt layup from 2 ft,,14,20
69,1,3:51.0,,Defensive rebound by P. George,14,20
70,1,3:42.0,,P. George misses 2-pt jump shot from 13 ft,14,20
71,1,3:39.0,Defensive rebound by T. Bryant,,14,20
