,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHICAGO_ACTION,MILWAUKEE_SCORE,CHICAGO_SCORE
0,1,11:35.0,K. Middleton makes 2-pt jump shot from 20 ft,,2,0
1,1,11:21.0,,L. Markkanen makes 2-pt jump shot from 22 ft (assist by T. Luwawu-Cabarrot),2,2
2,1,11:10.0,B. Lopez misses 3-pt jump shot from 27 ft,,2,2
3,1,11:08.0,,Defensive rebound by Z. LaVine,2,2
4,1,10:58.0,,L. Markkanen misses 2-pt layup from 4 ft (block by B. Lopez),2,2
5,1,10:56.0,Defensive rebound by E. İlyasova,,2,2
6,1,10:52.0,M. Brogdon misses 3-pt jump shot from 26 ft,,2,2
7,1,10:46.0,Offensive rebound by E. Bledsoe,,2,2
8,1,10:34.0,Turnover by E. Bledsoe (bad pass; steal by L. Markkanen),,2,2
9,1,10:27.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by R. Lopez),2,5
10,1,10:06.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,2,5
11,1,10:01.0,,Defensive rebound by L. Markkanen,2,5
12,1,9:50.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by R. Lopez),2,8
13,1,9:36.0,B. Lopez misses 3-pt jump shot from 25 ft,,2,8
14,1,9:33.0,,Defensive rebound by T. Luwawu-Cabarrot,2,8
15,1,9:28.0,,Personal foul by K. Middleton (drawn by R. Arcidiacono),2,8
16,1,9:15.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by T. Luwawu-Cabarrot),2,10
17,1,9:15.0,Milwaukee full timeout,,2,10
18,1,8:58.0,K. Middleton misses 2-pt jump shot from 12 ft,,2,10
19,1,8:54.0,,Defensive rebound by L. Markkanen,2,10
20,1,8:48.0,,R. Arcidiacono misses 2-pt jump shot from 8 ft,2,10
21,1,8:46.0,Defensive rebound by K. Middleton,,2,10
22,1,8:42.0,K. Middleton makes 2-pt layup from 1 ft,,4,10
23,1,8:23.0,,L. Markkanen misses 2-pt jump shot from 12 ft,4,10
24,1,8:21.0,Defensive rebound by B. Lopez,,4,10
25,1,8:10.0,B. Lopez makes 2-pt layup from 2 ft,,6,10
26,1,7:51.0,,Z. LaVine misses 2-pt jump shot from 23 ft,6,10
27,1,7:49.0,,Offensive rebound by Team,6,10
28,1,7:44.0,,L. Markkanen misses 2-pt jump shot from 20 ft,6,10
29,1,7:40.0,Defensive rebound by E. Bledsoe,,6,10
30,1,7:31.0,Shooting foul by Z. LaVine (drawn by E. İlyasova),,6,10
31,1,7:31.0,E. İlyasova misses free throw 1 of 2,,6,10
32,1,7:31.0,Offensive rebound by Team,,6,10
33,1,7:31.0,P. Connaughton enters the game for M. Brogdon,,6,10
34,1,7:31.0,E. İlyasova makes free throw 2 of 2,,7,10
35,1,7:21.0,,R. Lopez makes 2-pt jump shot from 6 ft (assist by R. Arcidiacono),7,12
36,1,7:00.0,P. Connaughton makes 2-pt layup from 2 ft (assist by B. Lopez),,9,12
37,1,6:47.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 27 ft,9,12
38,1,6:42.0,Defensive rebound by K. Middleton,,9,12
39,1,6:39.0,K. Middleton misses 3-pt jump shot from 25 ft,,9,12
40,1,6:39.0,,Defensive rebound by Z. LaVine,9,12
41,1,6:31.0,,Z. LaVine misses 2-pt layup from 3 ft (block by B. Lopez),9,12
42,1,6:31.0,Defensive rebound by Team,,9,12
43,1,6:31.0,N. Mirotić enters the game for E. İlyasova,,9,12
44,1,6:16.0,K. Middleton misses 2-pt jump shot from 21 ft,,9,12
45,1,6:11.0,,Defensive rebound by T. Luwawu-Cabarrot,9,12
