,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
0,1,11:45.0,,D. Jordan misses 2-pt hook shot from 3 ft,0,0
1,1,11:43.0,Defensive rebound by D. Dedmon,,0,0
2,1,11:31.0,K. Bazemore misses 2-pt jump shot from 19 ft,,0,0
3,1,11:29.0,,Defensive rebound by D. Jordan,0,0
4,1,11:14.0,,H. Barnes makes 3-pt jump shot from 25 ft,0,3
5,1,10:58.0,J. Collins misses 3-pt jump shot from 25 ft,,0,3
6,1,10:56.0,,Defensive rebound by L. Dončić,0,3
7,1,10:52.0,,L. Dončić makes 2-pt layup from 1 ft,0,5
8,1,10:28.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,3,5
9,1,10:11.0,,Personal foul by D. Dedmon (drawn by D. Jordan),3,5
10,1,10:01.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),3,7
11,1,9:51.0,T. Young misses 2-pt layup from 1 ft,,3,7
12,1,9:49.0,Offensive rebound by J. Collins,,3,7
13,1,9:48.0,J. Collins makes 2-pt layup at rim,,5,7
14,1,9:40.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by J. Brunson),5,10
15,1,9:32.0,Personal foul by J. Brunson (drawn by T. Young),,5,10
16,1,9:27.0,K. Huerter misses 2-pt jump shot from 12 ft,,5,10
17,1,9:24.0,,Defensive rebound by D. Jordan,5,10
18,1,9:18.0,,Shooting foul by K. Bazemore (drawn by L. Dončić),5,10
19,1,9:18.0,,L. Dončić makes free throw 1 of 2,5,11
20,1,9:18.0,,L. Dončić makes free throw 2 of 2,5,12
21,1,9:05.0,J. Collins misses 2-pt jump shot from 6 ft,,5,12
22,1,9:03.0,Offensive rebound by Team,,5,12
23,1,8:51.0,K. Bazemore makes 2-pt jump shot from 17 ft,,7,12
24,1,8:39.0,,Personal foul by T. Young (drawn by L. Dončić),7,12
25,1,8:36.0,,L. Dončić misses 3-pt jump shot from 26 ft,7,12
26,1,8:32.0,Defensive rebound by K. Bazemore,,7,12
27,1,8:32.0,Personal foul by H. Barnes (drawn by J. Collins),,7,12
28,1,8:25.0,D. Dedmon makes 2-pt jump shot from 3 ft (assist by T. Young),,9,12
29,1,8:08.0,,Turnover by D. Jordan (offensive foul),9,12
30,1,8:08.0,,Offensive foul by D. Jordan (drawn by J. Collins),9,12
31,1,7:54.0,D. Dedmon misses 3-pt jump shot from 25 ft,,9,12
32,1,7:51.0,,Defensive rebound by L. Dončić,9,12
33,1,7:44.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by L. Dončić),9,15
34,1,7:16.0,J. Collins misses 2-pt hook shot from 2 ft,,9,15
35,1,7:15.0,Offensive rebound by J. Collins,,9,15
