,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,L. Markkanen misses 2-pt hook shot from 7 ft,,0,0
1,1,11:35.0,,Defensive rebound by D. Gallinari,0,0
2,1,11:31.0,,Turnover by D. Gallinari (bad pass; steal by R. Lopez),0,0
3,1,11:25.0,Z. LaVine misses 3-pt jump shot from 25 ft,,0,0
4,1,11:18.0,,Defensive rebound by D. Gallinari,0,0
5,1,11:13.0,,Personal foul by Z. LaVine (drawn by P. Beverley),0,0
6,1,11:01.0,,D. Gallinari misses 2-pt jump shot from 17 ft,0,0
7,1,10:58.0,,Offensive rebound by P. Beverley,0,0
8,1,10:56.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,0,0
9,1,10:53.0,Defensive rebound by L. Markkanen,,0,0
10,1,10:47.0,L. Markkanen makes 2-pt jump shot from 3 ft,,2,0
11,1,10:47.0,Shooting foul by I. Zubac (drawn by L. Markkanen),,2,0
12,1,10:47.0,L. Markkanen misses free throw 1 of 1,,2,0
13,1,10:45.0,,Defensive rebound by L. Shamet,2,0
14,1,10:31.0,,Turnover by L. Shamet (out of bounds lost ball),2,0
15,1,10:16.0,L. Markkanen misses 2-pt jump shot from 14 ft,,2,0
16,1,10:11.0,,Defensive rebound by L. Shamet,2,0
17,1,10:06.0,,L. Shamet misses 2-pt jump shot from 18 ft,2,0
18,1,10:02.0,Defensive rebound by Z. LaVine,,2,0
19,1,9:52.0,K. Dunn misses 2-pt jump shot from 10 ft,,2,0
20,1,9:49.0,,Defensive rebound by D. Gallinari,2,0
21,1,9:44.0,,Shooting foul by L. Markkanen (drawn by D. Gallinari),2,0
22,1,9:44.0,,D. Gallinari makes free throw 1 of 2,2,1
23,1,9:44.0,,D. Gallinari makes free throw 2 of 2,2,2
24,1,9:32.0,O. Porter misses 2-pt jump shot from 19 ft,,2,2
25,1,9:29.0,,Defensive rebound by I. Zubac,2,2
26,1,9:22.0,,I. Zubac misses 2-pt layup from 5 ft (block by R. Lopez),2,2
27,1,9:22.0,,Offensive rebound by Team,2,2
28,1,9:20.0,,L. Shamet misses 3-pt jump shot from 24 ft,2,2
29,1,9:17.0,Defensive rebound by K. Dunn,,2,2
30,1,9:07.0,R. Lopez misses 2-pt hook shot from 6 ft,,2,2
31,1,9:03.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
32,1,8:58.0,,D. Gallinari makes 2-pt jump shot from 9 ft,2,4
33,1,8:36.0,Z. LaVine makes 2-pt layup from 2 ft,,4,4
34,1,8:23.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft (assist by I. Zubac),4,6
35,1,8:17.0,Personal foul by S. Gilgeous-Alexander (drawn by K. Dunn),,4,6
36,1,8:04.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by Z. LaVine),,6,6
37,1,7:53.0,,Shooting foul by K. Dunn (drawn by S. Gilgeous-Alexander),6,6
38,1,7:53.0,,S. Gilgeous-Alexander makes free throw 1 of 2,6,7
39,1,7:53.0,,S. Gilgeous-Alexander misses free throw 2 of 2,6,7
40,1,7:50.0,Defensive rebound by O. Porter,,6,7
41,1,7:42.0,Z. LaVine makes 2-pt layup from 2 ft,,8,7
42,1,7:25.0,,P. Beverley makes 2-pt jump shot from 4 ft,8,9
