,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHOENIX_ACTION,ATLANTA_SCORE,PHOENIX_SCORE
0,1,11:40.0,J. Collins misses 2-pt layup from 1 ft,,0,0
1,1,11:35.0,Offensive rebound by J. Collins,,0,0
2,1,11:35.0,J. Collins makes 2-pt dunk at rim,,2,0
3,1,11:21.0,,D. Ayton makes 2-pt dunk from 1 ft (assist by E. Okobo),2,2
4,1,11:08.0,T. Young makes 2-pt layup from 1 ft,,4,2
5,1,10:59.0,,Shooting foul by J. Collins (drawn by J. Jackson),4,2
6,1,10:59.0,,J. Jackson makes free throw 1 of 2,4,3
7,1,10:59.0,,J. Jackson makes free throw 2 of 2,4,4
8,1,10:46.0,Turnover by T. Young (bad pass; steal by J. Jackson),,4,4
9,1,10:44.0,,J. Jackson makes 2-pt dunk from 1 ft,4,6
10,1,10:30.0,Turnover by K. Huerter (traveling),,4,6
11,1,10:14.0,,D. Ayton misses 2-pt layup from 1 ft (block by D. Dedmon),4,6
12,1,10:14.0,,Offensive rebound by Team,4,6
13,1,10:12.0,,D. Booker makes 2-pt jump shot from 15 ft (assist by E. Okobo),4,8
14,1,9:53.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,6,8
15,1,9:42.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by E. Okobo),6,11
16,1,9:30.0,T. Young makes 2-pt jump shot from 19 ft,,8,11
17,1,9:15.0,,E. Okobo misses 3-pt jump shot from 26 ft,8,11
18,1,9:13.0,Defensive rebound by J. Collins,,8,11
19,1,9:09.0,T. Young makes 3-pt jump shot from 27 ft,,11,11
20,1,8:48.0,,D. Booker misses 3-pt jump shot from 26 ft,11,11
21,1,8:46.0,Defensive rebound by K. Huerter,,11,11
22,1,8:36.0,K. Huerter misses 2-pt jump shot from 14 ft,,11,11
23,1,8:34.0,,Defensive rebound by J. Jackson,11,11
24,1,8:27.0,,D. Ayton makes 2-pt layup at rim (assist by J. Jackson),11,13
25,1,8:15.0,T. Young misses 3-pt jump shot from 26 ft,,11,13
26,1,8:13.0,,Defensive rebound by D. Ayton,11,13
27,1,8:10.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by D. Booker),11,16
28,1,8:05.0,Atlanta full timeout,,11,16
29,1,7:40.0,D. Dedmon makes 3-pt jump shot from 24 ft (assist by T. Prince),,14,16
30,1,7:21.0,,Turnover by D. Booker (bad pass; steal by T. Prince),14,16
31,1,7:16.0,J. Collins misses 2-pt layup at rim (block by J. Jackson),,14,16
32,1,7:09.0,Offensive rebound by K. Huerter,,14,16
33,1,7:09.0,K. Huerter makes 2-pt layup at rim,,16,16
34,1,6:56.0,,E. Okobo makes 2-pt layup from 1 ft,16,18
35,1,6:35.0,J. Collins makes 2-pt layup from 1 ft,,18,18
36,1,6:12.0,,J. Jackson makes 2-pt jump shot from 20 ft (assist by E. Okobo),18,20
37,1,6:03.0,Personal foul by E. Okobo (drawn by T. Young),,18,20
38,1,6:03.0,D. Bembry enters the game for D. Dedmon,,18,20
