,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:40.0,,K. Towns misses 2-pt jump shot from 8 ft,0,0
2,1,11:37.0,Defensive rebound by P. George,,0,0
3,1,11:28.0,J. Grant misses 2-pt jump shot from 17 ft,,0,0
4,1,11:24.0,Offensive rebound by S. Adams,,0,0
5,1,11:15.0,S. Adams makes 2-pt layup from 1 ft,,2,0
6,1,10:54.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),2,3
7,1,10:40.0,Shooting foul by K. Towns (drawn by J. Grant),,2,3
8,1,10:40.0,J. Grant makes free throw 1 of 2,,3,3
9,1,10:40.0,J. Grant misses free throw 2 of 2,,3,3
10,1,10:40.0,,Defensive rebound by J. Teague,3,3
11,1,10:26.0,,Personal foul by P. George (drawn by D. Šarić),3,3
12,1,10:21.0,,A. Wiggins misses 3-pt jump shot from 27 ft,3,3
13,1,10:19.0,Defensive rebound by R. Westbrook,,3,3
14,1,10:12.0,R. Westbrook misses 2-pt layup from 1 ft,,3,3
15,1,10:10.0,,Defensive rebound by J. Teague,3,3
16,1,10:04.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Teague),3,6
17,1,9:50.0,P. George misses 2-pt jump shot from 11 ft,,3,6
18,1,9:47.0,,Defensive rebound by D. Šarić,3,6
19,1,9:40.0,,Shooting foul by T. Ferguson (drawn by J. Teague),3,6
20,1,9:40.0,,J. Teague makes free throw 1 of 2,3,7
21,1,9:40.0,,J. Teague misses free throw 2 of 2,3,7
22,1,9:36.0,Defensive rebound by R. Westbrook,,3,7
23,1,9:21.0,R. Westbrook misses 3-pt jump shot from 25 ft,,3,7
24,1,9:19.0,,Defensive rebound by K. Towns,3,7
25,1,9:04.0,,D. Šarić makes 2-pt hook shot from 1 ft,3,9
26,1,8:53.0,Turnover by S. Adams (bad pass; steal by K. Towns),,3,9
27,1,8:43.0,,K. Towns makes 2-pt dunk from 2 ft (assist by A. Wiggins),3,11
28,1,8:38.0,Personal foul by K. Towns (drawn by R. Westbrook),,3,11
29,1,8:38.0,,T. Gibson enters the game for K. Towns,3,11
30,1,8:32.0,T. Ferguson misses 3-pt jump shot from 26 ft,,3,11
31,1,8:29.0,,Defensive rebound by D. Šarić,3,11
32,1,8:12.0,,T. Gibson misses 2-pt layup from 3 ft,3,11
33,1,8:09.0,,Offensive rebound by J. Okogie,3,11
34,1,8:06.0,,A. Wiggins misses 2-pt jump shot from 22 ft,3,11
35,1,8:04.0,Defensive rebound by P. George,,3,11
36,1,7:57.0,P. George misses 3-pt jump shot from 24 ft,,3,11
37,1,7:54.0,,Defensive rebound by A. Wiggins,3,11
38,1,7:41.0,,J. Teague makes 2-pt hook shot from 6 ft,3,13
39,1,7:32.0,Shooting foul by A. Wiggins (drawn by P. George),,3,13
40,1,7:32.0,P. George makes free throw 1 of 2,,4,13
41,1,7:32.0,P. George misses free throw 2 of 2,,4,13
42,1,7:29.0,Offensive rebound by S. Adams,,4,13
43,1,7:28.0,S. Adams makes 2-pt hook shot from 7 ft,,6,13
44,1,7:13.0,,D. Šarić misses 3-pt jump shot from 25 ft,6,13
45,1,7:13.0,,Offensive rebound by T. Gibson,6,13
46,1,7:08.0,,Turnover by D. Šarić (traveling),6,13
47,1,7:08.0,N. Noel enters the game for S. Adams,,6,13
48,1,6:58.0,P. George misses 3-pt jump shot from 23 ft,,6,13
49,1,6:56.0,Offensive rebound by R. Westbrook,,6,13
50,1,6:51.0,R. Westbrook misses 2-pt layup from 4 ft,,6,13
51,1,6:48.0,,Defensive rebound by J. Okogie,6,13
52,1,6:45.0,,Minnesota full timeout,6,13
53,1,6:40.0,,Turnover by J. Teague (out of bounds lost ball),6,13
54,1,6:28.0,N. Noel makes 2-pt layup from 2 ft (assist by R. Westbrook),,8,13
55,1,6:18.0,,J. Teague makes 2-pt layup at rim,8,15
56,1,6:07.0,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,11,15
57,1,5:54.0,,Personal foul by T. Ferguson (drawn by D. Šarić),11,15
58,1,5:54.0,D. Schröder enters the game for T. Ferguson,,11,15
59,1,5:40.0,,Turnover by Team (shot clock),11,15
60,1,5:37.0,Offensive foul by N. Noel (drawn by J. Okogie),,11,15
61,1,5:37.0,Turnover by N. Noel (offensive foul),,11,15
62,1,5:25.0,,Shooting foul by D. Schröder (drawn by D. Šarić),11,15
63,1,5:25.0,,D. Šarić makes free throw 1 of 2,11,16
64,1,5:25.0,T. Ferguson enters the game for P. George,,11,16
65,1,5:25.0,,D. Rose enters the game for J. Okogie,11,16
66,1,5:25.0,,D. Šarić makes free throw 2 of 2,11,17
67,1,5:09.0,J. Grant misses 2-pt layup from 2 ft,,11,17
68,1,5:05.0,Offensive rebound by R. Westbrook,,11,17
69,1,5:05.0,R. Westbrook makes 2-pt layup from 1 ft,,13,17
70,1,4:46.0,,Turnover by D. Šarić (lost ball; steal by T. Ferguson),13,17
71,1,4:43.0,J. Grant misses 2-pt layup from 8 ft,,13,17
72,1,4:40.0,,Defensive rebound by T. Gibson,13,17
73,1,4:30.0,,J. Teague misses 2-pt jump shot from 3 ft,13,17
74,1,4:27.0,Defensive rebound by R. Westbrook,,13,17
75,1,4:18.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,16,17
76,1,4:06.0,,Turnover by J. Teague (lost ball; steal by N. Noel),16,17
77,1,4:00.0,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),,18,17
78,1,4:00.0,,Minnesota full timeout,18,17
79,1,4:00.0,,A. Tolliver enters the game for D. Šarić,18,17
80,1,3:49.0,,Offensive foul by A. Wiggins (drawn by T. Ferguson),18,17
81,1,3:49.0,,Turnover by A. Wiggins (offensive foul),18,17
82,1,3:34.0,Shooting foul by T. Gibson (drawn by T. Ferguson),,18,17
83,1,3:34.0,T. Ferguson makes free throw 1 of 2,,19,17
84,1,3:34.0,,T. Jones enters the game for J. Teague,19,17
85,1,3:34.0,,J. Okogie enters the game for A. Wiggins,19,17
86,1,3:34.0,T. Ferguson makes free throw 2 of 2,,20,17
87,1,3:23.0,,D. Rose misses 2-pt layup from 8 ft (block by N. Noel),20,17
88,1,3:22.0,Defensive rebound by N. Noel,,20,17
89,1,3:17.0,R. Westbrook misses 2-pt layup from 2 ft,,20,17
90,1,3:15.0,,Defensive rebound by A. Tolliver,20,17
91,1,3:07.0,,D. Rose misses 2-pt layup from 1 ft,20,17
92,1,3:04.0,Defensive rebound by J. Grant,,20,17
93,1,3:03.0,Turnover by J. Grant (step out of bounds),,20,17
94,1,2:48.0,,T. Gibson makes 2-pt jump shot from 10 ft (assist by T. Jones),20,19
95,1,2:39.0,R. Westbrook misses 2-pt jump shot from 15 ft,,20,19
96,1,2:36.0,,Defensive rebound by J. Okogie,20,19
97,1,2:26.0,,Shooting foul by N. Noel (drawn by T. Gibson),20,19
98,1,2:26.0,,T. Gibson misses free throw 1 of 2,20,19
99,1,2:26.0,,Offensive rebound by Team,20,19
100,1,2:26.0,S. Adams enters the game for N. Noel,,20,19
101,1,2:26.0,P. George enters the game for R. Westbrook,,20,19
102,1,2:26.0,,T. Gibson makes free throw 2 of 2,20,20
103,1,2:16.0,P. George misses 2-pt jump shot from 15 ft,,20,20
104,1,2:12.0,,Defensive rebound by T. Gibson,20,20
105,1,2:04.0,,D. Rose makes 2-pt layup at rim (assist by T. Gibson),20,22
106,1,1:52.0,Personal foul by T. Gibson (drawn by S. Adams),,20,22
