,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:45.0,,H. Whiteside misses 2-pt layup from 2 ft (block by M. Williams),0,0
1,1,11:41.0,,Offensive rebound by R. McGruder,0,0
2,1,11:40.0,,R. McGruder makes 2-pt layup from 1 ft,0,2
3,1,11:24.0,N. Batum misses 2-pt jump shot from 13 ft,,0,2
4,1,11:21.0,,Defensive rebound by H. Whiteside,0,2
5,1,11:19.0,,G. Dragić misses 2-pt layup from 1 ft,0,2
6,1,11:09.0,,Offensive rebound by H. Whiteside,0,2
7,1,11:09.0,,H. Whiteside makes 2-pt dunk from 1 ft,0,4
8,1,11:01.0,J. Lamb misses 3-pt jump shot from 25 ft,,0,4
9,1,11:00.0,,Defensive rebound by J. Richardson,0,4
10,1,10:55.0,,J. Richardson makes 3-pt jump shot from 25 ft,0,7
11,1,10:36.0,K. Walker misses 2-pt jump shot from 17 ft,,0,7
12,1,10:34.0,,Defensive rebound by H. Whiteside,0,7
13,1,10:21.0,,G. Dragić misses 3-pt jump shot from 23 ft,0,7
14,1,10:19.0,Defensive rebound by M. Williams,,0,7
15,1,10:02.0,M. Williams makes 2-pt layup from 2 ft (assist by K. Walker),,2,7
16,1,9:39.0,,J. Richardson misses 3-pt jump shot from 25 ft,2,7
17,1,9:37.0,Defensive rebound by J. Lamb,,2,7
18,1,9:31.0,J. Lamb misses 2-pt hook shot from 6 ft,,2,7
19,1,9:26.0,Offensive rebound by J. Lamb,,2,7
20,1,9:26.0,J. Lamb makes 2-pt layup at rim,,4,7
21,1,9:07.0,,J. Richardson makes 2-pt jump shot from 12 ft,4,9
22,1,8:52.0,N. Batum misses 2-pt layup from 1 ft (block by H. Whiteside),,4,9
23,1,8:48.0,,Defensive rebound by R. McGruder,4,9
24,1,8:38.0,,H. Whiteside misses 2-pt jump shot from 13 ft (block by J. Lamb),4,9
25,1,8:32.0,,Offensive rebound by Team,4,9
26,1,8:28.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by G. Dragić),4,12
27,1,8:27.0,Charlotte full timeout,,4,12
28,1,8:15.0,K. Walker makes 2-pt jump shot from 12 ft,,6,12
29,1,7:56.0,,D. Jones makes 3-pt jump shot from 24 ft (assist by G. Dragić),6,15
30,1,7:38.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),,8,15
31,1,7:38.0,Shooting foul by H. Whiteside (drawn by C. Zeller),,8,15
32,1,7:38.0,C. Zeller makes free throw 1 of 1,,9,15
33,1,7:20.0,,D. Jones misses 2-pt jump shot from 8 ft (block by M. Williams),9,15
34,1,7:20.0,Defensive rebound by M. Williams,,9,15
35,1,7:13.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),,12,15
36,1,7:01.0,,Turnover by J. Richardson (bad pass; steal by N. Batum),12,15
37,1,6:55.0,K. Walker makes 2-pt layup from 2 ft (assist by N. Batum),,14,15
38,1,6:44.0,,G. Dragić makes 2-pt layup from 1 ft,14,17
39,1,6:39.0,Offensive foul by C. Zeller (drawn by J. Richardson),,14,17
