,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:43.0,C. Payne misses 3-pt jump shot from 23 ft,,0,0
1,1,11:38.0,,Defensive rebound by V. Carter,0,0
2,1,11:27.0,,Turnover by T. Young (bad pass; steal by J. Holiday),0,0
3,1,11:23.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by C. Payne),,2,0
4,1,11:07.0,,T. Prince misses 3-pt jump shot from 25 ft,2,0
5,1,11:04.0,Defensive rebound by Z. LaVine,,2,0
6,1,10:51.0,C. Payne misses 3-pt jump shot from 26 ft,,2,0
7,1,10:48.0,,Defensive rebound by T. Prince,2,0
8,1,10:42.0,,Turnover by T. Prince (bad pass; steal by J. Holiday),2,0
9,1,10:38.0,C. Hutchison misses 2-pt dunk from 1 ft,,2,0
10,1,10:37.0,Offensive rebound by J. Holiday,,2,0
11,1,10:37.0,Z. LaVine misses 2-pt layup from 5 ft (block by V. Carter),,2,0
12,1,10:35.0,Offensive rebound by C. Hutchison,,2,0
13,1,10:30.0,W. Carter misses 3-pt jump shot from 26 ft,,2,0
14,1,10:26.0,,Defensive rebound by T. Young,2,0
15,1,10:18.0,,Personal foul by J. Holiday (drawn by V. Carter),2,0
16,1,10:13.0,,T. Young misses 3-pt jump shot from 26 ft,2,0
17,1,10:08.0,Defensive rebound by C. Hutchison,,2,0
18,1,10:05.0,Offensive foul by C. Hutchison (drawn by V. Carter),,2,0
19,1,10:05.0,Turnover by C. Hutchison (offensive foul),,2,0
20,1,9:55.0,,T. Young misses 3-pt jump shot from 24 ft,2,0
21,1,9:52.0,Defensive rebound by W. Carter,,2,0
22,1,9:34.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,5,0
23,1,9:16.0,,V. Carter misses 2-pt jump shot from 20 ft,5,0
24,1,9:13.0,Defensive rebound by J. Holiday,,5,0
25,1,9:10.0,J. Holiday misses 2-pt layup from 1 ft,,5,0
26,1,9:06.0,,Defensive rebound by A. Len,5,0
27,1,9:06.0,,Shooting foul by C. Payne (drawn by T. Young),5,0
28,1,9:06.0,,T. Young misses free throw 1 of 2,5,0
29,1,9:06.0,,Offensive rebound by Team,5,0
30,1,9:06.0,,T. Young makes free throw 2 of 2,5,1
31,1,8:51.0,Shooting foul by K. Bazemore (drawn by Z. LaVine),,5,1
