,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by L. James),0,2
1,1,11:35.0,A. Gordon makes 2-pt dunk from 3 ft (assist by D. Augustin),,2,2
2,1,11:22.0,,Turnover by B. Ingram (bad pass; steal by N. Vučević),2,2
3,1,11:16.0,A. Gordon misses 3-pt jump shot from 26 ft,,2,2
4,1,11:14.0,,Defensive rebound by L. Ball,2,2
5,1,11:10.0,,K. Kuzma misses 2-pt layup from 2 ft,2,2
6,1,11:10.0,Defensive rebound by Team,,2,2
7,1,10:59.0,E. Fournier misses 2-pt layup from 2 ft (block by L. Ball),,2,2
8,1,10:56.0,,Defensive rebound by J. McGee,2,2
9,1,10:47.0,,Def 3 sec tech foul by Team,2,2
10,1,10:47.0,,K. Kuzma makes technical free throw,2,3
11,1,10:37.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),2,5
12,1,10:24.0,W. Iwundu misses 2-pt layup from 2 ft (block by J. McGee),,2,5
13,1,10:21.0,,Defensive rebound by L. Ball,2,5
14,1,10:17.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Kuzma),2,7
15,1,10:04.0,D. Augustin makes 2-pt layup from 2 ft,,4,7
16,1,9:47.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Ball),4,10
17,1,9:35.0,N. Vučević misses 2-pt jump shot from 19 ft,,4,10
18,1,9:32.0,,Defensive rebound by B. Ingram,4,10
19,1,9:30.0,,Turnover by B. Ingram (bad pass; steal by N. Vučević),4,10
20,1,9:22.0,W. Iwundu misses 2-pt layup from 2 ft (block by J. McGee),,4,10
21,1,9:19.0,,Defensive rebound by J. McGee,4,10
22,1,9:12.0,,B. Ingram makes 2-pt layup from 1 ft (assist by K. Kuzma),4,12
23,1,9:12.0,,Shooting foul by E. Fournier (drawn by B. Ingram),4,12
24,1,9:12.0,,B. Ingram misses free throw 1 of 1,4,12
25,1,9:12.0,Defensive rebound by N. Vučević,,4,12
26,1,8:59.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by W. Iwundu),,6,12
27,1,8:50.0,,K. Kuzma makes 2-pt layup from 2 ft,6,14
28,1,8:44.0,Orlando full timeout,,6,14
29,1,8:22.0,W. Iwundu misses 3-pt jump shot from 23 ft,,6,14
30,1,8:20.0,,Defensive rebound by K. Kuzma,6,14
31,1,8:15.0,,J. McGee makes 2-pt dunk from 2 ft (assist by K. Kuzma),6,16
32,1,8:00.0,Personal foul by B. Ingram (drawn by A. Gordon),,6,16
33,1,7:51.0,N. Vučević misses 3-pt jump shot from 25 ft,,6,16
34,1,7:48.0,,Defensive rebound by K. Kuzma,6,16
35,1,7:40.0,,J. McGee misses 2-pt jump shot from 4 ft,6,16
36,1,7:38.0,,Offensive rebound by J. McGee,6,16
37,1,7:37.0,,J. McGee makes 2-pt dunk from 2 ft,6,18
38,1,7:23.0,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),,8,18
39,1,7:07.0,,B. Ingram misses 2-pt layup from 1 ft,8,18
40,1,7:05.0,,Offensive rebound by B. Ingram,8,18
41,1,7:03.0,,B. Ingram misses 2-pt layup from 2 ft (block by N. Vučević),8,18
42,1,7:00.0,Defensive rebound by N. Vučević,,8,18
43,1,6:55.0,D. Augustin misses 3-pt jump shot from 26 ft,,8,18
44,1,6:50.0,Offensive rebound by A. Gordon,,8,18
45,1,6:46.0,N. Vučević misses 2-pt hook shot from 2 ft (block by J. McGee),,8,18
46,1,6:43.0,Offensive rebound by D. Augustin,,8,18
47,1,6:40.0,N. Vučević misses 2-pt jump shot from 16 ft,,8,18
48,1,6:35.0,,Defensive rebound by L. James,8,18
49,1,6:33.0,,Personal foul by W. Iwundu (drawn by K. Kuzma),8,18
50,1,6:33.0,J. Isaac enters the game for W. Iwundu,,8,18
51,1,6:27.0,,L. Ball makes 2-pt jump shot from 13 ft (assist by L. James),8,20
52,1,6:14.0,E. Fournier misses 2-pt layup from 3 ft (block by J. McGee),,8,20
53,1,6:11.0,,Defensive rebound by L. Ball,8,20
54,1,6:08.0,,Turnover by L. James (bad pass),8,20
55,1,5:58.0,Shooting foul by J. McGee (drawn by N. Vučević),,8,20
56,1,5:58.0,N. Vučević makes free throw 1 of 2,,9,20
57,1,5:58.0,N. Vučević makes free throw 2 of 2,,10,20
58,1,5:44.0,,J. McGee misses 2-pt layup from 3 ft,10,20
59,1,5:40.0,Defensive rebound by J. Isaac,,10,20
60,1,5:34.0,D. Augustin makes 2-pt layup from 2 ft,,12,20
61,1,5:12.0,,B. Ingram misses 3-pt jump shot from 22 ft,12,20
62,1,5:10.0,Defensive rebound by A. Gordon,,12,20
63,1,5:02.0,J. Isaac misses 2-pt hook shot from 3 ft,,12,20
64,1,4:58.0,Offensive rebound by D. Augustin,,12,20
65,1,4:50.0,Turnover by N. Vučević (lost ball; steal by B. Ingram),,12,20
66,1,4:44.0,,B. Ingram makes 2-pt layup from 2 ft,12,22
67,1,4:20.0,Turnover by N. Vučević (bad pass),,12,22
68,1,4:20.0,J. Grant enters the game for D. Augustin,,12,22
69,1,4:20.0,T. Ross enters the game for E. Fournier,,12,22
70,1,4:20.0,,K. Caldwell-Pope enters the game for B. Ingram,12,22
71,1,4:20.0,,T. Chandler enters the game for J. McGee,12,22
72,1,4:00.0,,L. Ball misses 2-pt jump shot from 15 ft,12,22
73,1,3:57.0,Defensive rebound by N. Vučević,,12,22
74,1,3:49.0,T. Ross misses 2-pt layup from 2 ft,,12,22
75,1,3:45.0,,Defensive rebound by L. Ball,12,22
76,1,3:45.0,,Turnover by K. Kuzma (out of bounds lost ball),12,22
77,1,3:24.0,A. Gordon misses 2-pt jump shot from 17 ft,,12,22
78,1,3:22.0,,Defensive rebound by L. Ball,12,22
79,1,3:16.0,,Offensive foul by T. Chandler (drawn by T. Ross),12,22
80,1,3:16.0,,Turnover by T. Chandler (offensive foul),12,22
81,1,3:16.0,,J. Hart enters the game for L. James,12,22
82,1,3:05.0,T. Ross makes 2-pt jump shot from 19 ft (assist by N. Vučević),,14,22
83,1,2:50.0,,Personal foul by J. Isaac (drawn by K. Kuzma),14,22
84,1,2:50.0,,LA Lakers full timeout,14,22
85,1,2:50.0,M. Bamba enters the game for A. Gordon,,14,22
86,1,2:50.0,J. Simmons enters the game for N. Vučević,,14,22
87,1,2:35.0,,Turnover by T. Chandler (bad pass; steal by M. Bamba),14,22
88,1,2:21.0,M. Bamba misses 2-pt jump shot from 12 ft,,14,22
89,1,2:17.0,,Defensive rebound by T. Chandler,14,22
90,1,2:15.0,,L. Ball makes 2-pt layup from 2 ft,14,24
91,1,1:57.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Grant),,17,24
92,1,1:44.0,,L. Ball misses 2-pt layup from 2 ft,17,24
93,1,1:42.0,Defensive rebound by J. Isaac,,17,24
94,1,1:34.0,J. Grant misses 3-pt jump shot from 26 ft,,17,24
95,1,1:29.0,,Defensive rebound by L. Ball,17,24
96,1,1:15.0,,K. Kuzma misses 2-pt jump shot from 19 ft,17,24
97,1,1:12.0,Defensive rebound by T. Ross,,17,24
98,1,1:00.0,T. Ross misses 2-pt jump shot from 16 ft,,17,24
99,1,0:59.0,,Defensive rebound by T. Chandler,17,24
100,1,0:59.0,,Shooting foul by J. Simmons (drawn by K. Kuzma),17,24
101,1,0:59.0,,K. Kuzma makes free throw 1 of 2,17,25
102,1,0:59.0,,K. Kuzma misses free throw 2 of 2,17,25
103,1,0:57.0,Defensive rebound by M. Bamba,,17,25
104,1,0:37.0,Turnover by J. Isaac (bad pass; steal by K. Kuzma),,17,25
105,1,0:32.0,,T. Chandler makes 2-pt dunk from 1 ft (assist by K. Kuzma),17,27
106,1,0:14.0,J. Simmons misses 2-pt jump shot from 3 ft,,17,27
107,1,0:11.0,,Defensive rebound by L. Ball,17,27
108,1,0:10.0,,Turnover by L. Ball (bad pass; steal by T. Ross),17,27
109,1,0:05.0,J. Isaac misses 2-pt layup from 2 ft,,17,27
110,1,0:04.0,Offensive rebound by M. Bamba,,17,27
111,1,0:04.0,M. Bamba makes 2-pt layup at rim,,19,27
112,1,0:00.0,,K. Kuzma makes 2-pt jump shot from 3 ft,19,29
113,2,11:47.0,Turnover by J. Grant (bad pass; steal by K. Caldwell-Pope),,19,29
114,2,11:46.0,,Turnover by K. Caldwell-Pope (out of bounds lost ball),19,29
115,2,11:30.0,J. Isaac misses 2-pt jump shot from 17 ft,,19,29
116,2,11:28.0,,Defensive rebound by J. Hart,19,29
117,2,11:06.0,,K. Caldwell-Pope misses 2-pt jump shot from 22 ft,19,29
118,2,11:03.0,Defensive rebound by M. Bamba,,19,29
119,2,10:49.0,J. Simmons misses 2-pt jump shot from 14 ft,,19,29
120,2,10:45.0,,Defensive rebound by J. Hart,19,29
121,2,10:41.0,,Turnover by L. James (bad pass; steal by J. Grant),19,29
122,2,10:19.0,M. Bamba makes 3-pt jump shot from 27 ft (assist by J. Grant),,22,29
123,2,9:57.0,,Shooting foul by J. Isaac (drawn by L. James),22,29
124,2,9:57.0,,L. James misses free throw 1 of 2,22,29
125,2,9:57.0,,Offensive rebound by Team,22,29
126,2,9:57.0,,L. Stephenson enters the game for T. Chandler,22,29
127,2,9:57.0,,L. James misses free throw 2 of 2,22,29
128,2,9:55.0,Defensive rebound by J. Isaac,,22,29
129,2,9:43.0,T. Ross makes 3-pt jump shot from 28 ft (assist by J. Simmons),,25,29
130,2,9:27.0,,L. Stephenson makes 3-pt jump shot from 24 ft (assist by J. Hart),25,32
131,2,9:07.0,J. Isaac misses 3-pt jump shot from 26 ft,,25,32
132,2,9:05.0,,Defensive rebound by B. Ingram,25,32
133,2,8:46.0,,B. Ingram misses 2-pt layup from 3 ft (block by M. Bamba),25,32
134,2,8:46.0,,Offensive rebound by Team,25,32
135,2,8:42.0,,L. James misses 3-pt jump shot from 27 ft,25,32
136,2,8:40.0,Defensive rebound by M. Bamba,,25,32
137,2,8:34.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Simmons),,28,32
138,2,8:17.0,,L. James makes 2-pt dunk from 2 ft,28,34
139,2,8:03.0,T. Ross misses 3-pt jump shot from 26 ft,,28,34
140,2,8:00.0,,Defensive rebound by L. Stephenson,28,34
141,2,7:57.0,,L. James makes 2-pt layup from 1 ft (assist by L. Stephenson),28,36
142,2,7:57.0,,Shooting foul by T. Ross (drawn by L. James),28,36
143,2,7:57.0,A. Gordon enters the game for J. Isaac,,28,36
144,2,7:57.0,,J. McGee enters the game for J. Hart,28,36
145,2,7:57.0,,L. James makes free throw 1 of 1,28,37
146,2,7:36.0,A. Gordon misses 2-pt layup from 2 ft,,28,37
147,2,7:33.0,,Defensive rebound by J. McGee,28,37
148,2,7:24.0,,L. James makes 2-pt layup from 3 ft,28,39
149,2,7:19.0,Orlando full timeout,,28,39
150,2,7:19.0,D. Augustin enters the game for M. Bamba,,28,39
151,2,7:19.0,E. Fournier enters the game for J. Grant,,28,39
152,2,7:19.0,N. Vučević enters the game for T. Ross,,28,39
153,2,7:12.0,N. Vučević makes 3-pt jump shot from 27 ft (assist by D. Augustin),,31,39
154,2,6:52.0,,Offensive foul by J. McGee (drawn by J. Simmons),31,39
155,2,6:52.0,,Turnover by J. McGee (offensive foul),31,39
156,2,6:31.0,J. Simmons misses 2-pt layup from 5 ft (block by J. McGee),,31,39
157,2,6:31.0,Offensive rebound by Team,,31,39
158,2,6:31.0,,L. Ball enters the game for K. Caldwell-Pope,31,39
159,2,6:28.0,E. Fournier misses 3-pt jump shot from 26 ft,,31,39
160,2,6:28.0,Offensive rebound by Team,,31,39
161,2,6:28.0,Turnover by Team (shot clock),,31,39
162,2,6:11.0,,Offensive foul by B. Ingram (drawn by N. Vučević),31,39
163,2,6:11.0,,Turnover by B. Ingram (offensive foul),31,39
164,2,6:11.0,Technical foul by L. Walton,,31,39
