,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
0,1,11:46.0,,Turnover by K. O'Quinn (bad pass),0,0
1,1,11:32.0,J. Holiday misses 2-pt jump shot from 3 ft,,0,0
2,1,11:29.0,,Defensive rebound by K. O'Quinn,0,0
3,1,11:21.0,,Turnover by T. Young (bad pass; steal by A. Davis),0,0
4,1,11:17.0,J. Randle makes 2-pt layup from 1 ft (assist by A. Davis),,2,0
5,1,11:17.0,Shooting foul by D. Collison (drawn by J. Randle),,2,0
6,1,11:17.0,J. Randle misses free throw 1 of 1,,2,0
7,1,11:16.0,,Defensive rebound by K. O'Quinn,2,0
8,1,11:04.0,,B. Bogdanović misses 2-pt layup from 4 ft (block by J. Holiday),2,0
9,1,11:03.0,Defensive rebound by J. Holiday,,2,0
10,1,10:59.0,J. Holiday makes 2-pt layup from 1 ft,,4,0
11,1,10:59.0,Shooting foul by W. Matthews (drawn by J. Holiday),,4,0
12,1,10:59.0,J. Holiday makes free throw 1 of 1,,5,0
13,1,10:44.0,,Turnover by T. Young (lost ball; steal by J. Randle),5,0
14,1,10:36.0,Turnover by A. Davis (lost ball; steal by T. Young),,5,0
15,1,10:32.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Collison),5,2
16,1,10:22.0,J. Randle makes 3-pt jump shot from 29 ft (assist by E. Payton),,8,2
17,1,10:06.0,,B. Bogdanović misses 2-pt jump shot from 6 ft (block by E. Payton),8,2
18,1,10:04.0,Defensive rebound by J. Holiday,,8,2
19,1,9:57.0,Turnover by J. Randle (dbl dribble),,8,2
20,1,9:47.0,,W. Matthews makes 2-pt jump shot from 20 ft (assist by K. O'Quinn),8,4
21,1,9:33.0,J. Randle misses 3-pt jump shot from 26 ft,,8,4
22,1,9:33.0,Offensive rebound by K. Williams,,8,4
23,1,9:24.0,E. Payton makes 2-pt layup from 1 ft (assist by J. Randle),,10,4
24,1,9:24.0,Shooting foul by B. Bogdanović (drawn by E. Payton),,10,4
25,1,9:24.0,E. Payton misses free throw 1 of 1,,10,4
26,1,9:23.0,,Defensive rebound by B. Bogdanović,10,4
27,1,9:03.0,,W. Matthews misses 3-pt jump shot from 30 ft,10,4
28,1,8:59.0,Defensive rebound by J. Randle,,10,4
29,1,8:53.0,A. Davis makes 2-pt dunk at rim (assist by J. Randle),,12,4
30,1,8:45.0,,Indiana full timeout,12,4
31,1,8:36.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by B. Bogdanović),12,6
32,1,8:21.0,J. Holiday misses 3-pt jump shot from 26 ft,,12,6
33,1,8:18.0,,Defensive rebound by B. Bogdanović,12,6
34,1,8:11.0,,T. Young makes 3-pt jump shot from 28 ft (assist by D. Collison),12,9
35,1,7:48.0,J. Randle misses 2-pt jump shot from 2 ft,,12,9
36,1,7:45.0,,Defensive rebound by T. Young,12,9
37,1,7:40.0,,D. Collison misses 3-pt jump shot from 23 ft,12,9
38,1,7:37.0,Defensive rebound by A. Davis,,12,9
