,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SACRAMENTO_ACTION,BROOKLYN_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,D. Russell misses 2-pt jump shot from 17 ft,,0,0
1,1,11:38.0,,Defensive rebound by W. Cauley-Stein,0,0
2,1,11:19.0,,D. Fox misses 3-pt jump shot from 24 ft,0,0
3,1,11:17.0,Defensive rebound by R. Kurucs,,0,0
4,1,11:09.0,J. Allen misses 2-pt hook shot from 5 ft,,0,0
5,1,11:06.0,,Defensive rebound by N. Bjelica,0,0
6,1,10:58.0,,Turnover by H. Barnes (bad pass; steal by J. Harris),0,0
7,1,10:37.0,D. Russell makes 2-pt jump shot from 13 ft,,2,0
8,1,10:26.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,2,2
9,1,10:15.0,R. Kurucs misses 3-pt jump shot from 25 ft,,2,2
10,1,10:11.0,,Defensive rebound by W. Cauley-Stein,2,2
11,1,10:06.0,,D. Fox makes 2-pt jump shot from 13 ft,2,4
12,1,9:56.0,D. Russell misses 3-pt jump shot from 26 ft,,2,4
13,1,9:53.0,,Defensive rebound by N. Bjelica,2,4
14,1,9:46.0,,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),2,6
15,1,9:25.0,C. LeVert misses 2-pt layup from 2 ft,,2,6
16,1,9:22.0,Offensive rebound by C. LeVert,,2,6
17,1,9:20.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,5,6
18,1,9:01.0,,N. Bjelica misses 2-pt layup from 3 ft (block by R. Kurucs),5,6
19,1,9:01.0,,Offensive rebound by Team,5,6
20,1,8:52.0,,B. Hield makes 2-pt layup from 4 ft (assist by W. Cauley-Stein),5,8
21,1,8:42.0,J. Harris makes 2-pt jump shot from 20 ft,,7,8
22,1,8:23.0,,D. Fox misses 2-pt jump shot from 9 ft,7,8
23,1,8:21.0,,Offensive rebound by B. Hield,7,8
24,1,8:19.0,,Turnover by B. Hield (lost ball; steal by R. Kurucs),7,8
25,1,8:15.0,C. LeVert makes 2-pt dunk from 1 ft (assist by D. Russell),,9,8
26,1,8:09.0,,B. Hield misses 3-pt jump shot from 25 ft,9,8
27,1,8:09.0,,Offensive rebound by W. Cauley-Stein,9,8
28,1,8:02.0,,B. Hield misses 3-pt jump shot from 25 ft,9,8
29,1,7:59.0,Defensive rebound by J. Harris,,9,8
30,1,7:52.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,11,8
31,1,7:52.0,,Sacramento full timeout,11,8
32,1,7:28.0,,Turnover by W. Cauley-Stein (bad pass; steal by J. Harris),11,8
33,1,7:21.0,D. Russell misses 3-pt jump shot from 26 ft,,11,8
34,1,7:17.0,Offensive rebound by J. Allen,,11,8
35,1,7:17.0,J. Allen misses 2-pt layup at rim,,11,8
36,1,7:16.0,,Defensive rebound by N. Bjelica,11,8
37,1,7:04.0,,Turnover by H. Barnes (traveling),11,8
38,1,7:04.0,,H. Giles enters the game for W. Cauley-Stein,11,8
39,1,6:55.0,Turnover by D. Russell (bad pass; steal by H. Giles),,11,8
40,1,6:50.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),11,11
41,1,6:30.0,J. Harris makes 2-pt layup from 1 ft,,13,11
42,1,6:15.0,,H. Giles misses 2-pt layup from 3 ft,13,11
43,1,6:12.0,,Offensive rebound by N. Bjelica,13,11
44,1,6:12.0,,N. Bjelica misses 2-pt layup from 4 ft,13,11
45,1,6:10.0,Defensive rebound by J. Harris,,13,11
46,1,5:53.0,D. Russell misses 3-pt jump shot from 22 ft,,13,11
47,1,5:50.0,,Defensive rebound by N. Bjelica,13,11
48,1,5:48.0,,D. Fox makes 2-pt jump shot from 18 ft,13,13
49,1,5:28.0,C. LeVert makes 2-pt jump shot from 4 ft,,15,13
50,1,5:22.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Fox),15,16
51,1,5:13.0,Turnover by D. Russell (bad pass),,15,16
52,1,5:13.0,D. Carroll enters the game for R. Kurucs,,15,16
53,1,5:13.0,S. Dinwiddie enters the game for C. LeVert,,15,16
54,1,5:13.0,,M. Bagley enters the game for N. Bjelica,15,16
55,1,5:13.0,,B. Bogdanović enters the game for B. Hield,15,16
56,1,5:00.0,,H. Giles misses 2-pt jump shot from 11 ft,15,16
57,1,4:56.0,Defensive rebound by J. Allen,,15,16
58,1,4:49.0,J. Allen misses 2-pt layup from 4 ft,,15,16
59,1,4:46.0,Offensive rebound by J. Allen,,15,16
60,1,4:42.0,D. Carroll misses 3-pt jump shot from 25 ft,,15,16
61,1,4:39.0,,Defensive rebound by H. Barnes,15,16
62,1,4:30.0,,M. Bagley makes 2-pt jump shot from 16 ft (assist by D. Fox),15,18
63,1,4:28.0,Brooklyn full timeout,,15,18
64,1,4:19.0,Offensive foul by J. Allen (drawn by D. Fox),,15,18
65,1,4:19.0,Turnover by J. Allen (offensive foul),,15,18
66,1,4:10.0,,Def 3 sec tech foul by Team,15,18
67,1,4:10.0,,B. Bogdanović makes technical free throw,15,19
68,1,3:59.0,,H. Giles makes 2-pt layup from 3 ft,15,21
69,1,3:52.0,Personal foul by B. Bogdanović (drawn by S. Dinwiddie),,15,21
70,1,3:52.0,E. Davis enters the game for J. Allen,,15,21
71,1,3:52.0,C. LeVert enters the game for D. Russell,,15,21
72,1,3:45.0,J. Harris makes 3-pt jump shot from 26 ft (assist by C. LeVert),,18,21
73,1,3:37.0,,D. Fox misses 2-pt jump shot from 18 ft,18,21
74,1,3:34.0,,Offensive rebound by M. Bagley,18,21
75,1,3:32.0,,M. Bagley makes 2-pt jump shot from 3 ft,18,23
76,1,3:20.0,E. Davis misses 2-pt layup from 2 ft,,18,23
77,1,3:15.0,,Defensive rebound by H. Barnes,18,23
78,1,3:02.0,,M. Bagley makes 3-pt jump shot from 25 ft (assist by H. Giles),18,26
79,1,2:44.0,C. LeVert misses 2-pt jump shot from 23 ft,,18,26
80,1,2:42.0,,Defensive rebound by H. Barnes,18,26
81,1,2:36.0,,M. Bagley makes 2-pt hook shot from 7 ft (assist by D. Fox),18,28
82,1,2:33.0,Brooklyn full timeout,,18,28
83,1,2:33.0,R. Kurucs enters the game for J. Harris,,18,28
84,1,2:13.0,R. Kurucs misses 3-pt jump shot from 26 ft,,18,28
85,1,2:08.0,Offensive rebound by E. Davis,,18,28
86,1,2:05.0,D. Carroll makes 2-pt layup from 5 ft (assist by C. LeVert),,20,28
87,1,1:42.0,,B. Bogdanović makes 2-pt jump shot from 15 ft,20,30
88,1,1:34.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,22,30
89,1,1:26.0,,D. Fox makes 2-pt jump shot from 8 ft,22,32
90,1,1:26.0,,Shooting foul by C. LeVert (drawn by D. Fox),22,32
91,1,1:26.0,,C. Brewer enters the game for H. Barnes,22,32
92,1,1:26.0,,D. Fox misses free throw 1 of 1,22,32
93,1,1:24.0,Defensive rebound by E. Davis,,22,32
94,1,1:13.0,Turnover by S. Dinwiddie (bad pass; steal by C. Brewer),,22,32
95,1,1:05.0,,Personal foul by R. Kurucs (drawn by H. Giles),22,32
96,1,1:05.0,,H. Giles makes free throw 1 of 2,22,33
97,1,1:05.0,,B. Hield enters the game for D. Fox,22,33
98,1,1:05.0,,H. Giles makes free throw 2 of 2,22,34
99,1,0:48.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by C. LeVert),,25,34
100,1,0:35.0,,H. Giles misses 2-pt jump shot from 2 ft,25,34
101,1,0:33.0,,Offensive rebound by M. Bagley,25,34
102,1,0:31.0,,H. Giles makes 2-pt layup from 1 ft (assist by M. Bagley),25,36
103,1,0:18.0,R. Kurucs misses 2-pt layup from 5 ft,,25,36
104,1,0:15.0,,Defensive rebound by H. Giles,25,36
105,1,0:01.0,,B. Bogdanović makes 2-pt layup from 1 ft,25,38
106,1,0:00.0,R. Kurucs misses 3-pt jump shot from 26 ft,,25,38
107,1,0:00.0,Offensive rebound by Team,,25,38
108,2,11:44.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by H. Giles),25,41
109,2,11:40.0,Brooklyn full timeout,,25,41
110,2,11:27.0,Shooting foul by C. Brewer (drawn by E. Davis),,25,41
111,2,11:27.0,E. Davis makes free throw 1 of 2,,26,41
112,2,11:27.0,E. Davis makes free throw 2 of 2,,27,41
113,2,11:17.0,,Turnover by B. Bogdanović (bad pass; steal by D. Russell),27,41
114,2,11:11.0,D. Carroll misses 3-pt jump shot from 24 ft,,27,41
115,2,11:08.0,Offensive rebound by C. LeVert,,27,41
116,2,11:07.0,C. LeVert makes 2-pt layup from 2 ft,,29,41
117,2,10:52.0,,Turnover by C. Brewer (lost ball; steal by D. Russell),29,41
118,2,10:52.0,C. LeVert misses 2-pt layup from 4 ft (block by B. Hield),,29,41
119,2,10:50.0,Offensive rebound by C. LeVert,,29,41
120,2,10:47.0,Turnover by R. Kurucs (bad pass; steal by C. Brewer),,29,41
121,2,10:33.0,,M. Bagley makes 2-pt hook shot from 5 ft,29,43
122,2,10:24.0,Personal foul by C. Brewer (drawn by D. Russell),,29,43
123,2,10:10.0,D. Russell makes 3-pt jump shot from 25 ft (assist by C. LeVert),,32,43
124,2,9:53.0,,H. Giles misses 2-pt layup from 5 ft,32,43
125,2,9:45.0,,Offensive rebound by M. Bagley,32,43
126,2,9:45.0,,M. Bagley makes 2-pt layup from 1 ft,32,45
127,2,9:39.0,D. Russell misses 2-pt jump shot from 20 ft,,32,45
128,2,9:35.0,,Defensive rebound by M. Bagley,32,45
129,2,9:29.0,,Personal foul by E. Davis (drawn by H. Giles),32,45
130,2,9:29.0,S. Dinwiddie enters the game for D. Carroll,,32,45
131,2,9:29.0,,N. Bjelica enters the game for H. Giles,32,45
