,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:45.0,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),,3,0
1,1,11:23.0,,J. Butler misses 3-pt jump shot from 25 ft,3,0
2,1,11:19.0,Defensive rebound by K. Irving,,3,0
3,1,11:12.0,A. Horford misses 2-pt jump shot from 12 ft,,3,0
4,1,11:09.0,,Defensive rebound by T. Harris,3,0
5,1,11:01.0,,Shooting foul by A. Horford (drawn by J. Embiid),3,0
6,1,11:01.0,,J. Embiid misses free throw 1 of 2,3,0
7,1,11:01.0,,Offensive rebound by Team,3,0
8,1,11:01.0,,J. Embiid makes free throw 2 of 2,3,1
9,1,10:49.0,K. Irving makes 3-pt jump shot from 27 ft (assist by J. Tatum),,6,1
10,1,10:31.0,,T. Harris makes 2-pt jump shot from 7 ft,6,3
11,1,10:22.0,M. Smart misses 2-pt jump shot from 16 ft,,6,3
12,1,10:20.0,,Defensive rebound by J. Embiid,6,3
13,1,10:06.0,,J. Embiid misses 2-pt layup from 3 ft,6,3
14,1,10:03.0,,Offensive rebound by T. Harris,6,3
15,1,10:03.0,,T. Harris misses 2-pt layup from 3 ft,6,3
16,1,10:03.0,,Offensive rebound by T. Harris,6,3
17,1,9:59.0,,T. Harris misses 2-pt layup from 5 ft (block by J. Tatum),6,3
18,1,9:58.0,Defensive rebound by K. Irving,,6,3
19,1,9:56.0,A. Horford makes 2-pt jump shot from 4 ft (assist by K. Irving),,8,3
20,1,9:38.0,,T. Harris misses 2-pt jump shot from 15 ft,8,3
21,1,9:36.0,Defensive rebound by J. Tatum,,8,3
22,1,9:32.0,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),,11,3
23,1,9:19.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),11,6
24,1,9:10.0,K. Irving misses 3-pt jump shot from 27 ft,,11,6
25,1,9:07.0,,Defensive rebound by J. Embiid,11,6
26,1,9:00.0,,Shooting foul by K. Irving (drawn by J. Butler),11,6
27,1,9:00.0,,J. Butler makes free throw 1 of 2,11,7
28,1,9:00.0,,J. Butler makes free throw 2 of 2,11,8
29,1,8:51.0,Personal foul by B. Simmons (drawn by K. Irving),,11,8
30,1,8:48.0,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),,13,8
31,1,8:35.0,,Turnover by B. Simmons (traveling),13,8
32,1,8:26.0,M. Morris misses 2-pt jump shot from 15 ft,,13,8
33,1,8:23.0,Offensive rebound by K. Irving,,13,8
34,1,8:22.0,K. Irving makes 2-pt layup from 2 ft,,15,8
35,1,8:22.0,Shooting foul by J. Redick (drawn by K. Irving),,15,8
36,1,8:22.0,A. Baynes enters the game for A. Horford,,15,8
37,1,8:22.0,K. Irving misses free throw 1 of 1,,15,8
38,1,8:19.0,,Defensive rebound by J. Embiid,15,8
39,1,8:06.0,,J. Redick misses 3-pt jump shot from 27 ft,15,8
40,1,8:04.0,,Offensive rebound by J. Embiid,15,8
41,1,8:02.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by J. Embiid),15,11
42,1,7:45.0,J. Tatum misses 2-pt jump shot from 13 ft,,15,11
43,1,7:42.0,Offensive rebound by A. Baynes,,15,11
44,1,7:36.0,M. Morris makes 2-pt jump shot from 9 ft,,17,11
45,1,7:24.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),17,13
46,1,7:24.0,,Shooting foul by J. Tatum (drawn by B. Simmons),17,13
47,1,7:24.0,,B. Simmons misses free throw 1 of 1,17,13
48,1,7:22.0,Defensive rebound by A. Baynes,,17,13
49,1,7:05.0,Personal foul by J. Butler (drawn by J. Tatum),,17,13
50,1,6:56.0,K. Irving makes 2-pt jump shot from 11 ft,,19,13
51,1,6:55.0,,Philadelphia full timeout,19,13
52,1,6:40.0,,J. Redick misses 3-pt jump shot from 26 ft,19,13
53,1,6:38.0,,Offensive rebound by T. Harris,19,13
54,1,6:38.0,,Shooting foul by A. Baynes (drawn by T. Harris),19,13
55,1,6:38.0,,T. Harris makes free throw 1 of 2,19,14
56,1,6:38.0,,T. Harris makes free throw 2 of 2,19,15
57,1,6:28.0,K. Irving misses 3-pt jump shot from 27 ft,,19,15
58,1,6:25.0,,Defensive rebound by J. Embiid,19,15
59,1,6:20.0,,T. Harris misses 3-pt jump shot from 23 ft,19,15
60,1,6:17.0,Defensive rebound by K. Irving,,19,15
61,1,6:11.0,M. Smart misses 3-pt jump shot from 27 ft,,19,15
62,1,6:08.0,,Defensive rebound by B. Simmons,19,15
63,1,6:04.0,,B. Simmons makes 2-pt layup from 3 ft,19,17
64,1,5:48.0,M. Morris misses 2-pt jump shot from 11 ft,,19,17
65,1,5:46.0,,Defensive rebound by J. Embiid,19,17
66,1,5:38.0,,J. Embiid makes 2-pt jump shot from 5 ft (assist by T. Harris),19,19
67,1,5:20.0,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),,21,19
68,1,5:04.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),21,21
69,1,4:49.0,K. Irving misses 2-pt jump shot from 13 ft,,21,21
70,1,4:47.0,,Defensive rebound by J. Embiid,21,21
71,1,4:43.0,,T. Harris misses 3-pt jump shot from 26 ft,21,21
72,1,4:40.0,Defensive rebound by J. Tatum,,21,21
73,1,4:40.0,Personal foul by J. Butler (drawn by J. Tatum),,21,21
74,1,4:40.0,J. Brown enters the game for A. Baynes,,21,21
75,1,4:40.0,A. Horford enters the game for M. Smart,,21,21
76,1,4:40.0,,B. Marjanović enters the game for J. Embiid,21,21
77,1,4:40.0,,T. McConnell enters the game for J. Redick,21,21
78,1,4:40.0,,M. Scott enters the game for B. Simmons,21,21
79,1,4:25.0,A. Horford misses 3-pt jump shot from 26 ft,,21,21
80,1,4:24.0,,Defensive rebound by Team,21,21
81,1,4:12.0,,T. McConnell misses 2-pt jump shot from 14 ft,21,21
82,1,4:09.0,Defensive rebound by M. Morris,,21,21
83,1,4:03.0,K. Irving makes 2-pt jump shot from 10 ft,,23,21
84,1,3:34.0,,T. Harris misses 2-pt jump shot from 6 ft,23,21
85,1,3:31.0,,Offensive rebound by J. Butler,23,21
86,1,3:26.0,,B. Marjanović misses 2-pt hook shot from 4 ft,23,21
87,1,3:24.0,Defensive rebound by M. Morris,,23,21
88,1,3:17.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by M. Morris),,26,21
89,1,2:59.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by T. McConnell),26,24
90,1,2:58.0,Boston full timeout,,26,24
91,1,2:58.0,T. Rozier enters the game for M. Morris,,26,24
92,1,2:58.0,,J. Ennis enters the game for J. Butler,26,24
93,1,2:42.0,K. Irving misses 3-pt jump shot from 25 ft,,26,24
94,1,2:38.0,Offensive rebound by J. Brown,,26,24
95,1,2:33.0,J. Tatum makes 2-pt layup from 2 ft (assist by J. Brown),,28,24
96,1,2:20.0,,T. Harris misses 2-pt jump shot from 18 ft,28,24
97,1,2:17.0,Defensive rebound by J. Brown,,28,24
98,1,2:11.0,J. Tatum misses 2-pt jump shot from 20 ft,,28,24
99,1,2:08.0,,Defensive rebound by M. Scott,28,24
100,1,1:58.0,,T. Harris misses 2-pt layup from 3 ft,28,24
101,1,1:56.0,Defensive rebound by A. Horford,,28,24
102,1,1:49.0,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),,30,24
103,1,1:40.0,,Turnover by B. Marjanović (back court),30,24
104,1,1:40.0,A. Baynes enters the game for J. Tatum,,30,24
105,1,1:40.0,,J. Embiid enters the game for T. Harris,30,24
106,1,1:40.0,,J. Redick enters the game for B. Marjanović,30,24
107,1,1:40.0,,B. Simmons enters the game for T. McConnell,30,24
108,1,1:31.0,Turnover by K. Irving (bad pass; steal by M. Scott),,30,24
109,1,1:25.0,,J. Ennis makes 2-pt dunk from 1 ft (assist by B. Simmons),30,26
110,1,1:13.0,Shooting foul by M. Scott (drawn by K. Irving),,30,26
111,1,1:13.0,K. Irving makes free throw 1 of 2,,31,26
112,1,1:13.0,K. Irving makes free throw 2 of 2,,32,26
113,1,0:55.0,,J. Embiid misses 2-pt jump shot from 15 ft,32,26
114,1,0:52.0,Defensive rebound by T. Rozier,,32,26
115,1,0:48.0,T. Rozier makes 3-pt jump shot from 23 ft (assist by A. Horford),,35,26
116,1,0:47.0,,Philadelphia full timeout,35,26
117,1,0:36.0,,Personal foul by J. Brown (drawn by J. Embiid),35,26
118,1,0:36.0,,J. Embiid makes free throw 1 of 2,35,27
119,1,0:36.0,,J. Embiid makes free throw 2 of 2,35,28
120,1,0:27.0,T. Rozier makes 2-pt jump shot from 8 ft,,37,28
121,1,0:12.0,,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),37,30
122,1,0:04.0,K. Irving makes 2-pt layup from 1 ft,,39,30
123,1,0:01.0,,B. Simmons misses 2-pt jump shot from 18 ft,39,30
124,1,0:00.0,,Offensive rebound by Team,39,30
125,2,11:32.0,,J. Redick misses 2-pt jump shot from 16 ft,39,30
126,2,11:29.0,Defensive rebound by T. Rozier,,39,30
127,2,11:22.0,A. Horford misses 2-pt hook shot from 9 ft,,39,30
128,2,11:20.0,,Defensive rebound by J. Embiid,39,30
129,2,11:07.0,,Shooting foul by A. Baynes (drawn by J. Embiid),39,30
130,2,11:07.0,,J. Embiid makes free throw 1 of 2,39,31
131,2,11:07.0,,J. Embiid makes free throw 2 of 2,39,32
132,2,10:59.0,Turnover by J. Brown (traveling),,39,32
133,2,10:47.0,,J. Embiid makes 2-pt hook shot from 6 ft (assist by J. Redick),39,34
134,2,10:26.0,A. Horford makes 2-pt hook shot from 7 ft,,41,34
135,2,10:26.0,Shooting foul by B. Simmons (drawn by A. Horford),,41,34
136,2,10:26.0,A. Horford makes free throw 1 of 1,,42,34
137,2,10:15.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),42,37
138,2,9:52.0,A. Horford makes 2-pt hook shot from 6 ft,,44,37
139,2,9:52.0,Shooting foul by T. Harris (drawn by A. Horford),,44,37
140,2,9:52.0,,J. Butler enters the game for J. Ennis,44,37
141,2,9:52.0,A. Horford makes free throw 1 of 1,,45,37
142,2,9:31.0,,Turnover by J. Embiid (bad pass),45,37
143,2,9:09.0,Turnover by A. Horford (bad pass; steal by J. Embiid),,45,37
144,2,9:05.0,,J. Redick misses 3-pt jump shot from 26 ft,45,37
145,2,9:01.0,Defensive rebound by T. Rozier,,45,37
146,2,8:57.0,J. Brown makes 2-pt layup from 1 ft (assist by M. Smart),,47,37
147,2,8:38.0,,J. Butler misses 2-pt jump shot from 8 ft,47,37
148,2,8:36.0,Defensive rebound by A. Baynes,,47,37
149,2,8:30.0,T. Rozier makes 3-pt jump shot from 26 ft,,50,37
150,2,8:17.0,,B. Simmons makes 2-pt layup from 3 ft (assist by J. Redick),50,39
151,2,8:09.0,Turnover by M. Smart (bad pass; steal by B. Simmons),,50,39
152,2,8:04.0,,J. Redick misses 3-pt jump shot from 26 ft,50,39
153,2,8:00.0,Defensive rebound by M. Smart,,50,39
