,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
0,1,11:42.0,,J. Richardson misses 3-pt jump shot from 25 ft (block by E. Gordon),0,0
1,1,11:39.0,Defensive rebound by P. Tucker,,0,0
2,1,11:38.0,Shooting foul by R. McGruder (drawn by E. Gordon),,0,0
3,1,11:38.0,E. Gordon makes free throw 1 of 2,,1,0
4,1,11:38.0,E. Gordon makes free throw 2 of 2,,2,0
5,1,11:16.0,,J. Johnson misses 2-pt jump shot from 13 ft,2,0
6,1,11:14.0,Defensive rebound by E. Gordon,,2,0
7,1,11:08.0,J. Harden makes 3-pt jump shot from 25 ft,,5,0
8,1,10:58.0,,Shooting foul by J. Harden (drawn by R. McGruder),5,0
9,1,10:58.0,,R. McGruder makes free throw 1 of 2,5,1
10,1,10:58.0,,R. McGruder makes free throw 2 of 2,5,2
11,1,10:46.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,8,2
12,1,10:26.0,,J. Johnson misses 2-pt layup from 2 ft,8,2
13,1,10:23.0,Defensive rebound by C. Paul,,8,2
14,1,10:16.0,J. Harden makes 3-pt jump shot from 26 ft,,11,2
15,1,10:01.0,,T. Johnson makes 2-pt layup at rim (assist by J. Richardson),11,4
16,1,9:50.0,J. Harden misses 2-pt layup at rim,,11,4
17,1,9:50.0,,Defensive rebound by H. Whiteside,11,4
18,1,9:45.0,,T. Johnson makes 2-pt dunk from 1 ft (assist by H. Whiteside),11,6
19,1,9:30.0,E. Gordon misses 3-pt jump shot from 24 ft,,11,6
20,1,9:27.0,,Defensive rebound by J. Johnson,11,6
21,1,9:21.0,,R. McGruder misses 3-pt jump shot from 23 ft,11,6
22,1,9:18.0,Defensive rebound by Team,,11,6
23,1,9:08.0,C. Paul misses 3-pt jump shot from 25 ft,,11,6
24,1,9:06.0,,Defensive rebound by H. Whiteside,11,6
25,1,8:43.0,,R. McGruder misses 3-pt jump shot from 23 ft,11,6
26,1,8:40.0,Defensive rebound by P. Tucker,,11,6
27,1,8:27.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,13,6
