,QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,R. Gay makes 2-pt jump shot from 11 ft,0,2
1,1,11:22.0,M. Turner makes 2-pt hook shot from 7 ft,,2,2
2,1,11:04.0,,L. Aldridge misses 3-pt jump shot from 27 ft,2,2
3,1,11:01.0,Defensive rebound by B. Bogdanović,,2,2
4,1,10:56.0,T. Young misses 2-pt jump shot from 19 ft,,2,2
5,1,10:51.0,,Defensive rebound by L. Aldridge,2,2
6,1,10:42.0,,Personal foul by B. Bogdanović (drawn by L. Aldridge),2,2
7,1,10:32.0,,Turnover by J. Poeltl (lost ball; steal by D. Collison),2,2
8,1,10:09.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Collison),,5,2
9,1,9:47.0,,L. Aldridge makes 2-pt jump shot from 9 ft,5,4
10,1,9:26.0,T. Young makes 2-pt hook shot from 4 ft (assist by B. Bogdanović),,7,4
11,1,9:17.0,,San Antonio full timeout,7,4
12,1,9:09.0,,D. DeRozan misses 2-pt jump shot from 17 ft,7,4
13,1,9:06.0,,Offensive rebound by J. Poeltl,7,4
14,1,9:05.0,,Turnover by J. Poeltl (back court),7,4
15,1,8:51.0,T. Young makes 2-pt hook shot from 4 ft (assist by M. Turner),,9,4
16,1,8:30.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by L. Aldridge),9,7
17,1,8:12.0,M. Turner misses 2-pt jump shot from 15 ft,,9,7
18,1,8:09.0,,Defensive rebound by B. Forbes,9,7
19,1,8:00.0,,R. Gay makes 2-pt jump shot from 9 ft,9,9
20,1,7:44.0,D. Collison misses 2-pt jump shot from 14 ft,,9,9
21,1,7:40.0,,Defensive rebound by J. Poeltl,9,9
22,1,7:30.0,,L. Aldridge makes 2-pt jump shot from 5 ft (assist by R. Gay),9,11
23,1,7:18.0,Turnover by B. Bogdanović (bad pass; steal by R. Gay),,9,11
24,1,7:13.0,,B. Forbes misses 3-pt jump shot from 27 ft,9,11
25,1,7:10.0,Defensive rebound by M. Turner,,9,11
26,1,6:56.0,M. Turner misses 2-pt jump shot from 20 ft,,9,11
27,1,6:51.0,,Defensive rebound by R. Gay,9,11
28,1,6:35.0,,D. DeRozan misses 2-pt jump shot from 13 ft,9,11
29,1,6:32.0,Defensive rebound by B. Bogdanović,,9,11
30,1,6:28.0,Offensive foul by M. Turner (drawn by B. Forbes),,9,11
31,1,6:28.0,Turnover by M. Turner (offensive foul),,9,11
32,1,6:12.0,,L. Aldridge misses 2-pt jump shot from 5 ft (block by M. Turner),9,11
33,1,6:03.0,Defensive rebound by V. Oladipo,,9,11
34,1,5:57.0,M. Turner makes 2-pt jump shot from 16 ft,,11,11
35,1,5:30.0,,J. Poeltl makes 2-pt hook shot from 6 ft (assist by D. DeRozan),11,13
36,1,5:14.0,T. Young makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,14,13
37,1,4:53.0,,B. Forbes makes 2-pt jump shot from 21 ft,14,15
38,1,4:31.0,Turnover by T. Young (out of bounds lost ball),,14,15
39,1,4:31.0,,M. Belinelli enters the game for B. Forbes,14,15
40,1,4:31.0,,P. Gasol enters the game for R. Gay,14,15
41,1,4:31.0,,P. Mills enters the game for J. Poeltl,14,15
42,1,4:15.0,,L. Aldridge misses 2-pt layup from 5 ft,14,15
43,1,4:14.0,,Offensive rebound by L. Aldridge,14,15
44,1,4:14.0,,L. Aldridge misses 2-pt layup at rim,14,15
45,1,4:12.0,Defensive rebound by T. Young,,14,15
46,1,4:06.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),,17,15
47,1,3:46.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by P. Gasol),17,17
48,1,3:38.0,Indiana full timeout,,17,17
49,1,3:38.0,T. Evans enters the game for B. Bogdanović,,17,17
50,1,3:38.0,C. Joseph enters the game for D. Collison,,17,17
51,1,3:38.0,D. Sabonis enters the game for T. Young,,17,17
52,1,3:38.0,,D. Bertāns enters the game for L. Aldridge,17,17
53,1,3:24.0,Turnover by V. Oladipo (bad pass),,17,17
54,1,3:15.0,,M. Belinelli misses 2-pt layup from 4 ft (block by T. Evans),17,17
55,1,3:11.0,Defensive rebound by D. Sabonis,,17,17
56,1,3:10.0,Personal foul by D. Bertāns (drawn by M. Turner),,17,17
57,1,3:10.0,T. Leaf enters the game for M. Turner,,17,17
58,1,2:59.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,20,17
59,1,2:38.0,,Turnover by P. Gasol (lost ball; steal by T. Evans),20,17
60,1,2:33.0,C. Joseph misses 2-pt layup from 3 ft,,20,17
61,1,2:29.0,Offensive rebound by D. Sabonis,,20,17
62,1,2:27.0,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,23,17
