,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BROOKLYN_ACTION,OKLAHOMA CITY_SCORE,BROOKLYN_SCORE
0,1,11:41.0,T. Ferguson makes 3-pt jump shot from 24 ft (assist by P. George),,3,0
1,1,11:28.0,,Personal foul by R. Westbrook (drawn by J. Allen),3,0
2,1,11:22.0,,D. Russell misses 3-pt jump shot from 26 ft,3,0
3,1,11:17.0,,Offensive rebound by J. Allen,3,0
4,1,11:17.0,,J. Allen makes 2-pt dunk from 1 ft,3,2
5,1,11:09.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,6,2
6,1,10:59.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by J. Allen),6,5
7,1,10:42.0,P. George misses 2-pt layup from 2 ft,,6,5
8,1,10:39.0,,Defensive rebound by J. Harris,6,5
9,1,10:15.0,,J. Allen misses 3-pt jump shot from 25 ft,6,5
10,1,10:12.0,,Offensive rebound by A. Crabbe,6,5
11,1,10:09.0,,A. Crabbe misses 3-pt jump shot from 25 ft,6,5
12,1,10:07.0,Defensive rebound by R. Westbrook,,6,5
13,1,10:00.0,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),,8,5
14,1,9:44.0,,Turnover by D. Russell (bad pass; steal by S. Adams),8,5
15,1,9:32.0,Turnover by S. Adams (bad pass; steal by D. Russell),,8,5
16,1,9:26.0,,Turnover by D. Russell (lost ball; steal by S. Adams),8,5
17,1,9:21.0,S. Adams misses 2-pt layup from 4 ft,,8,5
18,1,9:21.0,,Defensive rebound by R. Hollis-Jefferson,8,5
19,1,9:21.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),8,8
20,1,9:21.0,,Shooting foul by P. George (drawn by A. Crabbe),8,8
21,1,9:21.0,,A. Crabbe misses free throw 1 of 1,8,8
22,1,9:18.0,Defensive rebound by J. Grant,,8,8
23,1,9:12.0,R. Westbrook makes 2-pt jump shot from 15 ft,,10,8
24,1,8:54.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by J. Grant),10,8
25,1,8:52.0,,Offensive rebound by R. Hollis-Jefferson,10,8
26,1,8:49.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),10,11
27,1,8:37.0,Def 3 sec tech foul by Team,,10,11
28,1,8:37.0,P. George makes technical free throw,,11,11
29,1,8:33.0,S. Adams misses 2-pt dunk from 1 ft,,11,11
30,1,8:32.0,Offensive rebound by S. Adams,,11,11
31,1,8:28.0,R. Westbrook makes 2-pt dunk from 1 ft (assist by S. Adams),,13,11
32,1,8:09.0,,A. Crabbe misses 2-pt jump shot from 21 ft,13,11
33,1,8:09.0,Defensive rebound by P. George,,13,11
34,1,7:57.0,P. George misses 2-pt jump shot from 11 ft,,13,11
35,1,7:53.0,,Defensive rebound by J. Harris,13,11
36,1,7:40.0,,J. Allen misses 3-pt jump shot from 23 ft,13,11
37,1,7:36.0,Defensive rebound by T. Ferguson,,13,11
38,1,7:31.0,Turnover by S. Adams (bad pass; steal by A. Crabbe),,13,11
39,1,7:26.0,,A. Crabbe misses 3-pt jump shot from 25 ft,13,11
40,1,7:23.0,Defensive rebound by P. George,,13,11
41,1,7:14.0,S. Adams makes 2-pt jump shot from 11 ft (assist by P. George),,15,11
42,1,7:13.0,,Brooklyn full timeout,15,11
43,1,7:01.0,,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Allen),15,14
44,1,6:45.0,Shooting foul by A. Crabbe (drawn by P. George),,15,14
45,1,6:45.0,P. George makes free throw 1 of 2,,16,14
46,1,6:45.0,,D. Carroll enters the game for A. Crabbe,16,14
47,1,6:45.0,P. George misses free throw 2 of 2,,16,14
48,1,6:42.0,,Defensive rebound by R. Hollis-Jefferson,16,14
49,1,6:32.0,,J. Harris misses 2-pt layup from 2 ft (block by S. Adams),16,14
50,1,6:29.0,,Offensive rebound by J. Allen,16,14
51,1,6:27.0,,J. Allen misses 2-pt layup from 2 ft (block by J. Grant),16,14
52,1,6:27.0,Defensive rebound by P. George,,16,14
53,1,6:24.0,P. George misses 2-pt layup from 2 ft,,16,14
54,1,6:24.0,Offensive rebound by Team,,16,14
55,1,6:24.0,,A. Crabbe enters the game for J. Allen,16,14
56,1,6:24.0,,E. Davis enters the game for D. Carroll,16,14
57,1,6:24.0,,S. Dinwiddie enters the game for J. Harris,16,14
58,1,6:15.0,J. Grant misses 3-pt jump shot from 23 ft,,16,14
59,1,6:10.0,Offensive rebound by P. George,,16,14
60,1,6:07.0,Turnover by R. Westbrook (bad pass),,16,14
61,1,5:43.0,,Turnover by Team (shot clock),16,14
62,1,5:43.0,D. Schröder enters the game for T. Ferguson,,16,14
63,1,5:33.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,18,14
64,1,5:15.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,18,14
65,1,5:11.0,Defensive rebound by R. Westbrook,,18,14
66,1,5:07.0,Turnover by R. Westbrook (out of bounds lost ball),,18,14
67,1,4:46.0,,Shooting foul by J. Grant (drawn by R. Hollis-Jefferson),18,14
68,1,4:46.0,,R. Hollis-Jefferson makes free throw 1 of 2,18,15
69,1,4:46.0,,R. Hollis-Jefferson makes free throw 2 of 2,18,16
70,1,4:35.0,,Violation by Team (kicked ball),18,16
71,1,4:35.0,,D. Carroll enters the game for R. Hollis-Jefferson,18,16
72,1,4:35.0,,J. Dudley enters the game for D. Russell,18,16
73,1,4:26.0,R. Westbrook misses 2-pt jump shot from 11 ft,,18,16
74,1,4:23.0,,Defensive rebound by E. Davis,18,16
75,1,4:02.0,,Shooting foul by J. Grant (drawn by S. Dinwiddie),18,16
76,1,4:02.0,,S. Dinwiddie misses free throw 1 of 2,18,16
77,1,4:02.0,,Offensive rebound by Team,18,16
78,1,4:02.0,,S. Dinwiddie makes free throw 2 of 2,18,17
79,1,3:52.0,R. Westbrook misses 2-pt layup from 1 ft,,18,17
80,1,3:49.0,,Defensive rebound by E. Davis,18,17
81,1,3:37.0,,E. Davis misses 2-pt layup from 2 ft,18,17
82,1,3:34.0,Defensive rebound by S. Adams,,18,17
83,1,3:15.0,D. Schröder misses 2-pt jump shot from 8 ft,,18,17
84,1,3:14.0,Offensive rebound by S. Adams,,18,17
85,1,3:14.0,Personal foul by J. Dudley (drawn by S. Adams),,18,17
86,1,3:14.0,Oklahoma City full timeout,,18,17
87,1,3:14.0,P. Patterson enters the game for J. Grant,,18,17
88,1,3:14.0,,J. Harris enters the game for A. Crabbe,18,17
89,1,3:10.0,R. Westbrook misses 3-pt jump shot from 27 ft,,18,17
90,1,3:06.0,,Defensive rebound by J. Dudley,18,17
91,1,2:48.0,,J. Dudley misses 2-pt jump shot from 16 ft,18,17
92,1,2:45.0,Defensive rebound by R. Westbrook,,18,17
93,1,2:40.0,P. George misses 3-pt jump shot from 26 ft,,18,17
94,1,2:37.0,,Defensive rebound by D. Carroll,18,17
95,1,2:27.0,,Turnover by D. Carroll (traveling),18,17
96,1,2:27.0,Á. Abrines enters the game for R. Westbrook,,18,17
97,1,2:19.0,D. Schröder makes 2-pt layup from 2 ft,,20,17
98,1,2:00.0,,S. Dinwiddie makes 2-pt layup from 1 ft,20,19
99,1,1:47.0,D. Schröder misses 2-pt jump shot from 19 ft,,20,19
100,1,1:43.0,,Defensive rebound by E. Davis,20,19
101,1,1:22.0,,D. Carroll misses 3-pt jump shot from 23 ft,20,19
102,1,1:19.0,,Offensive rebound by J. Harris,20,19
103,1,1:16.0,,J. Harris makes 2-pt layup from 4 ft,20,21
104,1,1:01.0,Shooting foul by E. Davis (drawn by P. George),,20,21
105,1,1:01.0,P. George makes free throw 1 of 2,,21,21
106,1,1:01.0,N. Noel enters the game for S. Adams,,21,21
107,1,1:01.0,P. George makes free throw 2 of 2,,22,21
108,1,0:51.0,,D. Carroll misses 2-pt jump shot from 18 ft (block by P. George),22,21
109,1,0:50.0,Defensive rebound by P. George,,22,21
110,1,0:47.0,Turnover by P. George (bad pass; steal by S. Dinwiddie),,22,21
111,1,0:43.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),22,24
112,1,0:33.0,P. George misses 3-pt jump shot from 25 ft,,22,24
113,1,0:30.0,,Defensive rebound by J. Harris,22,24
114,1,0:21.0,,D. Carroll makes 2-pt layup from 1 ft (assist by S. Dinwiddie),22,26
115,1,0:02.0,D. Schröder makes 2-pt layup from 2 ft,,24,26
116,1,0:00.0,,J. Dudley misses 3-pt jump shot from 35 ft,24,26
117,1,0:00.0,,Offensive rebound by Team,24,26
118,2,11:44.0,,Turnover by D. Russell (bad pass; steal by Á. Abrines),24,26
119,2,11:37.0,D. Schröder misses 3-pt jump shot from 26 ft,,24,26
120,2,11:34.0,,Defensive rebound by D. Carroll,24,26
121,2,11:22.0,,J. Dudley misses 3-pt jump shot from 25 ft,24,26
122,2,11:19.0,,Offensive rebound by E. Davis,24,26
123,2,11:18.0,,E. Davis makes 2-pt layup from 2 ft,24,28
124,2,11:03.0,Turnover by H. Diallo (bad pass; steal by D. Carroll),,24,28
125,2,10:48.0,,Shooting foul by Á. Abrines (drawn by J. Harris),24,28
126,2,10:48.0,,J. Harris makes free throw 1 of 3,24,29
127,2,10:48.0,,J. Harris makes free throw 2 of 3,24,30
128,2,10:48.0,,J. Harris misses free throw 3 of 3,24,30
129,2,10:45.0,Defensive rebound by N. Noel,,24,30
130,2,10:25.0,P. Patterson misses 2-pt jump shot from 10 ft,,24,30
131,2,10:22.0,Offensive rebound by P. Patterson,,24,30
132,2,10:21.0,P. Patterson misses 2-pt layup from 3 ft,,24,30
133,2,10:20.0,Offensive rebound by H. Diallo,,24,30
134,2,10:19.0,H. Diallo misses 2-pt layup from 1 ft,,24,30
135,2,10:18.0,Offensive rebound by N. Noel,,24,30
136,2,10:17.0,Á. Abrines misses 3-pt jump shot from 26 ft,,24,30
137,2,10:17.0,Offensive rebound by H. Diallo,,24,30
138,2,10:05.0,Turnover by H. Diallo (bad pass; steal by D. Russell),,24,30
