,QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
0,1,11:39.0,M. Morris misses 2-pt layup from 1 ft,,0,0
1,1,11:38.0,,Defensive rebound by Team,0,0
2,1,11:21.0,,P. Siakam misses 3-pt jump shot from 23 ft,0,0
3,1,11:18.0,Defensive rebound by J. Tatum,,0,0
4,1,11:02.0,K. Irving makes 2-pt jump shot from 8 ft,,2,0
5,1,10:51.0,,Personal foul by M. Smart (drawn by K. Leonard),2,0
6,1,10:46.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Leonard),2,3
7,1,10:32.0,A. Horford makes 2-pt jump shot from 20 ft (assist by K. Irving),,4,3
8,1,10:21.0,,K. Leonard makes 2-pt jump shot from 10 ft (assist by K. Lowry),4,5
9,1,10:10.0,K. Irving misses 3-pt jump shot from 31 ft,,4,5
10,1,10:07.0,,Defensive rebound by K. Leonard,4,5
11,1,9:53.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),4,8
12,1,9:28.0,M. Morris makes 2-pt layup from 2 ft (assist by K. Irving),,6,8
13,1,9:19.0,,K. Leonard misses 2-pt jump shot from 12 ft,6,8
14,1,9:16.0,Defensive rebound by M. Morris,,6,8
15,1,9:07.0,J. Tatum misses 3-pt jump shot from 26 ft,,6,8
16,1,9:05.0,,Defensive rebound by K. Leonard,6,8
17,1,8:58.0,,K. Lowry misses 3-pt jump shot from 27 ft,6,8
18,1,8:55.0,Defensive rebound by K. Irving,,6,8
19,1,8:47.0,A. Horford makes 2-pt hook shot from 2 ft (assist by K. Irving),,8,8
20,1,8:33.0,,D. Green misses 3-pt jump shot from 24 ft,8,8
21,1,8:31.0,Defensive rebound by A. Horford,,8,8
22,1,8:25.0,J. Tatum misses 2-pt jump shot from 4 ft,,8,8
23,1,8:23.0,,Defensive rebound by P. Siakam,8,8
24,1,8:15.0,,K. Leonard misses 3-pt jump shot from 25 ft,8,8
25,1,8:12.0,Defensive rebound by M. Morris,,8,8
26,1,8:04.0,Personal foul by D. Green (drawn by J. Tatum),,8,8
27,1,7:57.0,J. Tatum makes 2-pt jump shot from 17 ft (assist by A. Horford),,10,8
28,1,7:38.0,,P. Siakam makes 2-pt jump shot from 5 ft,10,10
