,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,B. Hield misses 2-pt jump shot from 17 ft,0,0
1,1,11:40.0,Defensive rebound by L. Dončić,,0,0
2,1,11:30.0,J. Jackson makes 2-pt jump shot from 15 ft (assist by D. Powell),,2,0
3,1,11:04.0,,D. Fox makes 3-pt jump shot from 26 ft (assist by N. Bjelica),2,3
4,1,10:41.0,L. Dončić makes 3-pt jump shot from 27 ft,,5,3
5,1,10:31.0,,Shooting foul by J. Brunson (drawn by D. Fox),5,3
6,1,10:31.0,,D. Fox makes free throw 1 of 2,5,4
7,1,10:31.0,,D. Fox misses free throw 2 of 2,5,4
8,1,10:25.0,Defensive rebound by L. Dončić,,5,4
9,1,10:07.0,D. Powell misses 2-pt layup from 3 ft,,5,4
10,1,10:05.0,,Defensive rebound by W. Cauley-Stein,5,4
11,1,10:02.0,,N. Bjelica misses 3-pt jump shot from 28 ft,5,4
12,1,9:56.0,Defensive rebound by J. Jackson,,5,4
13,1,9:47.0,J. Brunson makes 2-pt hook shot from 3 ft,,7,4
14,1,9:27.0,,B. Hield misses 3-pt jump shot from 23 ft,7,4
15,1,9:22.0,Defensive rebound by M. Kleber,,7,4
16,1,9:17.0,Shooting foul by N. Bjelica (drawn by L. Dončić),,7,4
17,1,9:17.0,L. Dončić makes free throw 1 of 2,,8,4
18,1,9:17.0,L. Dončić makes free throw 2 of 2,,9,4
19,1,8:55.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),9,6
20,1,8:41.0,J. Brunson makes 2-pt jump shot from 6 ft (assist by L. Dončić),,11,6
21,1,8:27.0,,Turnover by H. Barnes (traveling),11,6
22,1,8:27.0,S. Mejri enters the game for D. Powell,,11,6
23,1,8:01.0,J. Jackson misses 3-pt jump shot from 26 ft,,11,6
24,1,8:00.0,,Defensive rebound by W. Cauley-Stein,11,6
25,1,7:40.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),11,8
26,1,7:40.0,,Shooting foul by S. Mejri (drawn by W. Cauley-Stein),11,8
