,QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
0,1,11:48.0,J. Richardson makes 2-pt layup from 2 ft (assist by K. Olynyk),,2,0
1,1,11:48.0,,Violation by Team (def goaltending),2,0
2,1,11:35.0,,Turnover by L. Dončić (bad pass; steal by H. Whiteside),2,0
3,1,11:19.0,D. Waiters misses 2-pt layup from 2 ft,,2,0
4,1,11:16.0,,Defensive rebound by L. Dončić,2,0
5,1,11:13.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),2,3
6,1,10:55.0,H. Whiteside misses 2-pt hook shot from 5 ft,,2,3
7,1,10:51.0,,Defensive rebound by M. Kleber,2,3
8,1,10:46.0,,M. Kleber misses 3-pt jump shot from 25 ft,2,3
9,1,10:43.0,Defensive rebound by K. Olynyk,,2,3
10,1,10:36.0,Personal foul by L. Dončić (drawn by K. Olynyk),,2,3
11,1,10:32.0,J. Richardson makes 2-pt jump shot from 16 ft (assist by J. Winslow),,4,3
12,1,10:20.0,,D. Finney-Smith misses 2-pt layup from 4 ft (block by J. Richardson),4,3
13,1,10:17.0,Defensive rebound by J. Richardson,,4,3
14,1,10:14.0,J. Richardson misses 3-pt jump shot from 26 ft,,4,3
15,1,10:10.0,,Defensive rebound by D. Finney-Smith,4,3
16,1,9:59.0,,T. Hardaway misses 3-pt jump shot from 25 ft,4,3
17,1,9:55.0,Defensive rebound by H. Whiteside,,4,3
18,1,9:42.0,Turnover by H. Whiteside (3 sec),,4,3
19,1,9:30.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by L. Dončić),4,5
20,1,9:07.0,D. Waiters makes 3-pt jump shot from 25 ft,,7,5
21,1,8:52.0,,Personal foul by J. Winslow (drawn by L. Dončić),7,5
22,1,8:45.0,,L. Dončić misses 3-pt jump shot from 29 ft,7,5
23,1,8:41.0,Defensive rebound by J. Winslow,,7,5
24,1,8:35.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,9,5
25,1,8:20.0,,L. Dončić misses 2-pt layup from 1 ft,9,5
26,1,8:18.0,Defensive rebound by K. Olynyk,,9,5
27,1,8:12.0,Personal foul by M. Kleber (drawn by H. Whiteside),,9,5
28,1,7:59.0,Turnover by K. Olynyk (bad pass; steal by T. Hardaway),,9,5
29,1,7:53.0,,L. Dončić misses 2-pt layup from 3 ft (block by K. Olynyk),9,5
30,1,7:53.0,Defensive rebound by J. Richardson,,9,5
31,1,7:48.0,D. Waiters makes 2-pt layup from 2 ft (assist by J. Richardson),,11,5
32,1,7:45.0,,Dallas full timeout,11,5
33,1,7:29.0,,M. Kleber misses 3-pt jump shot from 26 ft,11,5
34,1,7:25.0,Defensive rebound by H. Whiteside,,11,5
35,1,7:10.0,H. Whiteside makes 2-pt jump shot from 9 ft,,13,5
