,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:45.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,0
1,1,11:32.0,,T. Young makes 2-pt layup from 3 ft,3,2
2,1,11:20.0,Shooting foul by A. Len (drawn by J. Redick),,3,2
3,1,11:20.0,J. Redick makes free throw 1 of 2,,4,2
4,1,11:20.0,J. Redick makes free throw 2 of 2,,5,2
5,1,11:11.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),5,5
6,1,10:55.0,B. Simmons makes 2-pt hook shot from 4 ft (assist by J. Bolden),,7,5
7,1,10:38.0,,A. Len makes 2-pt hook shot from 6 ft (assist by T. Prince),7,7
8,1,10:29.0,Shooting foul by A. Len (drawn by B. Simmons),,7,7
9,1,10:29.0,B. Marjanović enters the game for J. Bolden,,7,7
10,1,10:29.0,,D. Davis enters the game for A. Len,7,7
11,1,10:29.0,B. Simmons makes free throw 1 of 2,,8,7
12,1,10:29.0,B. Simmons misses free throw 2 of 2,,8,7
13,1,10:26.0,,Defensive rebound by D. Davis,8,7
14,1,10:19.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),8,10
15,1,10:05.0,B. Marjanović misses 2-pt jump shot from 9 ft (block by D. Davis),,8,10
16,1,10:04.0,Offensive rebound by B. Simmons,,8,10
17,1,10:03.0,B. Simmons misses 2-pt layup from 1 ft,,8,10
18,1,10:00.0,Offensive rebound by J. Butler,,8,10
19,1,10:00.0,Shooting foul by D. Davis (drawn by B. Simmons),,8,10
20,1,10:00.0,B. Simmons makes free throw 1 of 2,,9,10
21,1,10:00.0,B. Simmons makes free throw 2 of 2,,10,10
22,1,9:47.0,,T. Prince misses 3-pt jump shot from 25 ft,10,10
23,1,9:43.0,Defensive rebound by B. Marjanović,,10,10
24,1,9:38.0,Turnover by B. Simmons (bad pass; steal by T. Prince),,10,10
25,1,9:34.0,,T. Prince misses 3-pt jump shot from 25 ft,10,10
26,1,9:30.0,,Offensive rebound by D. Davis,10,10
27,1,9:20.0,,T. Young misses 3-pt jump shot from 26 ft,10,10
28,1,9:17.0,Defensive rebound by B. Marjanović,,10,10
29,1,9:09.0,T. Harris misses 2-pt jump shot from 3 ft,,10,10
30,1,9:07.0,Offensive rebound by T. Harris,,10,10
31,1,9:05.0,T. Harris makes 2-pt layup from 1 ft,,12,10
32,1,8:46.0,,K. Huerter makes 2-pt jump shot from 11 ft (assist by T. Young),12,12
33,1,8:36.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),,15,12
34,1,8:15.0,,K. Huerter makes 3-pt jump shot from 25 ft,15,15
35,1,7:54.0,Turnover by B. Marjanović (bad pass; steal by K. Huerter),,15,15
