,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
0,1,11:38.0,Personal foul by W. Selden (drawn by J. Embiid),,0,0
1,1,11:29.0,T. Harris misses 2-pt jump shot from 21 ft,,0,0
2,1,11:27.0,,Defensive rebound by R. Lopez,0,0
3,1,11:12.0,,S. Harrison makes 3-pt jump shot from 25 ft (assist by R. Alkins),0,3
4,1,10:58.0,Turnover by B. Simmons (lost ball; steal by W. Lemon),,0,3
5,1,10:52.0,,R. Alkins makes 3-pt jump shot from 23 ft (assist by W. Lemon),0,6
6,1,10:31.0,J. Embiid misses 2-pt jump shot from 6 ft,,0,6
7,1,10:28.0,,Defensive rebound by R. Lopez,0,6
8,1,10:19.0,,W. Lemon misses 2-pt jump shot from 17 ft,0,6
9,1,10:16.0,Defensive rebound by J. Redick,,0,6
10,1,10:08.0,J. Redick makes 2-pt jump shot from 22 ft (assist by T. Harris),,2,6
11,1,9:42.0,,R. Lopez makes 2-pt hook shot from 4 ft,2,8
12,1,9:30.0,B. Simmons makes 2-pt dunk from 1 ft,,4,8
13,1,9:11.0,,R. Lopez misses 2-pt hook shot from 6 ft,4,8
14,1,9:09.0,Defensive rebound by J. Redick,,4,8
15,1,9:01.0,J. Embiid makes 2-pt jump shot from 19 ft (assist by T. Harris),,6,8
16,1,8:42.0,,R. Alkins makes 2-pt jump shot from 5 ft (assist by W. Selden),6,10
17,1,8:32.0,J. Redick misses 3-pt jump shot from 25 ft,,6,10
18,1,8:29.0,,Defensive rebound by W. Selden,6,10
19,1,8:22.0,,W. Selden misses 2-pt jump shot from 15 ft,6,10
20,1,8:19.0,Defensive rebound by T. Harris,,6,10
21,1,8:12.0,J. Embiid misses 3-pt jump shot from 25 ft,,6,10
22,1,8:09.0,,Defensive rebound by R. Alkins,6,10
23,1,8:01.0,,W. Selden misses 3-pt jump shot from 23 ft,6,10
24,1,7:59.0,Defensive rebound by J. Embiid,,6,10
25,1,7:53.0,B. Simmons makes 2-pt layup from 2 ft,,8,10
26,1,7:33.0,,S. Harrison makes 2-pt layup from 1 ft,8,12
27,1,7:20.0,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),,10,12
28,1,7:15.0,,Offensive foul by W. Selden (drawn by J. Redick),10,12
29,1,7:15.0,,Turnover by W. Selden (offensive foul),10,12
30,1,7:15.0,B. Marjanović enters the game for J. Embiid,,10,12
31,1,7:15.0,T. McConnell enters the game for J. Redick,,10,12
32,1,7:15.0,S. Milton enters the game for B. Simmons,,10,12
33,1,7:15.0,,J. Sampson enters the game for W. Selden,10,12
34,1,7:03.0,T. Harris misses 3-pt jump shot from 24 ft,,10,12
35,1,7:00.0,,Defensive rebound by J. Sampson,10,12
36,1,6:44.0,,J. Sampson misses 3-pt jump shot from 23 ft,10,12
37,1,6:41.0,Defensive rebound by T. Harris,,10,12
38,1,6:33.0,B. Marjanović makes 2-pt hook shot from 6 ft (assist by T. Harris),,12,12
39,1,6:32.0,,Chicago full timeout,12,12
40,1,6:32.0,J. Bolden enters the game for M. Scott,,12,12
41,1,6:23.0,,J. Sampson misses 2-pt layup from 3 ft (block by J. Bolden),12,12
42,1,6:23.0,,Offensive rebound by Team,12,12
43,1,6:13.0,,R. Alkins misses 2-pt layup from 3 ft,12,12
44,1,6:10.0,Defensive rebound by J. Bolden,,12,12
45,1,5:54.0,T. Harris misses 2-pt jump shot from 7 ft,,12,12
46,1,5:52.0,,Defensive rebound by J. Sampson,12,12
47,1,5:45.0,,W. Lemon misses 2-pt layup from 2 ft,12,12
48,1,5:43.0,Defensive rebound by B. Marjanović,,12,12
49,1,5:40.0,S. Milton misses 3-pt jump shot from 26 ft,,12,12
50,1,5:36.0,,Defensive rebound by R. Alkins,12,12
51,1,5:27.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by R. Alkins),12,14
52,1,5:01.0,B. Marjanović makes 2-pt hook shot from 2 ft (assist by J. Bolden),,14,14
53,1,4:50.0,,W. Lemon misses 2-pt jump shot from 18 ft,14,14
54,1,4:49.0,Defensive rebound by T. McConnell,,14,14
55,1,4:44.0,Turnover by T. McConnell (bad pass; steal by W. Lemon),,14,14
56,1,4:36.0,,R. Lopez misses 3-pt jump shot from 27 ft,14,14
57,1,4:33.0,Defensive rebound by T. Harris,,14,14
58,1,4:27.0,T. Harris makes 2-pt jump shot from 12 ft,,16,14
59,1,4:01.0,,Turnover by R. Alkins (bad pass; steal by T. McConnell),16,14
60,1,3:55.0,J. Bolden makes 2-pt layup from 1 ft (assist by T. McConnell),,18,14
61,1,3:35.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by S. Harrison),18,16
62,1,3:35.0,Philadelphia full timeout,,18,16
63,1,3:35.0,Z. Smith enters the game for T. Harris,,18,16
64,1,3:35.0,,R. Arcidiacono enters the game for R. Alkins,18,16
65,1,3:35.0,,B. Sampson enters the game for W. Lemon,18,16
66,1,3:18.0,Z. Smith misses 2-pt jump shot from 14 ft,,18,16
67,1,3:16.0,,Defensive rebound by B. Sampson,18,16
68,1,3:08.0,,R. Arcidiacono misses 2-pt layup from 1 ft,18,16
69,1,3:06.0,Defensive rebound by S. Milton,,18,16
70,1,3:01.0,S. Milton misses 2-pt layup from 1 ft,,18,16
71,1,2:57.0,,Defensive rebound by J. Sampson,18,16
72,1,2:51.0,,S. Harrison misses 2-pt jump shot from 17 ft,18,16
73,1,2:49.0,Defensive rebound by B. Marjanović,,18,16
74,1,2:43.0,Shooting foul by R. Arcidiacono (drawn by T. McConnell),,18,16
75,1,2:43.0,T. McConnell misses free throw 1 of 2,,18,16
76,1,2:43.0,Offensive rebound by Team,,18,16
77,1,2:43.0,J. Embiid enters the game for B. Marjanović,,18,16
78,1,2:43.0,J. Redick enters the game for S. Milton,,18,16
79,1,2:43.0,,C. Felício enters the game for S. Harrison,18,16
80,1,2:43.0,,T. Luwawu-Cabarrot enters the game for R. Lopez,18,16
81,1,2:43.0,T. McConnell makes free throw 2 of 2,,19,16
82,1,2:19.0,,C. Felício misses 2-pt hook shot from 7 ft,19,16
83,1,2:17.0,Defensive rebound by J. Redick,,19,16
84,1,2:06.0,Shooting foul by C. Felício (drawn by J. Embiid),,19,16
85,1,2:06.0,J. Embiid misses free throw 1 of 2,,19,16
86,1,2:06.0,Offensive rebound by Team,,19,16
87,1,2:06.0,B. Simmons enters the game for T. McConnell,,19,16
88,1,2:06.0,J. Embiid misses free throw 2 of 2,,19,16
89,1,2:03.0,,Defensive rebound by J. Sampson,19,16
90,1,1:50.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,19,16
91,1,1:46.0,Defensive rebound by J. Bolden,,19,16
92,1,1:39.0,J. Redick misses 3-pt jump shot from 26 ft,,19,16
93,1,1:36.0,,Defensive rebound by J. Sampson,19,16
94,1,1:30.0,,J. Sampson makes 2-pt jump shot from 18 ft,19,18
95,1,1:14.0,J. Embiid misses 2-pt jump shot from 15 ft,,19,18
96,1,1:09.0,Offensive rebound by B. Simmons,,19,18
97,1,0:59.0,B. Simmons makes 2-pt jump shot from 4 ft (assist by J. Bolden),,21,18
98,1,0:59.0,Shooting foul by C. Felício (drawn by B. Simmons),,21,18
99,1,0:59.0,B. Simmons misses free throw 1 of 1,,21,18
100,1,0:56.0,,Defensive rebound by T. Luwawu-Cabarrot,21,18
101,1,0:44.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by J. Sampson),21,20
