,QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
0,1,11:43.0,R. Bullock misses 3-pt jump shot from 26 ft,,0,0
1,1,11:41.0,,Defensive rebound by G. Hayward,0,0
2,1,11:28.0,,A. Horford misses 2-pt jump shot from 21 ft,0,0
3,1,11:26.0,Defensive rebound by S. Johnson,,0,0
4,1,11:22.0,A. Drummond makes 2-pt layup from 4 ft (assist by S. Johnson),,2,0
5,1,11:11.0,,G. Hayward makes 2-pt dunk at rim (assist by A. Horford),2,2
6,1,10:54.0,S. Johnson misses 3-pt jump shot from 26 ft,,2,2
7,1,10:51.0,,Defensive rebound by J. Tatum,2,2
8,1,10:40.0,,K. Irving makes 2-pt jump shot from 21 ft (assist by J. Brown),2,4
9,1,10:20.0,R. Jackson misses 3-pt jump shot from 26 ft,,2,4
10,1,10:18.0,,Defensive rebound by Team,2,4
11,1,10:11.0,,Offensive foul by A. Horford (drawn by A. Drummond),2,4
12,1,10:11.0,,Turnover by A. Horford (offensive foul),2,4
13,1,9:56.0,A. Drummond misses 2-pt hook shot from 6 ft,,2,4
14,1,9:54.0,,Defensive rebound by A. Horford,2,4
15,1,9:38.0,,Shooting foul by R. Bullock (drawn by J. Tatum),2,4
16,1,9:38.0,,J. Tatum makes free throw 1 of 2,2,5
17,1,9:38.0,,J. Tatum makes free throw 2 of 2,2,6
18,1,9:24.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,4,6
19,1,9:12.0,,J. Tatum misses 2-pt jump shot from 16 ft,4,6
20,1,9:08.0,Defensive rebound by A. Drummond,,4,6
21,1,8:58.0,Def 3 sec tech foul by Team,,4,6
22,1,8:58.0,R. Jackson makes technical free throw,,5,6
23,1,8:49.0,A. Drummond misses 2-pt layup from 3 ft (block by A. Horford),,5,6
24,1,8:45.0,,Defensive rebound by K. Irving,5,6
25,1,8:36.0,,J. Tatum makes 2-pt jump shot from 6 ft (assist by K. Irving),5,8
26,1,8:30.0,Turnover by R. Jackson (bad pass),,5,8
27,1,8:22.0,,K. Irving makes 2-pt layup from 2 ft,5,10
28,1,8:16.0,Detroit full timeout,,5,10
29,1,8:10.0,Shooting foul by A. Horford (drawn by B. Griffin),,5,10
30,1,8:10.0,B. Griffin makes free throw 1 of 2,,6,10
31,1,8:10.0,B. Griffin makes free throw 2 of 2,,7,10
32,1,7:58.0,,Turnover by G. Hayward (bad pass),7,10
33,1,7:45.0,A. Drummond misses 2-pt hook shot from 9 ft,,7,10
34,1,7:43.0,,Defensive rebound by A. Horford,7,10
35,1,7:34.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by J. Tatum),7,13
36,1,7:19.0,Def 3 sec tech foul by Team,,7,13
37,1,7:19.0,R. Jackson makes technical free throw,,8,13
38,1,7:09.0,R. Jackson makes 2-pt hook shot from 8 ft,,10,13
39,1,7:09.0,Shooting foul by J. Brown (drawn by R. Jackson),,10,13
40,1,7:09.0,R. Jackson makes free throw 1 of 1,,11,13
41,1,7:00.0,,Turnover by A. Horford (bad pass; steal by A. Drummond),11,13
42,1,6:57.0,A. Drummond makes 2-pt dunk from 1 ft (assist by S. Johnson),,13,13
43,1,6:42.0,,G. Hayward misses 3-pt jump shot from 24 ft,13,13
44,1,6:40.0,,Offensive rebound by A. Horford,13,13
45,1,6:29.0,,Personal foul by B. Griffin (drawn by J. Brown),13,13
46,1,6:29.0,,A. Baynes enters the game for A. Horford,13,13
47,1,6:20.0,,A. Baynes makes 3-pt jump shot from 25 ft (assist by K. Irving),13,16
48,1,6:12.0,A. Drummond misses 2-pt layup from 2 ft,,13,16
49,1,6:10.0,,Defensive rebound by A. Baynes,13,16
50,1,6:02.0,,A. Baynes makes 2-pt layup from 1 ft (assist by G. Hayward),13,18
51,1,5:51.0,,Violation by Team (kicked ball),13,18
52,1,5:51.0,,M. Morris enters the game for J. Tatum,13,18
53,1,5:40.0,B. Griffin makes 2-pt layup from 3 ft,,15,18
54,1,5:25.0,,J. Brown misses 2-pt jump shot from 16 ft,15,18
55,1,5:22.0,Defensive rebound by Team,,15,18
56,1,5:13.0,A. Drummond makes 2-pt hook shot from 9 ft,,17,18
57,1,5:00.0,,K. Irving misses 2-pt jump shot from 13 ft,17,18
58,1,4:58.0,Defensive rebound by A. Drummond,,17,18
59,1,4:51.0,Turnover by R. Jackson (bad pass; steal by K. Irving),,17,18
60,1,4:43.0,,J. Brown misses 3-pt jump shot from 25 ft,17,18
61,1,4:41.0,Defensive rebound by A. Drummond,,17,18
62,1,4:36.0,Turnover by B. Griffin (lost ball; steal by J. Brown),,17,18
63,1,4:29.0,,G. Hayward makes 2-pt layup at rim (assist by J. Brown),17,20
64,1,4:26.0,Shooting foul by A. Baynes (drawn by B. Griffin),,17,20
65,1,4:26.0,B. Griffin makes free throw 1 of 2,,18,20
66,1,4:26.0,B. Brown enters the game for R. Jackson,,18,20
67,1,4:26.0,I. Smith enters the game for S. Johnson,,18,20
68,1,4:26.0,,T. Rozier enters the game for G. Hayward,18,20
69,1,4:26.0,,M. Smart enters the game for K. Irving,18,20
70,1,4:26.0,B. Griffin makes free throw 2 of 2,,19,20
71,1,4:15.0,,Personal foul by A. Drummond (drawn by A. Baynes),19,20
72,1,4:10.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),19,23
73,1,3:54.0,R. Bullock misses 2-pt jump shot from 9 ft,,19,23
74,1,3:52.0,,Defensive rebound by A. Baynes,19,23
75,1,3:44.0,,A. Baynes makes 2-pt hook shot from 2 ft (assist by M. Smart),19,25
76,1,3:21.0,Personal foul by M. Morris (drawn by B. Griffin),,19,25
77,1,3:11.0,R. Bullock misses 3-pt jump shot from 30 ft,,19,25
78,1,3:09.0,,Defensive rebound by M. Morris,19,25
79,1,2:57.0,,J. Brown misses 2-pt layup from 5 ft (block by B. Brown),19,25
80,1,2:55.0,Defensive rebound by I. Smith,,19,25
81,1,2:53.0,Shooting foul by M. Smart (drawn by R. Bullock),,19,25
82,1,2:53.0,,Boston full timeout,19,25
83,1,2:53.0,Z. Pachulia enters the game for A. Drummond,,19,25
84,1,2:53.0,R. Bullock makes free throw 1 of 2,,20,25
85,1,2:53.0,R. Bullock makes free throw 2 of 2,,21,25
86,1,2:37.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Rozier),21,28
87,1,2:23.0,R. Bullock misses 2-pt jump shot from 22 ft,,21,28
88,1,2:20.0,,Defensive rebound by M. Smart,21,28
89,1,2:16.0,,M. Morris misses 3-pt jump shot from 26 ft,21,28
