,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,K. Middleton misses 3-pt jump shot from 27 ft,0,0
1,1,11:38.0,Defensive rebound by W. Carter,,0,0
2,1,11:26.0,Z. LaVine makes 2-pt jump shot from 17 ft,,2,0
3,1,11:12.0,,B. Lopez misses 3-pt jump shot from 23 ft,2,0
4,1,11:09.0,Defensive rebound by Z. LaVine,,2,0
5,1,11:03.0,J. Parker makes 3-pt jump shot from 27 ft,,5,0
6,1,10:48.0,,M. Brogdon makes 2-pt layup at rim,5,2
7,1,10:30.0,Z. LaVine makes 3-pt jump shot from 28 ft (assist by J. Holiday),,8,2
8,1,10:19.0,,Personal foul by J. Parker (drawn by G. Antetokounmpo),8,2
9,1,10:08.0,,Shooting foul by W. Carter (drawn by E. Bledsoe),8,2
10,1,10:08.0,,E. Bledsoe makes free throw 1 of 2,8,3
11,1,10:08.0,,E. Bledsoe misses free throw 2 of 2,8,3
12,1,10:05.0,Defensive rebound by W. Carter,,8,3
13,1,9:48.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,8,3
14,1,9:46.0,,Defensive rebound by K. Middleton,8,3
15,1,9:37.0,,B. Lopez makes 2-pt layup from 2 ft,8,5
16,1,9:28.0,W. Carter makes 2-pt jump shot from 19 ft (assist by R. Arcidiacono),,10,5
17,1,9:17.0,,M. Brogdon misses 2-pt layup from 2 ft,10,5
18,1,9:15.0,Defensive rebound by Z. LaVine,,10,5
19,1,9:07.0,Z. LaVine makes 2-pt layup from 1 ft,,12,5
20,1,9:04.0,,Milwaukee full timeout,12,5
21,1,8:51.0,,Turnover by B. Lopez (bad pass; steal by R. Arcidiacono),12,5
22,1,8:49.0,Shooting foul by B. Lopez (drawn by Z. LaVine),,12,5
23,1,8:49.0,Z. LaVine makes free throw 1 of 2,,13,5
24,1,8:49.0,Z. LaVine makes free throw 2 of 2,,14,5
25,1,8:30.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,14,7
26,1,8:19.0,J. Parker makes 2-pt layup at rim (assist by J. Holiday),,16,7
27,1,8:08.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),16,9
28,1,7:56.0,Shooting foul by K. Middleton (drawn by J. Holiday),,16,9
29,1,7:56.0,J. Holiday makes free throw 1 of 2,,17,9
30,1,7:56.0,J. Holiday misses free throw 2 of 2,,17,9
31,1,7:54.0,,Defensive rebound by G. Antetokounmpo,17,9
32,1,7:40.0,,K. Middleton misses 2-pt jump shot from 19 ft (block by Z. LaVine),17,9
33,1,7:36.0,Defensive rebound by J. Parker,,17,9
34,1,7:36.0,,P. Connaughton enters the game for M. Brogdon,17,9
35,1,7:33.0,J. Parker makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,20,9
36,1,7:17.0,,P. Connaughton misses 3-pt jump shot from 26 ft,20,9
37,1,7:14.0,Defensive rebound by R. Arcidiacono,,20,9
38,1,7:08.0,J. Parker misses 2-pt layup from 3 ft,,20,9
39,1,7:05.0,,Defensive rebound by B. Lopez,20,9
40,1,7:02.0,,Shooting foul by W. Carter (drawn by G. Antetokounmpo),20,9
