,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
0,1,11:42.0,,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Melton),0,2
1,1,11:28.0,Shooting foul by D. Ayton (drawn by J. Embiid),,0,2
2,1,11:28.0,J. Embiid makes free throw 1 of 2,,1,2
3,1,11:28.0,J. Embiid makes free throw 2 of 2,,2,2
4,1,11:14.0,,Turnover by D. Melton (bad pass; steal by J. Embiid),2,2
5,1,10:56.0,J. Embiid misses 2-pt layup from 2 ft,,2,2
6,1,10:55.0,Offensive rebound by J. Embiid,,2,2
7,1,10:55.0,J. Embiid misses 2-pt layup at rim,,2,2
8,1,10:54.0,Offensive rebound by J. Embiid,,2,2
9,1,10:54.0,J. Embiid makes 2-pt layup at rim,,4,2
10,1,10:30.0,,Turnover by D. Melton (bad pass; steal by J. Embiid),4,2
11,1,10:19.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Redick),,6,2
12,1,10:04.0,,D. Booker misses 2-pt jump shot from 21 ft,6,2
13,1,10:02.0,Defensive rebound by J. Embiid,,6,2
14,1,9:51.0,B. Simmons makes 2-pt jump shot from 5 ft (assist by J. Bolden),,8,2
15,1,9:44.0,,Personal foul by J. Bolden (drawn by T. Warren),8,2
16,1,9:35.0,,T. Warren misses 2-pt jump shot from 19 ft,8,2
17,1,9:33.0,Defensive rebound by F. Korkmaz,,8,2
18,1,9:27.0,Shooting foul by D. Booker (drawn by B. Simmons),,8,2
19,1,9:27.0,B. Simmons makes free throw 1 of 2,,9,2
20,1,9:27.0,B. Simmons misses free throw 2 of 2,,9,2
21,1,9:24.0,,Defensive rebound by D. Ayton,9,2
22,1,9:08.0,,Shooting foul by J. Bolden (drawn by D. Booker),9,2
23,1,9:08.0,,D. Booker misses free throw 1 of 2,9,2
24,1,9:08.0,,Offensive rebound by Team,9,2
25,1,9:08.0,,D. Booker makes free throw 2 of 2,9,3
26,1,8:52.0,J. Embiid makes 2-pt jump shot from 1 ft (assist by F. Korkmaz),,11,3
27,1,8:40.0,,D. Melton misses 2-pt jump shot from 21 ft,11,3
28,1,8:38.0,,Offensive rebound by D. Melton,11,3
