,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:35.0,,Turnover by A. Aminu (lost ball; steal by J. Teague),0,0
1,1,11:31.0,J. Teague makes 3-pt jump shot from 25 ft (assist by D. Rose),,3,0
2,1,11:13.0,,A. Aminu misses 3-pt jump shot from 24 ft,3,0
3,1,11:10.0,,Offensive rebound by J. Nurkić,3,0
4,1,11:07.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by M. Harkless),3,2
5,1,10:47.0,D. Rose misses 2-pt layup from 2 ft (block by C. McCollum),,3,2
6,1,10:45.0,Offensive rebound by D. Rose,,3,2
7,1,10:42.0,K. Towns makes 3-pt jump shot from 23 ft (assist by D. Rose),,6,2
8,1,10:29.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),6,4
9,1,10:11.0,A. Wiggins misses 2-pt layup from 4 ft (block by M. Harkless),,6,4
10,1,10:05.0,,Defensive rebound by D. Lillard,6,4
11,1,9:57.0,,A. Aminu makes 2-pt dunk at rim (assist by J. Nurkić),6,6
12,1,9:43.0,J. Teague makes 2-pt jump shot from 11 ft,,8,6
13,1,9:20.0,,Turnover by J. Nurkić (lost ball; steal by D. Rose),8,6
14,1,9:17.0,Turnover by D. Rose (lost ball; steal by J. Nurkić),,8,6
15,1,9:15.0,,Shooting foul by K. Towns (drawn by J. Nurkić),8,6
16,1,9:15.0,,J. Nurkić misses free throw 1 of 2,8,6
17,1,9:15.0,,Offensive rebound by Team,8,6
18,1,9:15.0,,J. Nurkić makes free throw 2 of 2,8,7
19,1,9:05.0,D. Rose misses 2-pt jump shot from 7 ft,,8,7
20,1,9:03.0,,Defensive rebound by A. Aminu,8,7
21,1,8:58.0,,C. McCollum misses 3-pt jump shot from 25 ft,8,7
22,1,8:55.0,Defensive rebound by K. Towns,,8,7
23,1,8:52.0,Offensive foul by K. Towns (drawn by A. Aminu),,8,7
24,1,8:52.0,Turnover by K. Towns (offensive foul),,8,7
25,1,8:52.0,G. Dieng enters the game for K. Towns,,8,7
26,1,8:40.0,,Turnover by D. Lillard (bad pass; steal by G. Dieng),8,7
27,1,8:31.0,,Violation by Team (kicked ball),8,7
28,1,8:23.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by J. Teague),,10,7
29,1,8:11.0,,D. Lillard misses 3-pt jump shot from 27 ft (block by J. Teague),10,7
30,1,8:08.0,Defensive rebound by A. Wiggins,,10,7
31,1,8:05.0,D. Rose misses 2-pt layup from 4 ft (block by A. Aminu),,10,7
32,1,8:02.0,,Defensive rebound by C. McCollum,10,7
33,1,7:51.0,,D. Lillard makes 3-pt jump shot from 31 ft,10,10
34,1,7:38.0,G. Dieng misses 2-pt jump shot from 17 ft,,10,10
35,1,7:36.0,,Defensive rebound by M. Harkless,10,10
36,1,7:24.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by J. Nurkić),10,13
37,1,7:15.0,D. Rose misses 2-pt layup from 4 ft (block by J. Nurkić),,10,13
38,1,7:12.0,,Defensive rebound by M. Harkless,10,13
39,1,7:09.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),10,15
40,1,7:00.0,Minnesota full timeout,,10,15
41,1,6:45.0,A. Wiggins makes 2-pt jump shot from 16 ft,,12,15
42,1,6:21.0,,J. Nurkić misses 2-pt layup from 2 ft,12,15
43,1,6:20.0,,Offensive rebound by J. Nurkić,12,15
44,1,6:19.0,,J. Nurkić misses 2-pt layup from 3 ft (block by G. Dieng),12,15
45,1,6:17.0,Defensive rebound by G. Dieng,,12,15
46,1,6:11.0,D. Rose makes 2-pt layup from 2 ft,,14,15
47,1,6:00.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),14,18
48,1,5:49.0,T. Gibson misses 2-pt layup from 3 ft,,14,18
49,1,5:47.0,,Defensive rebound by C. McCollum,14,18
50,1,5:42.0,,C. McCollum makes 2-pt jump shot from 3 ft,14,20
51,1,5:30.0,J. Teague misses 2-pt jump shot from 8 ft,,14,20
