,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CHARLOTTE_ACTION,CHICAGO_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,K. Dunn makes 2-pt jump shot from 11 ft,,2,0
1,1,11:29.0,,M. Williams misses 3-pt jump shot from 23 ft,2,0
2,1,11:25.0,Defensive rebound by Z. LaVine,,2,0
3,1,11:09.0,Z. LaVine makes 2-pt jump shot from 19 ft (assist by K. Dunn),,4,0
4,1,10:53.0,,J. Lamb makes 2-pt jump shot from 5 ft (assist by K. Walker),4,2
5,1,10:40.0,W. Selden makes 2-pt jump shot from 5 ft,,6,2
6,1,10:26.0,,J. Lamb misses 2-pt jump shot from 8 ft,6,2
7,1,10:23.0,Defensive rebound by L. Markkanen,,6,2
8,1,10:15.0,K. Dunn misses 2-pt layup from 3 ft,,6,2
9,1,10:13.0,,Defensive rebound by J. Lamb,6,2
10,1,10:03.0,,K. Walker misses 2-pt jump shot from 19 ft,6,2
11,1,10:00.0,Defensive rebound by Z. LaVine,,6,2
12,1,9:51.0,Turnover by W. Selden (bad pass; steal by M. Williams),,6,2
13,1,9:36.0,,M. Williams makes 2-pt hook shot from 7 ft (assist by J. Lamb),6,4
14,1,9:25.0,L. Markkanen misses 3-pt jump shot from 25 ft,,6,4
15,1,9:22.0,,Defensive rebound by K. Walker,6,4
16,1,9:14.0,,K. Walker misses 3-pt jump shot from 25 ft,6,4
17,1,9:11.0,Defensive rebound by L. Markkanen,,6,4
18,1,9:04.0,L. Markkanen makes 2-pt layup from 2 ft,,8,4
19,1,8:39.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),8,7
20,1,8:13.0,Z. LaVine misses 2-pt layup from 3 ft,,8,7
21,1,8:11.0,,Defensive rebound by N. Batum,8,7
22,1,8:02.0,,J. Lamb misses 3-pt jump shot from 26 ft,8,7
23,1,7:59.0,Defensive rebound by L. Markkanen,,8,7
24,1,7:53.0,L. Markkanen makes 2-pt layup from 2 ft,,10,7
25,1,7:31.0,,M. Williams misses 2-pt jump shot from 8 ft,10,7
26,1,7:27.0,Defensive rebound by Z. LaVine,,10,7
27,1,7:21.0,Z. LaVine makes 2-pt layup from 1 ft,,12,7
28,1,7:10.0,,Shooting foul by L. Markkanen (drawn by K. Walker),12,7
29,1,7:10.0,,K. Walker makes free throw 1 of 2,12,8
30,1,7:10.0,,K. Walker makes free throw 2 of 2,12,9
31,1,6:57.0,L. Markkanen misses 3-pt jump shot from 25 ft,,12,9
32,1,6:54.0,,Defensive rebound by N. Batum,12,9
33,1,6:42.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Lamb),12,12
34,1,6:28.0,Turnover by K. Dunn (bad pass; steal by N. Batum),,12,12
35,1,6:24.0,,K. Walker misses 2-pt layup from 2 ft (block by K. Dunn),12,12
36,1,6:24.0,,Offensive rebound by N. Batum,12,12
37,1,6:24.0,,N. Batum makes 2-pt layup at rim,12,14
38,1,6:24.0,Chicago full timeout,,12,14
39,1,6:14.0,K. Dunn misses 2-pt jump shot from 19 ft,,12,14
40,1,6:14.0,Offensive rebound by R. Lopez,,12,14
41,1,6:14.0,Shooting foul by N. Batum (drawn by R. Lopez),,12,14
42,1,6:14.0,R. Lopez makes free throw 1 of 2,,13,14
43,1,6:14.0,R. Lopez makes free throw 2 of 2,,14,14
44,1,6:03.0,,Personal foul by K. Dunn (drawn by M. Williams),14,14
45,1,6:03.0,,M. Kidd-Gilchrist enters the game for M. Williams,14,14
