,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:44.0,,A. Baynes makes 2-pt layup from 5 ft,0,2
1,1,11:26.0,Turnover by W. Matthews (out of bounds lost ball),,0,2
2,1,11:19.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by M. Smart),0,5
3,1,11:03.0,W. Matthews misses 2-pt jump shot from 21 ft,,0,5
4,1,11:01.0,,Defensive rebound by J. Tatum,0,5
5,1,10:49.0,,J. Tatum misses 2-pt jump shot from 16 ft,0,5
6,1,10:47.0,Defensive rebound by M. Turner,,0,5
7,1,10:38.0,Shooting foul by J. Tatum (drawn by D. Collison),,0,5
8,1,10:38.0,D. Collison misses free throw 1 of 2,,0,5
9,1,10:38.0,Offensive rebound by Team,,0,5
10,1,10:38.0,T. Evans enters the game for W. Matthews,,0,5
11,1,10:38.0,D. Collison makes free throw 2 of 2,,1,5
12,1,10:26.0,,A. Baynes misses 2-pt jump shot from 18 ft,1,5
13,1,10:24.0,,Offensive rebound by A. Horford,1,5
14,1,10:20.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),1,7
15,1,9:55.0,D. Collison misses 2-pt jump shot from 20 ft,,1,7
16,1,9:53.0,,Defensive rebound by A. Baynes,1,7
17,1,9:48.0,,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),1,9
18,1,9:42.0,Indiana full timeout,,1,9
19,1,9:34.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by D. Collison),,3,9
20,1,9:15.0,,A. Horford misses 2-pt jump shot from 12 ft,3,9
21,1,9:14.0,Defensive rebound by T. Evans,,3,9
22,1,9:06.0,Turnover by T. Young (bad pass),,3,9
23,1,8:48.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by J. Tatum),3,12
24,1,8:33.0,T. Evans makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,6,12
25,1,8:18.0,,J. Tatum misses 2-pt jump shot from 14 ft,6,12
26,1,8:17.0,,Offensive rebound by A. Baynes,6,12
27,1,8:16.0,,A. Baynes makes 2-pt layup at rim,6,14
28,1,8:03.0,Shooting foul by A. Baynes (drawn by T. Young),,6,14
29,1,8:03.0,T. Young makes free throw 1 of 2,,7,14
30,1,8:03.0,T. Young misses free throw 2 of 2,,7,14
31,1,8:03.0,,Defensive rebound by A. Horford,7,14
32,1,7:52.0,,A. Baynes misses 2-pt hook shot from 3 ft (block by M. Turner),7,14
33,1,7:50.0,Defensive rebound by T. Young,,7,14
34,1,7:37.0,M. Turner misses 2-pt jump shot from 18 ft,,7,14
35,1,7:35.0,,Defensive rebound by J. Tatum,7,14
36,1,7:29.0,,K. Irving makes 2-pt jump shot from 16 ft (assist by J. Tatum),7,16
37,1,7:12.0,B. Bogdanović makes 2-pt jump shot from 20 ft,,9,16
38,1,6:58.0,,M. Smart misses 3-pt jump shot from 25 ft,9,16
39,1,6:56.0,Defensive rebound by D. Collison,,9,16
40,1,6:45.0,D. Collison misses 2-pt jump shot from 20 ft,,9,16
41,1,6:43.0,,Defensive rebound by J. Tatum,9,16
42,1,6:33.0,,A. Horford misses 2-pt jump shot from 16 ft,9,16
43,1,6:32.0,,Offensive rebound by A. Baynes,9,16
44,1,6:30.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Baynes),9,19
45,1,6:11.0,Turnover by T. Young (bad pass; steal by M. Smart),,9,19
46,1,6:08.0,,Shooting foul by T. Evans (drawn by J. Tatum),9,19
47,1,6:08.0,,J. Tatum misses free throw 1 of 2,9,19
48,1,6:08.0,,Offensive rebound by Team,9,19
49,1,6:08.0,,M. Morris enters the game for A. Horford,9,19
50,1,6:08.0,,J. Tatum makes free throw 2 of 2,9,20
51,1,5:53.0,Shooting foul by M. Smart (drawn by B. Bogdanović),,9,20
52,1,5:53.0,B. Bogdanović makes free throw 1 of 2,,10,20
53,1,5:53.0,D. Sabonis enters the game for T. Young,,10,20
54,1,5:53.0,B. Bogdanović makes free throw 2 of 2,,11,20
55,1,5:39.0,,M. Morris makes 2-pt layup from 1 ft (assist by K. Irving),11,22
56,1,5:21.0,D. Collison makes 2-pt layup at rim (assist by D. Sabonis),,13,22
57,1,5:13.0,,K. Irving misses 3-pt jump shot from 28 ft,13,22
58,1,5:12.0,Defensive rebound by Team,,13,22
59,1,5:12.0,,G. Hayward enters the game for J. Tatum,13,22
60,1,5:01.0,T. Evans misses 2-pt jump shot from 18 ft,,13,22
61,1,4:59.0,,Defensive rebound by K. Irving,13,22
62,1,4:48.0,,G. Hayward misses 3-pt jump shot from 23 ft,13,22
63,1,4:46.0,,Offensive rebound by Team,13,22
64,1,4:46.0,Loose ball foul by D. Sabonis (drawn by A. Baynes),,13,22
