,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Green),,2,0
1,1,11:27.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by B. Lopez),2,2
2,1,11:19.0,B. Beal makes 2-pt jump shot from 14 ft,,4,2
3,1,11:03.0,,Shooting foul by J. Green (drawn by E. Bledsoe),4,2
4,1,11:03.0,,E. Bledsoe makes free throw 1 of 2,4,3
5,1,11:03.0,,E. Bledsoe makes free throw 2 of 2,4,4
6,1,10:51.0,J. Green makes 3-pt jump shot from 25 ft (assist by T. Ariza),,7,4
7,1,10:39.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),7,6
8,1,10:25.0,Turnover by B. Beal (traveling),,7,6
9,1,10:12.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),7,8
10,1,10:00.0,T. Satoranský misses 2-pt jump shot from 15 ft,,7,8
11,1,9:57.0,,Defensive rebound by E. Bledsoe,7,8
12,1,9:54.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),7,10
13,1,9:40.0,T. Bryant misses 2-pt jump shot from 15 ft,,7,10
14,1,9:40.0,,Defensive rebound by B. Lopez,7,10
15,1,9:30.0,,K. Middleton misses 2-pt jump shot from 14 ft,7,10
16,1,9:29.0,Defensive rebound by T. Bryant,,7,10
17,1,9:06.0,B. Beal makes 3-pt jump shot from 23 ft (assist by T. Ariza),,10,10
18,1,8:57.0,,M. Brogdon misses 2-pt layup from 2 ft,10,10
19,1,8:57.0,Defensive rebound by Team,,10,10
20,1,8:43.0,Turnover by B. Beal (lost ball; steal by G. Antetokounmpo),,10,10
21,1,8:40.0,,M. Brogdon misses 2-pt layup from 1 ft,10,10
22,1,8:36.0,,Offensive rebound by G. Antetokounmpo,10,10
23,1,8:36.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,10,12
24,1,8:21.0,T. Bryant misses 2-pt dunk from 3 ft,,10,12
25,1,8:15.0,,Defensive rebound by E. Bledsoe,10,12
26,1,8:15.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),10,15
27,1,8:15.0,Washington full timeout,,10,15
28,1,8:06.0,B. Beal makes 2-pt jump shot from 15 ft,,12,15
29,1,8:06.0,Shooting foul by E. Bledsoe (drawn by B. Beal),,12,15
30,1,8:06.0,B. Beal makes free throw 1 of 1,,13,15
31,1,7:56.0,,E. Bledsoe misses 2-pt layup from 2 ft,13,15
32,1,7:53.0,Defensive rebound by T. Ariza,,13,15
33,1,7:49.0,T. Ariza misses 2-pt layup from 4 ft (block by B. Lopez),,13,15
34,1,7:46.0,,Defensive rebound by G. Antetokounmpo,13,15
35,1,7:42.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),13,18
36,1,7:22.0,B. Beal misses 2-pt jump shot from 13 ft,,13,18
37,1,7:18.0,Offensive rebound by T. Bryant,,13,18
38,1,7:18.0,T. Bryant misses 2-pt layup from 1 ft,,13,18
39,1,7:16.0,,Defensive rebound by B. Lopez,13,18
40,1,7:12.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by M. Brogdon),13,20
41,1,7:00.0,J. Green makes 3-pt jump shot from 28 ft (assist by B. Beal),,16,20
42,1,6:50.0,,Offensive foul by G. Antetokounmpo (drawn by B. Beal),16,20
43,1,6:50.0,,Turnover by G. Antetokounmpo (offensive foul),16,20
44,1,6:50.0,S. Dekker enters the game for T. Bryant,,16,20
45,1,6:50.0,,S. Brown enters the game for M. Brogdon,16,20
