,QUARTER,TIME_REMAINING,DETROIT_ACTION,HOUSTON_ACTION,DETROIT_SCORE,HOUSTON_SCORE
0,1,11:46.0,Turnover by A. Drummond (off goaltending),,0,0
1,1,11:30.0,,Turnover by C. Paul (bad pass; steal by G. Robinson),0,0
2,1,11:22.0,A. Drummond makes 3-pt jump shot from 25 ft (assist by R. Bullock),,3,0
3,1,11:06.0,,Shooting foul by A. Drummond (drawn by C. Capela),3,0
4,1,11:06.0,,C. Capela misses free throw 1 of 2,3,0
5,1,11:06.0,,Offensive rebound by Team,3,0
6,1,11:06.0,,C. Capela makes free throw 2 of 2,3,1
7,1,10:52.0,R. Jackson misses 3-pt jump shot from 29 ft,,3,1
8,1,10:49.0,Offensive rebound by B. Griffin,,3,1
9,1,10:44.0,Turnover by R. Jackson (bad pass),,3,1
10,1,10:37.0,,Personal foul by R. Bullock (drawn by P. Tucker),3,1
11,1,10:25.0,,J. Ennis misses 3-pt jump shot from 24 ft,3,1
12,1,10:22.0,Defensive rebound by G. Robinson,,3,1
13,1,10:11.0,Turnover by R. Jackson (bad pass; steal by P. Tucker),,3,1
14,1,10:03.0,,Turnover by P. Tucker (bad pass; steal by R. Bullock),3,1
15,1,9:57.0,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Griffin),,5,1
16,1,9:47.0,,J. Harden makes 2-pt layup from 1 ft,5,3
17,1,9:30.0,R. Bullock misses 3-pt jump shot from 25 ft,,5,3
18,1,9:28.0,,Defensive rebound by J. Ennis,5,3
19,1,9:10.0,,C. Paul misses 3-pt jump shot from 25 ft,5,3
20,1,9:08.0,Defensive rebound by R. Jackson,,5,3
21,1,8:55.0,A. Drummond misses 2-pt jump shot from 7 ft (block by P. Tucker),,5,3
22,1,8:55.0,Offensive rebound by Team,,5,3
23,1,8:44.0,A. Drummond misses 2-pt layup from 1 ft,,5,3
24,1,8:43.0,,Defensive rebound by C. Capela,5,3
25,1,8:35.0,,Turnover by J. Harden (lost ball; steal by R. Bullock),5,3
26,1,8:33.0,Personal foul by J. Ennis (drawn by R. Bullock),,5,3
27,1,8:33.0,,Violation by Team (delay of game),5,3
28,1,8:29.0,Personal foul by P. Tucker (drawn by B. Griffin),,5,3
29,1,8:20.0,Personal foul by J. Harden (drawn by A. Drummond),,5,3
30,1,8:09.0,Shooting foul by P. Tucker (drawn by G. Robinson),,5,3
31,1,8:09.0,G. Robinson makes free throw 1 of 2,,6,3
32,1,8:09.0,G. Robinson makes free throw 2 of 2,,7,3
33,1,7:57.0,,J. Harden misses 2-pt layup from 1 ft,7,3
34,1,7:53.0,,Offensive rebound by C. Capela,7,3
35,1,7:53.0,,Turnover by C. Capela (lost ball; steal by R. Jackson),7,3
36,1,7:53.0,Personal foul by J. Harden (drawn by B. Griffin),,7,3
37,1,7:53.0,B. Griffin makes free throw 1 of 2,,8,3
38,1,7:53.0,B. Griffin misses free throw 2 of 2,,8,3
39,1,7:50.0,Offensive rebound by A. Drummond,,8,3
40,1,7:48.0,A. Drummond misses 2-pt layup from 1 ft,,8,3
41,1,7:43.0,Offensive rebound by B. Griffin,,8,3
42,1,7:43.0,B. Griffin makes 2-pt dunk at rim,,10,3
43,1,7:39.0,,J. Harden makes 2-pt dunk from 1 ft,10,5
44,1,7:28.0,A. Drummond makes 2-pt hook shot from 5 ft (assist by B. Griffin),,12,5
45,1,7:16.0,,Shooting foul by A. Drummond (drawn by C. Capela),12,5
46,1,7:16.0,,C. Capela makes free throw 1 of 2,12,6
47,1,7:16.0,Z. Pachulia enters the game for A. Drummond,,12,6
48,1,7:16.0,,C. Capela makes free throw 2 of 2,12,7
49,1,6:55.0,B. Griffin misses 2-pt jump shot from 17 ft,,12,7
50,1,6:51.0,,Defensive rebound by C. Capela,12,7
51,1,6:37.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by C. Paul),12,10
52,1,6:21.0,B. Griffin misses 3-pt jump shot from 26 ft,,12,10
53,1,6:16.0,,Defensive rebound by P. Tucker,12,10
54,1,6:11.0,,C. Paul misses 3-pt jump shot from 24 ft,12,10
55,1,6:09.0,Defensive rebound by R. Jackson,,12,10
56,1,6:01.0,Offensive foul by B. Griffin (drawn by P. Tucker),,12,10
57,1,6:01.0,Turnover by B. Griffin (offensive foul),,12,10
58,1,6:01.0,,Houston full timeout,12,10
59,1,6:01.0,S. Johnson enters the game for R. Jackson,,12,10
60,1,6:01.0,I. Smith enters the game for G. Robinson,,12,10
61,1,6:01.0,,E. Gordon enters the game for C. Paul,12,10
62,1,5:47.0,,J. Harden misses 2-pt layup from 1 ft,12,10
63,1,5:45.0,Defensive rebound by B. Griffin,,12,10
64,1,5:37.0,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by B. Griffin),,14,10
65,1,5:23.0,,C. Capela misses 2-pt layup from 1 ft,14,10
66,1,5:20.0,,Offensive rebound by C. Capela,14,10
67,1,5:20.0,,C. Capela makes 2-pt layup from 1 ft,14,12
68,1,4:58.0,Z. Pachulia misses 2-pt jump shot from 17 ft,,14,12
69,1,4:56.0,,Defensive rebound by C. Capela,14,12
70,1,4:40.0,,J. Harden makes 3-pt jump shot from 25 ft,14,15
71,1,4:27.0,Personal foul by J. Ennis (drawn by B. Griffin),,14,15
72,1,4:27.0,B. Griffin makes free throw 1 of 2,,15,15
73,1,4:27.0,,G. Clark enters the game for J. Ennis,15,15
74,1,4:27.0,B. Griffin makes free throw 2 of 2,,16,15
75,1,4:11.0,,J. Harden makes 2-pt layup from 1 ft,16,17
76,1,3:58.0,I. Smith misses 2-pt layup at rim,,16,17
77,1,3:57.0,,Defensive rebound by C. Capela,16,17
