,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,Turnover by D. Waiters (bad pass),,0,0
1,1,11:30.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),0,2
2,1,11:17.0,J. Richardson misses 3-pt jump shot from 28 ft,,0,2
3,1,11:15.0,Offensive rebound by K. Olynyk,,0,2
4,1,11:04.0,Turnover by K. Olynyk (bad pass; steal by S. Curry),,0,2
5,1,10:59.0,,K. Durant misses 3-pt jump shot from 28 ft,0,2
6,1,10:55.0,Defensive rebound by D. Waiters,,0,2
7,1,10:44.0,J. Winslow misses 3-pt jump shot from 27 ft,,0,2
8,1,10:42.0,,Defensive rebound by D. Green,0,2
9,1,10:29.0,,K. Durant makes 2-pt jump shot from 13 ft,0,4
10,1,10:18.0,Personal foul by D. Cousins (drawn by H. Whiteside),,0,4
11,1,10:18.0,,Personal foul by H. Whiteside (drawn by D. Cousins),0,4
12,1,10:18.0,Turnover by J. Richardson (bad pass; steal by D. Cousins),,0,4
13,1,10:05.0,,Turnover by S. Curry (bad pass; steal by D. Waiters),0,4
14,1,9:54.0,J. Richardson makes 2-pt jump shot from 12 ft,,2,4
15,1,9:47.0,,Personal foul by H. Whiteside (drawn by D. Cousins),2,4
16,1,9:39.0,,S. Curry misses 2-pt jump shot from 19 ft,2,4
17,1,9:38.0,Defensive rebound by H. Whiteside,,2,4
18,1,9:25.0,J. Richardson makes 3-pt jump shot from 22 ft (assist by D. Waiters),,5,4
19,1,9:08.0,,K. Thompson makes 2-pt jump shot from 21 ft,5,6
20,1,8:53.0,J. Richardson misses 2-pt jump shot from 19 ft,,5,6
21,1,8:52.0,Offensive rebound by H. Whiteside,,5,6
22,1,8:52.0,H. Whiteside misses 2-pt layup at rim,,5,6
23,1,8:51.0,Offensive rebound by H. Whiteside,,5,6
24,1,8:51.0,H. Whiteside makes 2-pt layup at rim,,7,6
25,1,8:40.0,,S. Curry misses 3-pt jump shot from 23 ft,7,6
26,1,8:38.0,Defensive rebound by K. Olynyk,,7,6
27,1,8:26.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Winslow),,10,6
28,1,8:13.0,,D. Cousins misses 3-pt jump shot from 26 ft,10,6
29,1,8:11.0,Defensive rebound by K. Olynyk,,10,6
30,1,7:53.0,J. Winslow makes 2-pt jump shot from 13 ft (assist by H. Whiteside),,12,6
31,1,7:39.0,,Turnover by K. Durant (bad pass),12,6
32,1,7:30.0,J. Winslow makes 2-pt jump shot from 8 ft (assist by H. Whiteside),,14,6
33,1,7:21.0,,K. Thompson misses 2-pt layup from 3 ft (block by D. Waiters),14,6
34,1,7:19.0,Defensive rebound by K. Olynyk,,14,6
35,1,7:14.0,K. Olynyk misses 3-pt jump shot from 27 ft,,14,6
36,1,7:12.0,,Defensive rebound by K. Durant,14,6
37,1,7:07.0,,Turnover by D. Green (out of bounds lost ball),14,6
38,1,6:50.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,17,6
39,1,6:43.0,,Golden State full timeout,17,6
