,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:45.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),,2,0
1,1,11:24.0,,Personal foul by G. Antetokounmpo (drawn by K. Lowry),2,0
2,1,11:15.0,,K. Leonard makes 2-pt jump shot from 15 ft,2,2
3,1,11:06.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,5,2
4,1,10:50.0,,S. Ibaka misses 3-pt jump shot from 24 ft,5,2
5,1,10:48.0,Defensive rebound by G. Antetokounmpo,,5,2
6,1,10:39.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,8,2
7,1,10:11.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by S. Ibaka),8,5
8,1,9:58.0,B. Lopez makes 2-pt jump shot from 10 ft,,10,5
9,1,9:47.0,,S. Ibaka misses 3-pt jump shot from 25 ft,10,5
10,1,9:44.0,,Offensive rebound by P. Siakam,10,5
11,1,9:33.0,,K. Leonard makes 2-pt jump shot from 3 ft (assist by S. Ibaka),10,7
12,1,9:14.0,E. Bledsoe misses 2-pt jump shot from 15 ft,,10,7
13,1,9:12.0,,Defensive rebound by P. Siakam,10,7
14,1,9:06.0,,P. Siakam makes 2-pt layup from 4 ft,10,9
15,1,8:52.0,K. Middleton misses 3-pt jump shot from 26 ft,,10,9
16,1,8:49.0,,Defensive rebound by K. Lowry,10,9
17,1,8:44.0,,Turnover by P. Siakam (bad pass; steal by K. Middleton),10,9
18,1,8:40.0,Personal foul by K. Lowry (drawn by K. Middleton),,10,9
19,1,8:28.0,Turnover by K. Middleton (lost ball; steal by S. Ibaka),,10,9
20,1,8:23.0,,K. Lowry misses 3-pt jump shot from 25 ft,10,9
21,1,8:20.0,,Offensive rebound by D. Green,10,9
22,1,8:19.0,,S. Ibaka makes 2-pt jump shot from 7 ft (assist by D. Green),10,11
23,1,8:05.0,B. Lopez misses 3-pt jump shot from 26 ft,,10,11
24,1,8:03.0,,Defensive rebound by P. Siakam,10,11
25,1,7:55.0,,S. Ibaka misses 3-pt jump shot from 23 ft,10,11
26,1,7:52.0,Defensive rebound by G. Antetokounmpo,,10,11
27,1,7:37.0,B. Lopez makes 2-pt layup from 3 ft,,12,11
28,1,7:16.0,,D. Green makes 2-pt layup from 3 ft,12,13
29,1,7:05.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,15,13
30,1,6:52.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by P. Siakam),15,16
31,1,6:51.0,Milwaukee full timeout,,15,16
32,1,6:51.0,P. Connaughton enters the game for G. Antetokounmpo,,15,16
33,1,6:35.0,Turnover by B. Lopez (bad pass),,15,16
