,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:38.0,Turnover by E. Fournier (traveling),,0,0
1,1,11:28.0,,Turnover by L. Markkanen (bad pass; steal by J. Isaac),0,0
2,1,11:12.0,A. Gordon misses 2-pt layup from 4 ft,,0,0
3,1,11:08.0,,Defensive rebound by W. Carter,0,0
4,1,11:00.0,,Turnover by K. Dunn (bad pass; steal by J. Isaac),0,0
5,1,10:56.0,E. Fournier misses 3-pt jump shot from 23 ft,,0,0
6,1,10:51.0,Offensive rebound by Team,,0,0
7,1,10:45.0,J. Isaac makes 3-pt jump shot from 26 ft (assist by E. Fournier),,3,0
8,1,10:25.0,,L. Markkanen misses 2-pt hook shot from 9 ft,3,0
9,1,10:23.0,Defensive rebound by N. Vučević,,3,0
10,1,10:03.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),,6,0
11,1,9:36.0,,L. Markkanen misses 3-pt jump shot from 25 ft,6,0
12,1,9:34.0,Defensive rebound by N. Vučević,,6,0
13,1,9:25.0,Turnover by D. Augustin (out of bounds lost ball),,6,0
14,1,9:10.0,,Shooting foul by J. Isaac (drawn by L. Markkanen),6,0
15,1,9:10.0,,L. Markkanen makes free throw 1 of 2,6,1
16,1,9:10.0,,L. Markkanen makes free throw 2 of 2,6,2
17,1,8:57.0,Turnover by E. Fournier (bad pass; steal by K. Dunn),,6,2
18,1,8:47.0,,K. Dunn makes 2-pt layup from 1 ft (assist by R. Arcidiacono),6,4
19,1,8:30.0,E. Fournier misses 2-pt layup from 3 ft,,6,4
20,1,8:27.0,,Defensive rebound by W. Carter,6,4
21,1,8:22.0,,Chicago full timeout,6,4
22,1,8:12.0,,J. Holiday misses 3-pt jump shot from 25 ft,6,4
23,1,8:09.0,,Offensive rebound by J. Holiday,6,4
24,1,8:07.0,,J. Holiday misses 2-pt layup from 4 ft,6,4
25,1,8:03.0,,Offensive rebound by J. Holiday,6,4
26,1,7:59.0,,L. Markkanen misses 2-pt layup from 3 ft,6,4
27,1,7:58.0,,Offensive rebound by W. Carter,6,4
28,1,7:57.0,,W. Carter makes 2-pt layup from 1 ft,6,6
29,1,7:34.0,J. Isaac misses 2-pt jump shot from 21 ft,,6,6
30,1,7:31.0,,Defensive rebound by K. Dunn,6,6
31,1,7:28.0,,Turnover by J. Holiday (step out of bounds),6,6
32,1,7:16.0,N. Vučević misses 2-pt hook shot from 8 ft,,6,6
33,1,7:14.0,,Defensive rebound by W. Carter,6,6
34,1,7:01.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,6,6
35,1,6:59.0,Defensive rebound by A. Gordon,,6,6
36,1,6:55.0,A. Gordon makes 2-pt jump shot from 8 ft,,8,6
37,1,6:37.0,,Personal foul by J. Isaac (drawn by L. Markkanen),8,6
38,1,6:27.0,,W. Carter misses 2-pt jump shot from 6 ft,8,6
39,1,6:25.0,Defensive rebound by E. Fournier,,8,6
40,1,6:19.0,Turnover by D. Augustin (bad pass; steal by K. Dunn),,8,6
