,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:51.0,Turnover by T. Hardaway (bad pass; steal by K. Oubre),,0,0
1,1,11:47.0,,B. Beal makes 2-pt layup from 2 ft (assist by K. Oubre),0,2
2,1,11:28.0,Shooting foul by B. Beal (drawn by T. Hardaway),,0,2
3,1,11:28.0,T. Hardaway misses free throw 1 of 2,,0,2
4,1,11:28.0,Offensive rebound by Team,,0,2
5,1,11:28.0,T. Hardaway makes free throw 2 of 2,,1,2
6,1,11:04.0,,J. Wall makes 3-pt jump shot from 25 ft,1,5
7,1,10:36.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by N. Vonleh),,4,5
8,1,10:27.0,,M. Morris makes 2-pt jump shot from 17 ft,4,7
9,1,10:17.0,Turnover by N. Vonleh (bad pass; steal by J. Wall),,4,7
10,1,10:13.0,,J. Wall makes 2-pt layup from 2 ft (assist by M. Morris),4,9
11,1,9:53.0,D. Dotson misses 3-pt jump shot from 26 ft,,4,9
12,1,9:51.0,,Defensive rebound by M. Morris,4,9
13,1,9:47.0,,M. Morris misses 3-pt jump shot from 26 ft,4,9
14,1,9:45.0,,Offensive rebound by Team,4,9
15,1,9:45.0,Loose ball foul by N. Vonleh (drawn by D. Howard),,4,9
16,1,9:42.0,,D. Howard misses 2-pt jump shot from 19 ft (block by M. Robinson),4,9
17,1,9:40.0,Defensive rebound by M. Robinson,,4,9
18,1,9:39.0,Shooting foul by D. Howard (drawn by M. Robinson),,4,9
19,1,9:39.0,M. Robinson makes free throw 1 of 2,,5,9
20,1,9:39.0,M. Robinson makes free throw 2 of 2,,6,9
21,1,9:33.0,,B. Beal makes 2-pt layup from 2 ft,6,11
22,1,9:20.0,Turnover by F. Ntilikina (lost ball; steal by J. Wall),,6,11
23,1,9:15.0,,J. Wall misses 2-pt jump shot from 18 ft,6,11
24,1,9:10.0,Defensive rebound by N. Vonleh,,6,11
25,1,8:50.0,D. Dotson misses 3-pt jump shot from 29 ft,,6,11
26,1,8:48.0,,Defensive rebound by K. Oubre,6,11
27,1,8:44.0,,Shooting foul by N. Vonleh (drawn by K. Oubre),6,11
28,1,8:44.0,L. Thomas enters the game for N. Vonleh,,6,11
29,1,8:44.0,,K. Oubre makes free throw 1 of 2,6,12
30,1,8:44.0,,K. Oubre misses free throw 2 of 2,6,12
31,1,8:42.0,Defensive rebound by T. Hardaway,,6,12
32,1,8:27.0,T. Hardaway misses 2-pt jump shot from 16 ft,,6,12
33,1,8:24.0,Offensive rebound by M. Robinson,,6,12
34,1,8:23.0,M. Robinson misses 2-pt layup at rim,,6,12
35,1,8:21.0,,Defensive rebound by M. Morris,6,12
36,1,8:16.0,,B. Beal misses 3-pt jump shot from 25 ft,6,12
37,1,8:13.0,Defensive rebound by D. Dotson,,6,12
38,1,8:06.0,New York full timeout,,6,12
39,1,8:00.0,T. Hardaway misses 2-pt jump shot from 17 ft,,6,12
40,1,7:56.0,,Defensive rebound by K. Oubre,6,12
41,1,7:36.0,,J. Wall misses 3-pt jump shot from 24 ft,6,12
42,1,7:32.0,Defensive rebound by M. Robinson,,6,12
43,1,7:23.0,D. Dotson makes 2-pt layup from 2 ft (assist by F. Ntilikina),,8,12
44,1,7:12.0,,M. Morris misses 3-pt jump shot from 26 ft,8,12
45,1,7:09.0,Defensive rebound by F. Ntilikina,,8,12
46,1,7:05.0,Turnover by F. Ntilikina (bad pass; steal by J. Wall),,8,12
47,1,7:00.0,,B. Beal misses 2-pt jump shot from 4 ft (block by L. Thomas),8,12
48,1,7:00.0,,Offensive rebound by B. Beal,8,12
49,1,6:47.0,,K. Oubre misses 2-pt jump shot from 12 ft (block by F. Ntilikina),8,12
50,1,6:43.0,Defensive rebound by D. Dotson,,8,12
51,1,6:40.0,T. Hardaway misses 3-pt jump shot from 28 ft,,8,12
52,1,6:37.0,Offensive rebound by D. Dotson,,8,12
53,1,6:36.0,D. Dotson misses 2-pt jump shot from 17 ft,,8,12
54,1,6:36.0,,Defensive rebound by B. Beal,8,12
55,1,6:26.0,,D. Howard makes 2-pt layup from 2 ft (assist by M. Morris),8,14
56,1,6:08.0,L. Thomas misses 2-pt jump shot from 11 ft,,8,14
57,1,6:06.0,,Defensive rebound by D. Howard,8,14
58,1,5:59.0,,B. Beal misses 3-pt jump shot from 23 ft,8,14
59,1,5:55.0,Defensive rebound by L. Thomas,,8,14
60,1,5:51.0,F. Ntilikina misses 3-pt jump shot from 27 ft,,8,14
61,1,5:47.0,,Defensive rebound by B. Beal,8,14
62,1,5:44.0,,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Wall),8,16
63,1,5:27.0,L. Thomas makes 2-pt jump shot from 17 ft (assist by T. Hardaway),,10,16
64,1,5:09.0,,M. Morris misses 3-pt jump shot from 25 ft,10,16
65,1,5:06.0,Defensive rebound by T. Hardaway,,10,16
66,1,5:03.0,T. Hardaway misses 2-pt layup from 3 ft (block by B. Beal),,10,16
67,1,5:00.0,,Defensive rebound by M. Morris,10,16
68,1,4:54.0,,Turnover by B. Beal (out of bounds lost ball),10,16
69,1,4:54.0,E. Freedom enters the game for T. Hardaway,,10,16
70,1,4:54.0,E. Mudiay enters the game for F. Ntilikina,,10,16
71,1,4:54.0,A. Trier enters the game for M. Robinson,,10,16
72,1,4:54.0,,J. Green enters the game for M. Morris,10,16
73,1,4:54.0,New York full timeout,,10,16
74,1,4:35.0,E. Freedom makes 2-pt layup from 1 ft (assist by D. Dotson),,12,16
75,1,4:20.0,,Personal foul by A. Trier (drawn by D. Howard),12,16
76,1,4:20.0,,T. Satoranský enters the game for K. Oubre,12,16
77,1,4:14.0,,D. Howard misses 2-pt hook shot from 8 ft,12,16
78,1,4:12.0,Defensive rebound by L. Thomas,,12,16
79,1,3:59.0,E. Freedom misses 2-pt hook shot from 7 ft,,12,16
80,1,3:59.0,,Defensive rebound by Team,12,16
81,1,3:42.0,,J. Green misses 3-pt jump shot from 23 ft,12,16
82,1,3:39.0,,Offensive rebound by D. Howard,12,16
83,1,3:39.0,,D. Howard misses 2-pt layup from 1 ft,12,16
84,1,3:39.0,,Offensive rebound by Team,12,16
85,1,3:39.0,Loose ball foul by L. Thomas (drawn by D. Howard),,12,16
86,1,3:26.0,,T. Satoranský misses 2-pt jump shot from 11 ft,12,16
87,1,3:24.0,,Offensive rebound by J. Green,12,16
88,1,3:22.0,,J. Green misses 2-pt layup from 5 ft,12,16
89,1,3:21.0,,Offensive rebound by D. Howard,12,16
90,1,3:21.0,,D. Howard makes 2-pt layup from 2 ft,12,18
91,1,2:57.0,L. Thomas misses 3-pt jump shot from 26 ft,,12,18
92,1,2:54.0,Offensive rebound by Team,,12,18
93,1,2:54.0,M. Hezonja enters the game for D. Dotson,,12,18
94,1,2:54.0,,A. Rivers enters the game for B. Beal,12,18
95,1,2:41.0,L. Thomas misses 3-pt jump shot from 26 ft,,12,18
96,1,2:38.0,,Defensive rebound by A. Rivers,12,18
97,1,2:35.0,,J. Wall misses 3-pt jump shot from 28 ft,12,18
98,1,2:31.0,Defensive rebound by E. Freedom,,12,18
99,1,2:20.0,E. Freedom misses 2-pt layup from 3 ft (block by D. Howard),,12,18
100,1,2:18.0,Offensive rebound by E. Mudiay,,12,18
101,1,2:16.0,E. Mudiay misses 2-pt jump shot from 10 ft,,12,18
102,1,2:14.0,,Defensive rebound by T. Satoranský,12,18
103,1,2:06.0,,J. Wall misses 2-pt layup from 2 ft,12,18
104,1,2:05.0,Defensive rebound by L. Thomas,,12,18
105,1,2:00.0,L. Thomas makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,15,18
106,1,1:41.0,,J. Green misses 3-pt jump shot from 26 ft,15,18
107,1,1:37.0,Defensive rebound by E. Freedom,,15,18
