,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHOENIX_ACTION,LA LAKERS_SCORE,PHOENIX_SCORE
0,1,11:51.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Ball),,2,0
1,1,11:35.0,,D. Booker makes 2-pt jump shot from 7 ft,2,2
2,1,11:17.0,L. Ball misses 3-pt jump shot from 23 ft,,2,2
3,1,11:14.0,,Defensive rebound by D. Ayton,2,2
4,1,11:08.0,,D. Booker makes 2-pt layup at rim,2,4
5,1,10:59.0,Offensive foul by L. Ball (drawn by R. Anderson),,2,4
6,1,10:59.0,Turnover by L. Ball (offensive foul),,2,4
7,1,10:48.0,,Personal foul by J. McGee (drawn by R. Anderson),2,4
8,1,10:38.0,,I. Canaan makes 2-pt layup from 1 ft,2,6
9,1,10:31.0,L. Ball misses 2-pt layup from 7 ft,,2,6
10,1,10:29.0,,Defensive rebound by D. Booker,2,6
11,1,10:26.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,6
12,1,10:22.0,Defensive rebound by L. Ball,,2,6
13,1,10:20.0,Turnover by L. Ball (out of bounds lost ball),,2,6
14,1,10:05.0,,D. Booker makes 2-pt layup from 1 ft,2,8
15,1,9:51.0,L. James makes 3-pt jump shot from 25 ft (assist by L. Ball),,5,8
16,1,9:38.0,,D. Booker misses 3-pt jump shot from 26 ft,5,8
17,1,9:36.0,Defensive rebound by L. James,,5,8
18,1,9:32.0,Shooting foul by T. Ariza (drawn by L. James),,5,8
19,1,9:32.0,L. James makes free throw 1 of 2,,6,8
20,1,9:32.0,L. James makes free throw 2 of 2,,7,8
21,1,9:14.0,,D. Ayton misses 2-pt hook shot from 4 ft,7,8
22,1,9:12.0,,Offensive rebound by R. Anderson,7,8
23,1,9:10.0,,R. Anderson misses 3-pt jump shot from 25 ft,7,8
24,1,9:05.0,Defensive rebound by L. James,,7,8
25,1,9:01.0,Personal foul by D. Ayton (drawn by J. McGee),,7,8
26,1,8:48.0,K. Kuzma misses 2-pt jump shot from 21 ft,,7,8
27,1,8:46.0,,Defensive rebound by T. Ariza,7,8
28,1,8:34.0,,R. Anderson misses 3-pt jump shot from 26 ft,7,8
29,1,8:31.0,Defensive rebound by L. Ball,,7,8
30,1,8:23.0,K. Kuzma makes 2-pt dunk at rim (assist by L. James),,9,8
31,1,8:12.0,,D. Booker misses 2-pt layup at rim (block by J. McGee),9,8
32,1,8:10.0,Defensive rebound by L. James,,9,8
33,1,8:05.0,L. James misses 2-pt layup from 1 ft,,9,8
34,1,8:02.0,,Defensive rebound by D. Ayton,9,8
35,1,7:59.0,,T. Ariza misses 2-pt layup at rim (block by J. McGee),9,8
36,1,7:56.0,Defensive rebound by L. Ball,,9,8
37,1,7:51.0,J. McGee misses 2-pt dunk from 1 ft,,9,8
38,1,7:49.0,,Defensive rebound by D. Booker,9,8
39,1,7:41.0,,Shooting foul by L. Ball (drawn by T. Ariza),9,8
40,1,7:41.0,,T. Ariza makes free throw 1 of 3,9,9
41,1,7:41.0,,T. Ariza misses free throw 2 of 3,9,9
42,1,7:41.0,,Offensive rebound by Team,9,9
43,1,7:41.0,L. Stephenson enters the game for L. Ball,,9,9
44,1,7:41.0,J. Williams enters the game for J. McGee,,9,9
45,1,7:41.0,,T. Ariza makes free throw 3 of 3,9,10
46,1,7:31.0,J. Hart misses 3-pt jump shot from 25 ft,,9,10
47,1,7:27.0,,Defensive rebound by D. Booker,9,10
48,1,7:13.0,,D. Ayton makes 2-pt dunk at rim (assist by T. Ariza),9,12
49,1,7:01.0,K. Kuzma misses 3-pt jump shot from 23 ft,,9,12
50,1,6:59.0,Offensive rebound by L. Stephenson,,9,12
51,1,6:57.0,L. Stephenson makes 2-pt layup from 1 ft,,11,12
52,1,6:47.0,,Offensive foul by R. Anderson (drawn by J. Hart),11,12
53,1,6:47.0,,Turnover by R. Anderson (offensive foul),11,12
54,1,6:47.0,,Phoenix full timeout,11,12
55,1,6:34.0,L. James makes 2-pt layup from 1 ft (assist by L. Stephenson),,13,12
56,1,6:17.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Anderson),13,15
57,1,6:06.0,Shooting foul by R. Anderson (drawn by K. Kuzma),,13,15
58,1,6:06.0,K. Kuzma makes free throw 1 of 2,,14,15
59,1,6:06.0,,J. Jackson enters the game for R. Anderson,14,15
60,1,6:06.0,,T. Warren enters the game for D. Booker,14,15
61,1,6:06.0,K. Kuzma makes free throw 2 of 2,,15,15
62,1,5:50.0,,D. Ayton makes 2-pt dunk at rim (assist by J. Jackson),15,17
63,1,5:39.0,J. Hart makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,18,17
64,1,5:20.0,,J. Jackson misses 3-pt jump shot from 26 ft,18,17
