,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
0,1,11:41.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),0,3
1,1,11:22.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),,2,3
2,1,11:01.0,,Shooting foul by V. Oladipo (drawn by Z. LaVine),2,3
3,1,11:01.0,,Z. LaVine makes free throw 1 of 2,2,4
4,1,11:01.0,,Z. LaVine makes free throw 2 of 2,2,5
5,1,10:37.0,T. Young misses 2-pt jump shot from 22 ft,,2,5
6,1,10:34.0,,Defensive rebound by Z. LaVine,2,5
7,1,10:23.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),2,8
8,1,10:02.0,Turnover by M. Turner (bad pass; steal by W. Carter),,2,8
9,1,9:49.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by L. Markkanen),2,11
10,1,9:41.0,Indiana full timeout,,2,11
11,1,9:23.0,D. Collison misses 2-pt jump shot from 23 ft,,2,11
12,1,9:20.0,,Defensive rebound by Team,2,11
13,1,9:06.0,,W. Carter makes 2-pt layup from 1 ft (assist by Z. LaVine),2,13
14,1,8:46.0,T. Young makes 2-pt hook shot from 1 ft,,4,13
15,1,8:37.0,,Turnover by Z. LaVine (bad pass; steal by V. Oladipo),4,13
16,1,8:32.0,Turnover by V. Oladipo (bad pass; steal by W. Carter),,4,13
17,1,8:23.0,,Z. LaVine makes 2-pt jump shot from 20 ft (assist by K. Dunn),4,15
18,1,8:08.0,B. Bogdanović misses 2-pt jump shot from 18 ft,,4,15
19,1,8:05.0,,Defensive rebound by C. Hutchison,4,15
20,1,7:53.0,,L. Markkanen misses 3-pt jump shot from 23 ft,4,15
21,1,7:50.0,Defensive rebound by V. Oladipo,,4,15
22,1,7:48.0,V. Oladipo makes 2-pt layup from 1 ft,,6,15
23,1,7:48.0,Shooting foul by Z. LaVine (drawn by V. Oladipo),,6,15
24,1,7:48.0,V. Oladipo makes free throw 1 of 1,,7,15
25,1,7:33.0,,W. Carter misses 2-pt jump shot from 12 ft,7,15
26,1,7:31.0,Defensive rebound by V. Oladipo,,7,15
27,1,7:24.0,V. Oladipo misses 2-pt layup from 2 ft,,7,15
28,1,7:21.0,,Defensive rebound by L. Markkanen,7,15
29,1,7:12.0,,Turnover by L. Markkanen (traveling),7,15
30,1,6:59.0,Turnover by D. Collison (bad pass; steal by Z. LaVine),,7,15
31,1,6:56.0,,Z. LaVine makes 2-pt dunk at rim,7,17
32,1,6:38.0,V. Oladipo makes 2-pt layup from 1 ft,,9,17
33,1,6:24.0,,C. Hutchison misses 2-pt layup from 2 ft,9,17
34,1,6:22.0,Defensive rebound by V. Oladipo,,9,17
35,1,6:17.0,V. Oladipo misses 3-pt jump shot from 25 ft,,9,17
36,1,6:15.0,,Defensive rebound by L. Markkanen,9,17
37,1,6:10.0,,Chicago full timeout,9,17
38,1,6:04.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by W. Carter),9,20
39,1,5:50.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Collison),,11,20
40,1,5:24.0,,C. Hutchison makes 2-pt jump shot from 18 ft (assist by K. Dunn),11,22
41,1,4:59.0,M. Turner makes 2-pt layup from 2 ft (assist by T. Young),,13,22
42,1,4:59.0,Shooting foul by L. Markkanen (drawn by M. Turner),,13,22
43,1,4:59.0,M. Turner misses free throw 1 of 1,,13,22
44,1,4:54.0,,Defensive rebound by L. Markkanen,13,22
45,1,4:38.0,,Z. LaVine makes 2-pt jump shot from 23 ft,13,24
46,1,4:14.0,V. Oladipo misses 2-pt layup from 2 ft,,13,24
47,1,4:12.0,,Defensive rebound by L. Markkanen,13,24
48,1,4:02.0,,Z. LaVine misses 3-pt jump shot from 23 ft,13,24
49,1,3:58.0,Defensive rebound by T. Young,,13,24
50,1,3:55.0,Turnover by T. Young (bad pass; steal by Z. LaVine),,13,24
51,1,3:49.0,,Offensive foul by L. Markkanen (drawn by T. Young),13,24
52,1,3:49.0,,Turnover by L. Markkanen (offensive foul),13,24
53,1,3:49.0,C. Joseph enters the game for B. Bogdanović,,13,24
54,1,3:49.0,D. Sabonis enters the game for T. Young,,13,24
55,1,3:49.0,,J. Parker enters the game for L. Markkanen,13,24
56,1,3:33.0,M. Turner misses 2-pt jump shot from 17 ft,,13,24
57,1,3:33.0,Offensive rebound by Team,,13,24
58,1,3:33.0,,Loose ball foul by Z. LaVine (drawn by D. Sabonis),13,24
59,1,3:17.0,C. Joseph makes 2-pt jump shot from 13 ft,,15,24
60,1,3:00.0,,W. Carter makes 2-pt jump shot from 5 ft (assist by K. Dunn),15,26
61,1,3:00.0,,Shooting foul by M. Turner (drawn by W. Carter),15,26
62,1,3:00.0,T. Evans enters the game for D. Collison,,15,26
63,1,3:00.0,,W. Carter makes free throw 1 of 1,15,27
64,1,2:49.0,V. Oladipo misses 2-pt jump shot from 22 ft,,15,27
65,1,2:45.0,,Defensive rebound by J. Parker,15,27
66,1,2:35.0,,Z. LaVine makes 3-pt jump shot from 26 ft,15,30
67,1,2:33.0,M. Turner makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,18,30
68,1,2:08.0,,J. Parker misses 2-pt jump shot from 20 ft,18,30
69,1,2:05.0,Defensive rebound by V. Oladipo,,18,30
70,1,1:57.0,V. Oladipo misses 2-pt layup from 4 ft,,18,30
71,1,1:55.0,,Defensive rebound by K. Dunn,18,30
72,1,1:52.0,,C. Hutchison misses 2-pt layup from 2 ft (block by V. Oladipo),18,30
73,1,1:50.0,Defensive rebound by C. Joseph,,18,30
74,1,1:46.0,Turnover by T. Evans (bad pass; steal by W. Carter),,18,30
75,1,1:23.0,,Turnover by Z. LaVine (bad pass; steal by D. Sabonis),18,30
76,1,1:19.0,Personal foul by K. Dunn (drawn by V. Oladipo),,18,30
77,1,1:19.0,D. McDermott enters the game for V. Oladipo,,18,30
78,1,1:19.0,T. Young enters the game for M. Turner,,18,30
79,1,1:19.0,,R. Arcidiacono enters the game for K. Dunn,18,30
80,1,1:19.0,,A. Blakeney enters the game for Z. LaVine,18,30
81,1,1:08.0,D. Sabonis misses 2-pt hook shot from 7 ft,,18,30
82,1,1:08.0,,Defensive rebound by Team,18,30
83,1,0:44.0,,R. Arcidiacono misses 3-pt jump shot from 24 ft,18,30
84,1,0:44.0,,Offensive rebound by Team,18,30
85,1,0:44.0,,Turnover by Team (shot clock),18,30
86,1,0:32.0,Turnover by T. Evans (out of bounds lost ball),,18,30
87,1,0:15.0,,Turnover by J. Parker (step out of bounds),18,30
88,1,0:08.0,C. Joseph misses 2-pt jump shot from 13 ft,,18,30
89,1,0:03.0,Offensive rebound by T. Evans,,18,30
90,1,0:00.0,T. Evans misses 3-pt jump shot from 26 ft,,18,30
91,1,0:00.0,Offensive rebound by Team,,18,30
92,2,11:43.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,20,30
93,2,11:30.0,,Turnover by R. Lopez (lost ball; steal by T. Evans),20,30
94,2,11:26.0,T. Evans makes 2-pt layup at rim,,22,30
95,2,11:03.0,,S. Harrison makes 2-pt layup from 2 ft,22,32
96,2,10:48.0,D. McDermott misses 3-pt jump shot from 23 ft,,22,32
97,2,10:44.0,,Defensive rebound by J. Parker,22,32
98,2,10:34.0,,A. Blakeney makes 2-pt jump shot from 13 ft,22,34
99,2,10:19.0,D. Sabonis misses 2-pt layup from 2 ft,,22,34
100,2,10:14.0,Offensive rebound by D. Sabonis,,22,34
101,2,10:14.0,D. Sabonis makes 2-pt layup from 1 ft,,24,34
102,2,10:09.0,,J. Parker makes 2-pt layup from 2 ft,24,36
103,2,9:57.0,Shooting foul by A. Blakeney (drawn by T. Young),,24,36
104,2,9:57.0,T. Young misses free throw 1 of 2,,24,36
105,2,9:57.0,Offensive rebound by Team,,24,36
106,2,9:57.0,T. Young misses free throw 2 of 2,,24,36
107,2,9:54.0,Offensive rebound by D. Sabonis,,24,36
108,2,9:53.0,T. Young makes 2-pt dunk from 1 ft (assist by D. Sabonis),,26,36
109,2,9:53.0,,Chicago full timeout,26,36
110,2,9:35.0,,Turnover by R. Lopez (traveling),26,36
111,2,9:20.0,T. Evans misses 3-pt jump shot from 22 ft,,26,36
112,2,9:15.0,Offensive rebound by D. Sabonis,,26,36
113,2,9:15.0,D. Sabonis makes 2-pt layup from 1 ft,,28,36
114,2,8:59.0,,Turnover by R. Lopez (3 sec),28,36
115,2,8:47.0,Personal foul by S. Harrison (drawn by T. Evans),,28,36
116,2,8:47.0,,L. Markkanen enters the game for R. Lopez,28,36
117,2,8:32.0,D. Sabonis makes 2-pt hook shot from 6 ft (assist by C. Joseph),,30,36
118,2,8:12.0,,S. Harrison misses 2-pt layup from 4 ft (block by D. McDermott),30,36
119,2,8:09.0,Defensive rebound by D. Sabonis,,30,36
120,2,8:06.0,Turnover by C. Joseph (lost ball; steal by A. Blakeney),,30,36
121,2,7:59.0,,A. Blakeney misses 2-pt jump shot from 7 ft (block by T. Young),30,36
122,2,7:59.0,,Offensive rebound by Team,30,36
123,2,7:59.0,B. Bogdanović enters the game for T. Young,,30,36
124,2,7:47.0,,J. Parker misses 2-pt jump shot from 12 ft,30,36
125,2,7:44.0,Defensive rebound by D. McDermott,,30,36
126,2,7:42.0,T. Evans makes 2-pt layup from 1 ft (assist by C. Joseph),,32,36
127,2,7:42.0,,Chicago full timeout,32,36
128,2,7:42.0,,W. Carter enters the game for J. Parker,32,36
129,2,7:30.0,,S. Harrison misses 2-pt layup from 2 ft,32,36
130,2,7:29.0,Defensive rebound by C. Joseph,,32,36
131,2,7:26.0,T. Evans misses 2-pt layup from 1 ft,,32,36
132,2,7:26.0,,Defensive rebound by L. Markkanen,32,36
133,2,7:08.0,,A. Blakeney makes 2-pt layup from 1 ft,32,38
134,2,6:44.0,D. Sabonis makes 2-pt hook shot from 3 ft,,34,38
135,2,6:26.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by S. Harrison),34,40
136,2,6:07.0,Shooting foul by S. Harrison (drawn by D. Sabonis),,34,40
137,2,6:07.0,V. Oladipo enters the game for D. McDermott,,34,40
138,2,6:07.0,,K. Dunn enters the game for R. Arcidiacono,34,40
139,2,6:07.0,,Z. LaVine enters the game for S. Harrison,34,40
140,2,6:07.0,D. Sabonis makes free throw 1 of 2,,35,40
141,2,6:07.0,D. Sabonis makes free throw 2 of 2,,36,40
142,2,5:46.0,,A. Blakeney misses 3-pt jump shot from 27 ft,36,40
143,2,5:43.0,Defensive rebound by D. Sabonis,,36,40
144,2,5:35.0,V. Oladipo misses 3-pt jump shot from 26 ft,,36,40
