,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
0,1,11:45.0,,A. Gordon misses 2-pt layup from 1 ft,0,0
1,1,11:41.0,,Offensive rebound by J. Isaac,0,0
2,1,11:41.0,,J. Isaac misses 2-pt dunk at rim,0,0
3,1,11:41.0,Defensive rebound by E. Mudiay,,0,0
4,1,11:40.0,M. Hezonja misses 2-pt layup from 3 ft,,0,0
5,1,11:39.0,Offensive rebound by M. Robinson,,0,0
6,1,11:39.0,M. Robinson misses 2-pt layup from 6 ft,,0,0
7,1,11:38.0,,Defensive rebound by D. Augustin,0,0
8,1,11:33.0,,Turnover by D. Augustin (lost ball; steal by M. Hezonja),0,0
9,1,11:28.0,M. Robinson makes 2-pt layup from 2 ft (assist by M. Hezonja),,2,0
10,1,11:17.0,,A. Gordon misses 2-pt layup from 2 ft,2,0
11,1,11:17.0,Defensive rebound by M. Robinson,,2,0
12,1,11:09.0,D. Dotson misses 3-pt jump shot from 26 ft,,2,0
13,1,11:06.0,,Defensive rebound by N. Vučević,2,0
14,1,10:58.0,,N. Vučević makes 2-pt hook shot from 2 ft (assist by D. Augustin),2,2
15,1,10:43.0,M. Hezonja misses 2-pt jump shot from 21 ft (block by J. Isaac),,2,2
16,1,10:43.0,,Defensive rebound by E. Fournier,2,2
17,1,10:42.0,,Personal foul by M. Robinson (drawn by E. Fournier),2,2
18,1,10:34.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),2,4
19,1,10:15.0,M. Robinson makes 2-pt dunk from 3 ft (assist by E. Mudiay),,4,4
20,1,10:05.0,,Turnover by D. Augustin (bad pass; steal by E. Mudiay),4,4
21,1,9:59.0,K. Knox makes 2-pt layup from 1 ft (assist by E. Mudiay),,6,4
22,1,9:47.0,,E. Fournier makes 2-pt dunk from 2 ft (assist by D. Augustin),6,6
23,1,9:34.0,K. Knox makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,9,6
24,1,9:21.0,,Turnover by N. Vučević (lost ball; steal by K. Knox),9,6
25,1,9:17.0,Turnover by K. Knox (bad pass; steal by D. Augustin),,9,6
26,1,9:12.0,,Turnover by D. Augustin (bad pass; steal by M. Robinson),9,6
27,1,9:08.0,M. Hezonja makes 2-pt layup from 1 ft,,11,6
28,1,9:08.0,Shooting foul by E. Fournier (drawn by M. Hezonja),,11,6
29,1,9:08.0,M. Hezonja makes free throw 1 of 1,,12,6
30,1,8:53.0,,A. Gordon misses 2-pt layup from 2 ft,12,6
31,1,8:50.0,Defensive rebound by K. Knox,,12,6
32,1,8:40.0,K. Knox makes 2-pt layup from 2 ft (assist by M. Hezonja),,14,6
33,1,8:17.0,,N. Vučević misses 2-pt hook shot from 6 ft,14,6
34,1,8:15.0,Defensive rebound by M. Robinson,,14,6
35,1,8:11.0,E. Mudiay misses 2-pt layup at rim,,14,6
36,1,8:07.0,,Defensive rebound by N. Vučević,14,6
37,1,7:57.0,,D. Augustin misses 2-pt layup from 2 ft,14,6
38,1,7:56.0,,Offensive rebound by J. Isaac,14,6
39,1,7:56.0,,J. Isaac misses 2-pt layup at rim,14,6
40,1,7:56.0,,Offensive rebound by N. Vučević,14,6
41,1,7:56.0,,Shooting foul by M. Hezonja (drawn by N. Vučević),14,6
42,1,7:56.0,,N. Vučević makes free throw 1 of 2,14,7
43,1,7:56.0,,N. Vučević makes free throw 2 of 2,14,8
44,1,7:44.0,M. Hezonja misses 2-pt layup from 3 ft,,14,8
45,1,7:41.0,,Defensive rebound by A. Gordon,14,8
46,1,7:35.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by A. Gordon),14,10
47,1,7:16.0,E. Mudiay misses 2-pt jump shot from 7 ft,,14,10
48,1,7:13.0,,Defensive rebound by N. Vučević,14,10
49,1,7:12.0,,Personal foul by D. Dotson (drawn by A. Gordon),14,10
50,1,7:08.0,,Shooting foul by M. Hezonja (drawn by A. Gordon),14,10
51,1,7:08.0,,A. Gordon misses free throw 1 of 2,14,10
52,1,7:08.0,,Offensive rebound by Team,14,10
53,1,7:08.0,L. Thomas enters the game for M. Hezonja,,14,10
54,1,7:08.0,,A. Gordon misses free throw 2 of 2,14,10
55,1,7:06.0,Defensive rebound by L. Thomas,,14,10
56,1,6:49.0,D. Dotson makes 2-pt jump shot from 14 ft (assist by E. Mudiay),,16,10
57,1,6:29.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by A. Gordon),16,12
58,1,6:09.0,L. Thomas makes 2-pt jump shot from 18 ft (assist by E. Mudiay),,18,12
59,1,5:51.0,,Offensive foul by N. Vučević (drawn by L. Thomas),18,12
60,1,5:51.0,,Turnover by N. Vučević (offensive foul),18,12
61,1,5:51.0,,Orlando full timeout,18,12
62,1,5:51.0,,W. Iwundu enters the game for A. Gordon,18,12
63,1,5:37.0,Shooting foul by D. Augustin (drawn by E. Mudiay),,18,12
64,1,5:37.0,E. Mudiay makes free throw 1 of 2,,19,12
65,1,5:37.0,E. Mudiay makes free throw 2 of 2,,20,12
66,1,5:17.0,,E. Fournier makes 2-pt layup from 1 ft (assist by W. Iwundu),20,14
67,1,5:02.0,M. Robinson makes 2-pt layup at rim (assist by D. Dotson),,22,14
68,1,4:40.0,,N. Vučević makes 2-pt hook shot from 3 ft,22,16
69,1,4:22.0,E. Mudiay misses 3-pt jump shot from 26 ft,,22,16
70,1,4:20.0,,Defensive rebound by J. Isaac,22,16
71,1,4:03.0,,W. Iwundu misses 3-pt jump shot from 26 ft,22,16
72,1,3:59.0,,Offensive rebound by J. Isaac,22,16
73,1,3:59.0,,J. Isaac misses 2-pt layup at rim,22,16
74,1,3:59.0,Defensive rebound by M. Robinson,,22,16
75,1,3:55.0,New York full timeout,,22,16
76,1,3:55.0,J. Jenkins enters the game for D. Dotson,,22,16
77,1,3:55.0,L. Kornet enters the game for M. Robinson,,22,16
78,1,3:55.0,,M. Carter-Williams enters the game for D. Augustin,22,16
79,1,3:55.0,,T. Ross enters the game for E. Fournier,22,16
80,1,3:44.0,L. Kornet makes 2-pt layup from 1 ft (assist by J. Jenkins),,24,16
81,1,3:25.0,,J. Isaac misses 3-pt jump shot from 23 ft,24,16
82,1,3:23.0,,Offensive rebound by M. Carter-Williams,24,16
83,1,3:16.0,,J. Isaac makes 2-pt layup from 2 ft (assist by T. Ross),24,18
84,1,3:00.0,K. Knox misses 2-pt layup from 2 ft (block by M. Carter-Williams),,24,18
85,1,2:56.0,,Defensive rebound by W. Iwundu,24,18
86,1,2:54.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by W. Iwundu),24,21
87,1,2:39.0,K. Knox misses 3-pt jump shot from 26 ft,,24,21
88,1,2:37.0,,Defensive rebound by Team,24,21
89,1,2:37.0,,K. Birch enters the game for J. Isaac,24,21
90,1,2:37.0,,A. Gordon enters the game for N. Vučević,24,21
91,1,2:25.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by T. Ross),24,24
92,1,2:05.0,E. Mudiay misses 2-pt layup from 2 ft (block by A. Gordon),,24,24
93,1,2:01.0,,Defensive rebound by M. Carter-Williams,24,24
94,1,1:49.0,,A. Gordon makes 2-pt layup from 2 ft,24,26
95,1,1:44.0,New York full timeout,,24,26
96,1,1:44.0,B. Garrett enters the game for E. Mudiay,,24,26
97,1,1:29.0,L. Kornet misses 3-pt jump shot from 26 ft,,24,26
98,1,1:25.0,,Defensive rebound by M. Carter-Williams,24,26
99,1,1:17.0,,K. Birch misses 2-pt hook shot from 4 ft (block by L. Kornet),24,26
100,1,1:16.0,,Offensive rebound by K. Birch,24,26
101,1,1:15.0,,W. Iwundu misses 3-pt jump shot from 23 ft,24,26
102,1,1:06.0,Defensive rebound by J. Jenkins,,24,26
103,1,1:05.0,Personal foul by A. Gordon (drawn by L. Thomas),,24,26
104,1,1:05.0,H. Ellenson enters the game for K. Knox,,24,26
