,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
0,1,11:39.0,,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),0,2
1,1,11:21.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by D. Bembry),,3,2
2,1,11:05.0,,S. Curry makes 3-pt jump shot from 24 ft,3,5
3,1,10:46.0,D. Bembry misses 2-pt layup from 3 ft,,3,5
4,1,10:44.0,,Defensive rebound by J. Nurkić,3,5
5,1,10:34.0,,Turnover by S. Curry (traveling),3,5
6,1,10:20.0,T. Young makes 2-pt layup from 2 ft,,5,5
7,1,10:03.0,,M. Harkless misses 3-pt jump shot from 25 ft,5,5
8,1,9:59.0,Defensive rebound by K. Huerter,,5,5
9,1,9:53.0,K. Huerter misses 3-pt jump shot from 25 ft,,5,5
10,1,9:50.0,Offensive rebound by J. Collins,,5,5
11,1,9:50.0,J. Collins makes 2-pt layup at rim,,7,5
12,1,9:50.0,Shooting foul by M. Harkless (drawn by J. Collins),,7,5
13,1,9:50.0,J. Collins makes free throw 1 of 1,,8,5
14,1,9:34.0,,C. McCollum makes 2-pt jump shot from 19 ft,8,7
15,1,9:21.0,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),,11,7
16,1,9:11.0,,S. Curry misses 3-pt jump shot from 25 ft,11,7
17,1,9:08.0,Defensive rebound by D. Dedmon,,11,7
18,1,9:02.0,Personal foul by M. Harkless (drawn by T. Young),,11,7
19,1,8:58.0,Personal foul by S. Curry (drawn by D. Bembry),,11,7
20,1,8:51.0,T. Young misses 3-pt jump shot from 27 ft,,11,7
21,1,8:49.0,,Defensive rebound by Team,11,7
22,1,8:40.0,,Shooting foul by J. Collins (drawn by J. Nurkić),11,7
23,1,8:40.0,,J. Nurkić makes free throw 1 of 2,11,8
24,1,8:40.0,,J. Nurkić makes free throw 2 of 2,11,9
25,1,8:24.0,Turnover by T. Young (bad pass; steal by S. Curry),,11,9
26,1,8:20.0,,Shooting foul by K. Huerter (drawn by A. Aminu),11,9
27,1,8:20.0,,A. Aminu makes free throw 1 of 2,11,10
28,1,8:20.0,,A. Aminu makes free throw 2 of 2,11,11
29,1,8:05.0,K. Huerter misses 2-pt jump shot from 5 ft,,11,11
30,1,8:01.0,,Defensive rebound by C. McCollum,11,11
31,1,7:59.0,,A. Aminu makes 2-pt layup from 2 ft (assist by C. McCollum),11,13
32,1,7:38.0,T. Young misses 3-pt jump shot from 25 ft,,11,13
33,1,7:36.0,,Defensive rebound by J. Nurkić,11,13
34,1,7:27.0,,Turnover by J. Nurkić (bad pass; steal by D. Dedmon),11,13
35,1,7:20.0,K. Huerter misses 3-pt jump shot from 25 ft,,11,13
36,1,7:17.0,,Defensive rebound by C. McCollum,11,13
37,1,7:05.0,,Shooting foul by D. Dedmon (drawn by C. McCollum),11,13
38,1,7:05.0,,C. McCollum makes free throw 1 of 2,11,14
39,1,7:05.0,T. Prince enters the game for K. Huerter,,11,14
40,1,7:05.0,,C. McCollum makes free throw 2 of 2,11,15
41,1,6:52.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,13,15
42,1,6:37.0,,Personal foul by D. Dedmon (drawn by J. Nurkić),13,15
43,1,6:37.0,,Portland full timeout,13,15
44,1,6:37.0,A. Len enters the game for D. Bembry,,13,15
45,1,6:37.0,J. Lin enters the game for D. Dedmon,,13,15
46,1,6:31.0,,Shooting foul by J. Collins (drawn by M. Harkless),13,15
47,1,6:31.0,,M. Harkless misses free throw 1 of 2,13,15
48,1,6:31.0,,Offensive rebound by Team,13,15
49,1,6:31.0,O. Spellman enters the game for J. Collins,,13,15
50,1,6:31.0,,M. Harkless makes free throw 2 of 2,13,16
51,1,6:13.0,A. Len misses 2-pt jump shot from 3 ft,,13,16
52,1,6:13.0,,Defensive rebound by Team,13,16
53,1,5:54.0,,M. Harkless makes 3-pt jump shot from 25 ft,13,19
54,1,5:36.0,J. Lin misses 2-pt jump shot from 9 ft,,13,19
55,1,5:34.0,,Defensive rebound by A. Aminu,13,19
56,1,5:29.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by A. Aminu),13,22
57,1,5:11.0,O. Spellman misses 2-pt layup from 1 ft (block by A. Aminu),,13,22
58,1,5:07.0,Offensive rebound by O. Spellman,,13,22
59,1,5:06.0,Turnover by O. Spellman (bad pass; steal by J. Nurkić),,13,22
60,1,5:06.0,T. Dorsey enters the game for T. Young,,13,22
61,1,5:06.0,,Z. Collins enters the game for A. Aminu,13,22
62,1,5:06.0,,J. Layman enters the game for M. Harkless,13,22
63,1,4:57.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by J. Nurkić),13,24
64,1,4:42.0,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),,15,24
65,1,4:24.0,,J. Layman makes 2-pt layup from 1 ft (assist by C. McCollum),15,26
66,1,4:03.0,T. Prince makes 2-pt jump shot from 10 ft (assist by A. Len),,17,26
67,1,3:49.0,,C. McCollum misses 3-pt jump shot from 25 ft,17,26
68,1,3:47.0,,Offensive rebound by J. Layman,17,26
69,1,3:45.0,,J. Layman misses 2-pt layup from 2 ft,17,26
70,1,3:45.0,,Offensive rebound by Team,17,26
71,1,3:38.0,,C. McCollum makes 2-pt jump shot from 10 ft,17,28
72,1,3:38.0,,Shooting foul by T. Dorsey (drawn by C. McCollum),17,28
73,1,3:38.0,,M. Leonard enters the game for S. Curry,17,28
74,1,3:38.0,,E. Turner enters the game for J. Nurkić,17,28
75,1,3:38.0,,C. McCollum misses free throw 1 of 1,17,28
76,1,3:35.0,Defensive rebound by J. Lin,,17,28
