,QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,L. Aldridge misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by Team,,0,0
2,1,11:25.0,J. Tatum misses 2-pt jump shot from 11 ft,,0,0
3,1,11:22.0,,Defensive rebound by D. White,0,0
4,1,11:11.0,,B. Forbes makes 2-pt jump shot from 17 ft (assist by L. Aldridge),0,2
5,1,11:00.0,K. Irving makes 2-pt jump shot from 9 ft,,2,2
6,1,10:43.0,,Turnover by D. White (lost ball; steal by A. Horford),2,2
7,1,10:40.0,K. Irving makes 3-pt jump shot from 27 ft,,5,2
8,1,10:19.0,,L. Aldridge misses 2-pt jump shot from 10 ft,5,2
9,1,10:16.0,,Offensive rebound by J. Poeltl,5,2
10,1,10:13.0,,B. Forbes misses 2-pt jump shot from 12 ft,5,2
11,1,10:10.0,,Offensive rebound by Team,5,2
12,1,10:06.0,,D. DeRozan misses 2-pt jump shot from 8 ft,5,2
13,1,10:02.0,Defensive rebound by A. Horford,,5,2
14,1,9:53.0,M. Morris makes 2-pt layup from 4 ft (assist by A. Horford),,7,2
15,1,9:53.0,Shooting foul by J. Poeltl (drawn by M. Morris),,7,2
16,1,9:53.0,M. Morris makes free throw 1 of 1,,8,2
17,1,9:43.0,,Personal foul by M. Smart (drawn by D. DeRozan),8,2
18,1,9:34.0,,B. Forbes misses 3-pt jump shot from 25 ft,8,2
19,1,9:31.0,Defensive rebound by J. Tatum,,8,2
20,1,9:28.0,K. Irving misses 3-pt jump shot from 27 ft,,8,2
21,1,9:24.0,,Defensive rebound by J. Poeltl,8,2
22,1,9:12.0,,Offensive foul by D. DeRozan (drawn by M. Smart),8,2
23,1,9:12.0,,Turnover by D. DeRozan (offensive foul),8,2
24,1,9:03.0,J. Tatum misses 3-pt jump shot from 27 ft,,8,2
25,1,8:58.0,Offensive rebound by K. Irving,,8,2
26,1,8:58.0,Violation by Team (kicked ball),,8,2
27,1,8:39.0,,D. DeRozan makes 2-pt jump shot from 12 ft,8,4
28,1,8:14.0,M. Morris misses 2-pt jump shot from 11 ft,,8,4
29,1,8:10.0,,Defensive rebound by J. Poeltl,8,4
30,1,8:05.0,,B. Forbes makes 3-pt jump shot from 27 ft,8,7
31,1,7:52.0,M. Smart makes 2-pt layup from 6 ft (assist by A. Horford),,10,7
