,QUARTER,TIME_REMAINING,DALLAS_ACTION,MIAMI_ACTION,DALLAS_SCORE,MIAMI_SCORE
0,1,11:45.0,,D. Jones makes 2-pt dunk from 1 ft (assist by G. Dragić),0,2
1,1,11:26.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,0,2
2,1,11:24.0,,Defensive rebound by B. Adebayo,0,2
3,1,11:17.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),0,4
4,1,10:55.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Jackson),,2,4
5,1,10:39.0,,K. Olynyk misses 2-pt layup from 1 ft,2,4
6,1,10:36.0,Defensive rebound by L. Dončić,,2,4
7,1,10:24.0,D. Powell misses 3-pt jump shot from 24 ft,,2,4
8,1,10:20.0,,Defensive rebound by D. Jones,2,4
9,1,10:08.0,,D. Jones misses 3-pt jump shot from 26 ft,2,4
10,1,10:04.0,Defensive rebound by J. Brunson,,2,4
11,1,9:59.0,L. Dončić misses 3-pt jump shot from 27 ft,,2,4
12,1,9:54.0,,Defensive rebound by D. Jones,2,4
13,1,9:45.0,,D. Jones makes 2-pt layup from 1 ft (assist by G. Dragić),2,6
14,1,9:19.0,L. Dončić misses 2-pt jump shot from 11 ft,,2,6
15,1,9:18.0,,Defensive rebound by Team,2,6
16,1,9:00.0,,K. Olynyk makes 2-pt jump shot from 15 ft (assist by B. Adebayo),2,8
17,1,9:00.0,Dallas full timeout,,2,8
18,1,8:51.0,Personal foul by D. Jones (drawn by L. Dončić),,2,8
19,1,8:51.0,D. Harris enters the game for L. Dončić,,2,8
20,1,8:45.0,J. Jackson makes 2-pt jump shot from 6 ft,,4,8
21,1,8:30.0,,Shooting foul by D. Harris (drawn by D. Jones),4,8
22,1,8:30.0,,D. Jones makes free throw 1 of 2,4,9
23,1,8:30.0,,D. Jones makes free throw 2 of 2,4,10
24,1,8:10.0,J. Brunson misses 2-pt jump shot from 4 ft,,4,10
25,1,8:07.0,,Defensive rebound by K. Olynyk,4,10
26,1,8:03.0,,Turnover by D. Jones (step out of bounds),4,10
27,1,7:51.0,Shooting foul by D. Waiters (drawn by D. Harris),,4,10
28,1,7:51.0,D. Harris makes free throw 1 of 3,,5,10
29,1,7:51.0,D. Harris misses free throw 2 of 3,,5,10
30,1,7:51.0,Offensive rebound by Team,,5,10
31,1,7:51.0,D. Harris makes free throw 3 of 3,,6,10
32,1,7:42.0,,Turnover by B. Adebayo (bad pass; steal by J. Jackson),6,10
33,1,7:36.0,J. Jackson misses 2-pt layup from 1 ft,,6,10
34,1,7:33.0,,Defensive rebound by D. Jones,6,10
35,1,7:24.0,,G. Dragić makes 2-pt hook shot from 2 ft,6,12
36,1,7:09.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Brunson),,8,12
37,1,6:57.0,,G. Dragić misses 2-pt jump shot from 9 ft,8,12
38,1,6:53.0,Defensive rebound by J. Jackson,,8,12
