,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,OKLAHOMA CITY_ACTION,CHARLOTTE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,S. Adams misses 2-pt hook shot from 5 ft,0,0
1,1,11:36.0,,Offensive rebound by S. Adams,0,0
2,1,11:36.0,,S. Adams makes 2-pt layup from 1 ft,0,2
3,1,11:16.0,Turnover by J. Lamb (bad pass; steal by P. George),,0,2
4,1,11:12.0,,P. George makes 2-pt dunk from 1 ft,0,4
5,1,10:59.0,M. Williams misses 3-pt jump shot from 26 ft,,0,4
6,1,10:59.0,,Defensive rebound by R. Westbrook,0,4
7,1,10:50.0,,Shooting foul by J. Lamb (drawn by R. Westbrook),0,4
8,1,10:50.0,,R. Westbrook makes free throw 1 of 2,0,5
9,1,10:50.0,,R. Westbrook makes free throw 2 of 2,0,6
10,1,10:39.0,C. Zeller makes 2-pt dunk from 2 ft (assist by K. Walker),,2,6
11,1,10:23.0,,Turnover by P. George (bad pass; steal by K. Walker),2,6
12,1,10:19.0,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),,5,6
13,1,10:01.0,,S. Adams makes 2-pt jump shot from 2 ft (assist by R. Westbrook),5,8
14,1,9:36.0,K. Walker makes 2-pt jump shot from 5 ft,,7,8
15,1,9:30.0,,P. George misses 3-pt jump shot from 25 ft,7,8
16,1,9:30.0,,Offensive rebound by P. George,7,8
17,1,9:23.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. George),7,11
18,1,9:09.0,Turnover by K. Walker (out of bounds lost ball),,7,11
19,1,8:57.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),7,13
20,1,8:41.0,K. Walker misses 3-pt jump shot from 25 ft,,7,13
21,1,8:39.0,,Defensive rebound by P. George,7,13
22,1,8:32.0,,Personal foul by M. Williams (drawn by P. George),7,13
23,1,8:27.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by P. George),7,15
24,1,8:11.0,N. Batum misses 3-pt jump shot from 26 ft,,7,15
25,1,8:08.0,,Defensive rebound by R. Westbrook,7,15
26,1,7:51.0,,P. George misses 3-pt jump shot from 22 ft,7,15
27,1,7:48.0,Defensive rebound by N. Batum,,7,15
28,1,7:43.0,Shooting foul by D. Schröder (drawn by J. Lamb),,7,15
29,1,7:43.0,J. Lamb makes free throw 1 of 2,,8,15
30,1,7:43.0,J. Lamb makes free throw 2 of 2,,9,15
31,1,7:29.0,,J. Grant misses 3-pt jump shot from 24 ft,9,15
32,1,7:25.0,Defensive rebound by C. Zeller,,9,15
33,1,7:14.0,M. Williams misses 3-pt jump shot from 23 ft,,9,15
34,1,7:11.0,,Defensive rebound by D. Schröder,9,15
35,1,7:04.0,,D. Schröder misses 2-pt jump shot from 23 ft,9,15
36,1,7:02.0,,Offensive rebound by J. Grant,9,15
37,1,6:58.0,,Turnover by D. Schröder (bad pass; steal by M. Williams),9,15
38,1,6:51.0,J. Lamb makes 2-pt layup from 1 ft,,11,15
39,1,6:51.0,Shooting foul by S. Adams (drawn by J. Lamb),,11,15
40,1,6:51.0,,Oklahoma City full timeout,11,15
41,1,6:51.0,,T. Luwawu-Cabarrot enters the game for D. Schröder,11,15
42,1,6:51.0,J. Lamb makes free throw 1 of 1,,12,15
43,1,6:31.0,,R. Westbrook makes 2-pt jump shot from 14 ft,12,17
44,1,6:17.0,Personal foul by R. Westbrook (drawn by C. Zeller),,12,17
45,1,6:10.0,K. Walker makes 2-pt jump shot from 11 ft,,14,17
46,1,5:53.0,,P. George makes 2-pt jump shot from 19 ft,14,19
47,1,5:29.0,K. Walker misses 3-pt jump shot from 28 ft,,14,19
48,1,5:26.0,,Defensive rebound by J. Grant,14,19
49,1,5:21.0,,Offensive foul by P. George (drawn by K. Walker),14,19
50,1,5:21.0,,Turnover by P. George (offensive foul),14,19
51,1,5:08.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lamb),,16,19
52,1,4:56.0,,Turnover by P. George (bad pass),16,19
53,1,4:56.0,D. Bacon enters the game for N. Batum,,16,19
54,1,4:50.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Lamb),,16,19
55,1,4:50.0,J. Lamb makes free throw 1 of 3,,17,19
56,1,4:50.0,J. Lamb makes free throw 2 of 3,,18,19
57,1,4:50.0,M. Bridges enters the game for M. Williams,,18,19
58,1,4:50.0,J. Lamb makes free throw 3 of 3,,19,19
59,1,4:37.0,,P. George misses 3-pt jump shot from 25 ft,19,19
60,1,4:32.0,Defensive rebound by M. Bridges,,19,19
61,1,4:28.0,J. Lamb misses 2-pt layup from 1 ft,,19,19
62,1,4:27.0,Offensive rebound by C. Zeller,,19,19
63,1,4:27.0,C. Zeller misses 2-pt layup from 2 ft,,19,19
64,1,4:26.0,Offensive rebound by C. Zeller,,19,19
65,1,4:26.0,C. Zeller misses 2-pt layup from 1 ft,,19,19
66,1,4:22.0,Offensive rebound by M. Bridges,,19,19
67,1,4:14.0,C. Zeller makes 2-pt jump shot from 4 ft (assist by K. Walker),,21,19
68,1,4:02.0,,R. Westbrook misses 2-pt jump shot from 13 ft,21,19
69,1,4:01.0,,Offensive rebound by Team,21,19
70,1,4:01.0,Loose ball foul by C. Zeller (drawn by S. Adams),,21,19
71,1,3:56.0,,Turnover by R. Westbrook (bad pass),21,19
72,1,3:47.0,K. Walker misses 3-pt jump shot from 26 ft,,21,19
73,1,3:42.0,,Defensive rebound by J. Grant,21,19
74,1,3:38.0,,R. Westbrook misses 2-pt jump shot from 12 ft,21,19
75,1,3:36.0,Defensive rebound by C. Zeller,,21,19
76,1,3:27.0,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Walker),,21,19
77,1,3:27.0,K. Walker misses free throw 1 of 2,,21,19
78,1,3:27.0,Offensive rebound by Team,,21,19
79,1,3:27.0,,Oklahoma City full timeout,21,19
80,1,3:27.0,K. Walker makes free throw 2 of 2,,22,19
81,1,3:14.0,,J. Grant makes 3-pt jump shot from 24 ft (assist by R. Westbrook),22,22
82,1,3:01.0,M. Bridges misses 2-pt layup from 1 ft,,22,22
83,1,2:59.0,Offensive rebound by Team,,22,22
84,1,2:59.0,,Á. Abrines enters the game for T. Luwawu-Cabarrot,22,22
85,1,2:59.0,,D. Schröder enters the game for R. Westbrook,22,22
86,1,2:54.0,J. Lamb makes 2-pt jump shot from 6 ft (assist by K. Walker),,24,22
87,1,2:44.0,,Shooting foul by C. Zeller (drawn by S. Adams),24,22
88,1,2:44.0,,S. Adams makes free throw 1 of 2,24,23
89,1,2:44.0,F. Kaminsky enters the game for C. Zeller,,24,23
90,1,2:44.0,,S. Adams makes free throw 2 of 2,24,24
91,1,2:37.0,Personal foul by Á. Abrines (drawn by J. Lamb),,24,24
92,1,2:37.0,J. Lamb makes free throw 1 of 2,,25,24
93,1,2:37.0,,P. Patterson enters the game for J. Grant,25,24
94,1,2:37.0,J. Lamb makes free throw 2 of 2,,26,24
95,1,2:14.0,,S. Adams misses 2-pt layup from 1 ft (block by F. Kaminsky),26,24
96,1,2:12.0,Defensive rebound by F. Kaminsky,,26,24
97,1,2:08.0,K. Walker makes 3-pt jump shot from 23 ft (assist by D. Bacon),,29,24
98,1,1:54.0,,P. George makes 3-pt jump shot from 24 ft (assist by P. Patterson),29,27
99,1,1:29.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,29,27
100,1,1:26.0,,Defensive rebound by P. George,29,27
101,1,1:15.0,,D. Schröder makes 2-pt layup from 1 ft (assist by S. Adams),29,29
102,1,0:57.0,M. Bridges misses 2-pt jump shot from 8 ft,,29,29
103,1,0:53.0,,Defensive rebound by P. George,29,29
104,1,0:50.0,,D. Schröder makes 2-pt layup at rim,29,31
105,1,0:38.0,Turnover by K. Walker (bad pass; steal by P. George),,29,31
106,1,0:32.0,,P. George misses 3-pt jump shot from 24 ft,29,31
107,1,0:29.0,Defensive rebound by F. Kaminsky,,29,31
108,1,0:07.0,F. Kaminsky makes 2-pt jump shot from 4 ft (assist by K. Walker),,31,31
109,1,0:01.0,,S. Adams misses 2-pt layup from 2 ft,31,31
110,1,0:01.0,,Offensive rebound by S. Adams,31,31
111,1,0:00.0,,S. Adams makes 2-pt layup at rim,31,33
112,2,11:43.0,Shooting foul by Á. Abrines (drawn by D. Bacon),,31,33
113,2,11:43.0,D. Bacon misses free throw 1 of 2,,31,33
114,2,11:43.0,Offensive rebound by Team,,31,33
115,2,11:43.0,,T. Luwawu-Cabarrot enters the game for Á. Abrines,31,33
116,2,11:43.0,D. Bacon makes free throw 2 of 2,,32,33
117,2,11:34.0,,D. Schröder misses 2-pt jump shot from 7 ft,32,33
118,2,11:31.0,Defensive rebound by M. Bridges,,32,33
119,2,11:28.0,M. Bridges misses 2-pt layup from 2 ft,,32,33
120,2,11:24.0,Offensive rebound by F. Kaminsky,,32,33
121,2,11:24.0,F. Kaminsky makes 2-pt layup from 1 ft,,34,33
122,2,11:10.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by D. Burton),34,36
123,2,10:57.0,D. Bacon makes 2-pt layup from 1 ft (assist by N. Batum),,36,36
124,2,10:39.0,,Turnover by T. Luwawu-Cabarrot (bad pass),36,36
125,2,10:26.0,Personal foul by N. Noel (drawn by F. Kaminsky),,36,36
126,2,10:21.0,N. Batum makes 2-pt jump shot from 18 ft,,38,36
127,2,10:09.0,,Turnover by N. Noel (bad pass; steal by M. Bridges),38,36
128,2,10:06.0,D. Bacon misses 2-pt layup from 1 ft,,38,36
129,2,10:03.0,,Defensive rebound by D. Schröder,38,36
130,2,10:01.0,,Turnover by D. Schröder (bad pass; steal by F. Kaminsky),38,36
131,2,9:56.0,M. Bridges misses 2-pt dunk at rim,,38,36
132,2,9:53.0,Offensive rebound by F. Kaminsky,,38,36
133,2,9:53.0,F. Kaminsky makes 2-pt layup from 1 ft,,40,36
134,2,9:51.0,,Oklahoma City full timeout,40,36
135,2,9:36.0,,D. Burton misses 2-pt layup from 1 ft,40,36
