,QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
0,1,11:45.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by J. Ingles),,2,0
1,1,11:21.0,,J. McGee makes 2-pt dunk from 1 ft,2,2
2,1,11:07.0,J. Ingles misses 3-pt jump shot from 25 ft,,2,2
3,1,11:05.0,,Defensive rebound by J. Jones,2,2
4,1,10:52.0,,Turnover by J. McGee (lost ball; steal by D. Mitchell),2,2
5,1,10:47.0,D. Mitchell makes 2-pt layup from 1 ft,,4,2
6,1,10:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,4,2
7,1,10:24.0,,Offensive rebound by M. Muscala,4,2
8,1,10:22.0,,Turnover by M. Muscala (bad pass; steal by T. Sefolosha),4,2
9,1,10:13.0,J. Ingles misses 3-pt jump shot from 26 ft,,4,2
10,1,10:09.0,,Defensive rebound by K. Caldwell-Pope,4,2
11,1,9:52.0,,A. Caruso misses 2-pt dunk from 2 ft,4,2
12,1,9:48.0,Defensive rebound by J. Ingles,,4,2
13,1,9:42.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,6,2
14,1,9:30.0,,J. McGee makes 2-pt dunk from 1 ft (assist by A. Caruso),6,4
15,1,9:16.0,D. Mitchell misses 2-pt hook shot from 3 ft,,6,4
16,1,9:13.0,,Defensive rebound by J. Jones,6,4
17,1,9:10.0,,M. Muscala makes 2-pt jump shot from 18 ft (assist by J. Jones),6,6
18,1,9:00.0,Personal foul by J. Jones (drawn by R. Gobert),,6,6
19,1,8:45.0,J. Ingles misses 3-pt jump shot from 28 ft,,6,6
20,1,8:41.0,,Defensive rebound by J. Jones,6,6
21,1,8:29.0,,Shooting foul by D. Mitchell (drawn by J. McGee),6,6
22,1,8:29.0,,J. McGee makes free throw 1 of 2,6,7
23,1,8:29.0,,J. McGee makes free throw 2 of 2,6,8
24,1,8:14.0,D. Mitchell misses 3-pt jump shot from 26 ft,,6,8
25,1,8:09.0,,Defensive rebound by M. Muscala,6,8
26,1,8:01.0,,J. McGee makes 2-pt dunk from 1 ft,6,10
27,1,7:48.0,Shooting foul by J. Jones (drawn by J. Ingles),,6,10
28,1,7:48.0,J. Ingles misses free throw 1 of 2,,6,10
29,1,7:48.0,Offensive rebound by Team,,6,10
30,1,7:48.0,J. Ingles makes free throw 2 of 2,,7,10
31,1,7:33.0,,A. Caruso misses 2-pt layup from 3 ft,7,10
32,1,7:31.0,Defensive rebound by R. Gobert,,7,10
33,1,7:31.0,J. Crowder enters the game for T. Sefolosha,,7,10
34,1,7:31.0,,I. Bonga enters the game for J. Jones,7,10
35,1,7:23.0,Utah full timeout,,7,10
36,1,7:16.0,R. O'Neale makes 3-pt jump shot from 23 ft (assist by J. Crowder),,10,10
37,1,7:09.0,,Personal foul by R. O'Neale (drawn by K. Caldwell-Pope),10,10
38,1,7:00.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by A. Caruso),10,13
39,1,6:47.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,12,13
40,1,6:31.0,,A. Caruso makes 2-pt jump shot from 14 ft (assist by J. McGee),12,15
41,1,6:11.0,J. Crowder misses 3-pt jump shot from 25 ft,,12,15
