,QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
0,1,11:41.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),0,3
1,1,11:20.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,3,3
2,1,11:01.0,,L. Dončić makes 2-pt jump shot from 12 ft,3,5
3,1,10:45.0,K. Lowry misses 2-pt jump shot from 11 ft,,3,5
4,1,10:44.0,Offensive rebound by K. Lowry,,3,5
5,1,10:42.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),,6,5
6,1,10:22.0,,H. Barnes misses 2-pt jump shot from 12 ft,6,5
7,1,10:19.0,Defensive rebound by K. Leonard,,6,5
8,1,10:16.0,Personal foul by D. Smith (drawn by K. Leonard),,6,5
9,1,10:02.0,P. Siakam makes 2-pt layup from 3 ft,,8,5
10,1,9:48.0,,Turnover by D. Jordan (bad pass; steal by D. Green),8,5
11,1,9:43.0,Shooting foul by D. Jordan (drawn by S. Ibaka),,8,5
12,1,9:43.0,S. Ibaka misses free throw 1 of 2,,8,5
13,1,9:43.0,Offensive rebound by Team,,8,5
14,1,9:43.0,S. Ibaka makes free throw 2 of 2,,9,5
15,1,9:19.0,,D. Smith misses 3-pt jump shot from 25 ft,9,5
16,1,9:15.0,Defensive rebound by K. Leonard,,9,5
17,1,9:07.0,S. Ibaka misses 2-pt hook shot from 4 ft,,9,5
18,1,9:04.0,,Defensive rebound by H. Barnes,9,5
19,1,8:57.0,,D. Smith makes 2-pt layup from 1 ft (assist by L. Dončić),9,7
20,1,8:41.0,K. Leonard misses 3-pt jump shot from 24 ft,,9,7
21,1,8:38.0,,Defensive rebound by L. Dončić,9,7
22,1,8:33.0,,H. Barnes misses 2-pt layup from 1 ft,9,7
23,1,8:32.0,Defensive rebound by K. Leonard,,9,7
24,1,8:28.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Leonard),,12,7
25,1,8:13.0,,W. Matthews misses 3-pt jump shot from 26 ft,12,7
26,1,8:10.0,Defensive rebound by K. Leonard,,12,7
27,1,8:05.0,K. Leonard makes 3-pt jump shot from 25 ft,,15,7
28,1,8:04.0,,Dallas full timeout,15,7
29,1,7:53.0,,L. Dončić misses 3-pt jump shot from 26 ft,15,7
30,1,7:48.0,Defensive rebound by D. Green,,15,7
31,1,7:36.0,P. Siakam misses 3-pt jump shot from 25 ft,,15,7
32,1,7:34.0,,Defensive rebound by D. Smith,15,7
33,1,7:31.0,,D. Smith misses 2-pt jump shot from 19 ft,15,7
34,1,7:28.0,Defensive rebound by K. Leonard,,15,7
35,1,7:16.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by K. Leonard),,18,7
36,1,6:57.0,,Personal foul by K. Leonard (drawn by L. Dončić),18,7
37,1,6:49.0,,D. Smith makes 2-pt dunk from 1 ft (assist by L. Dončić),18,9
38,1,6:35.0,K. Leonard makes 2-pt jump shot from 10 ft (assist by K. Lowry),,20,9
39,1,6:35.0,Shooting foul by W. Matthews (drawn by K. Leonard),,20,9
40,1,6:35.0,K. Leonard makes free throw 1 of 1,,21,9
41,1,6:20.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Jordan),21,11
42,1,6:09.0,S. Ibaka misses 2-pt jump shot from 19 ft,,21,11
43,1,6:06.0,,Defensive rebound by L. Dončić,21,11
44,1,6:00.0,,L. Dončić makes 2-pt layup from 5 ft,21,13
45,1,5:44.0,K. Leonard misses 2-pt layup from 2 ft,,21,13
46,1,5:44.0,,Defensive rebound by L. Dončić,21,13
47,1,5:36.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Dončić),21,16
48,1,5:19.0,Shooting foul by H. Barnes (drawn by P. Siakam),,21,16
49,1,5:19.0,P. Siakam makes free throw 1 of 2,,22,16
50,1,5:19.0,F. VanVleet enters the game for K. Lowry,,22,16
51,1,5:19.0,,D. Finney-Smith enters the game for L. Dončić,22,16
52,1,5:19.0,P. Siakam makes free throw 2 of 2,,23,16
53,1,5:08.0,,D. Smith makes 2-pt layup from 1 ft,23,18
54,1,5:08.0,,Technical foul by D. Smith,23,18
55,1,5:08.0,K. Leonard makes technical free throw,,24,18
56,1,4:52.0,K. Leonard misses 3-pt jump shot from 22 ft,,24,18
57,1,4:49.0,,Defensive rebound by D. Smith,24,18
58,1,4:34.0,,Turnover by D. Smith (bad pass),24,18
59,1,4:34.0,O. Anunoby enters the game for P. Siakam,,24,18
60,1,4:19.0,F. VanVleet misses 2-pt jump shot from 15 ft (block by D. Smith),,24,18
61,1,4:17.0,Offensive rebound by Team,,24,18
62,1,4:12.0,K. Leonard makes 2-pt jump shot from 16 ft (assist by F. VanVleet),,26,18
63,1,3:51.0,,H. Barnes makes 2-pt hook shot from 4 ft,26,20
64,1,3:36.0,K. Leonard misses 2-pt jump shot from 12 ft,,26,20
65,1,3:34.0,Offensive rebound by Team,,26,20
66,1,3:29.0,K. Leonard misses 2-pt jump shot from 18 ft,,26,20
67,1,3:25.0,,Defensive rebound by D. Smith,26,20
68,1,3:16.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Smith),26,23
69,1,2:58.0,F. VanVleet misses 2-pt jump shot from 18 ft,,26,23
70,1,2:55.0,,Defensive rebound by D. Finney-Smith,26,23
71,1,2:43.0,,Turnover by D. Finney-Smith (lost ball; steal by S. Ibaka),26,23
72,1,2:43.0,Personal take foul by D. Finney-Smith (drawn by S. Ibaka),,26,23
73,1,2:43.0,Toronto full timeout,,26,23
74,1,2:43.0,N. Powell enters the game for K. Leonard,,26,23
75,1,2:43.0,,L. Dončić enters the game for H. Barnes,26,23
76,1,2:43.0,,D. Harris enters the game for D. Jordan,26,23
77,1,2:43.0,,M. Kleber enters the game for W. Matthews,26,23
78,1,2:43.0,,D. Nowitzki enters the game for D. Smith,26,23
79,1,2:43.0,S. Ibaka makes free throw 1 of 2,,27,23
80,1,2:43.0,S. Ibaka makes free throw 2 of 2,,28,23
81,1,2:26.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Dončić),28,25
82,1,2:26.0,,Shooting foul by D. Green (drawn by D. Finney-Smith),28,25
83,1,2:26.0,P. Siakam enters the game for S. Ibaka,,28,25
84,1,2:26.0,,D. Finney-Smith misses free throw 1 of 1,28,25
85,1,2:23.0,Defensive rebound by N. Powell,,28,25
86,1,2:10.0,O. Anunoby misses 3-pt jump shot from 23 ft,,28,25
87,1,2:07.0,,Defensive rebound by M. Kleber,28,25
88,1,2:00.0,,L. Dončić makes 2-pt hook shot from 6 ft,28,27
89,1,1:47.0,Personal foul by D. Harris (drawn by F. VanVleet),,28,27
90,1,1:47.0,F. VanVleet makes free throw 1 of 2,,29,27
91,1,1:47.0,K. Lowry enters the game for D. Green,,29,27
92,1,1:47.0,F. VanVleet makes free throw 2 of 2,,30,27
93,1,1:28.0,,Turnover by D. Nowitzki (lost ball; steal by P. Siakam),30,27
94,1,1:23.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,33,27
95,1,1:04.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Harris),33,30
96,1,0:52.0,Shooting foul by D. Finney-Smith (drawn by K. Lowry),,33,30
97,1,0:52.0,K. Lowry makes free throw 1 of 2,,34,30
98,1,0:52.0,,W. Matthews enters the game for D. Finney-Smith,34,30
99,1,0:52.0,K. Lowry makes free throw 2 of 2,,35,30
100,1,0:33.0,,L. Dončić misses 3-pt jump shot from 27 ft,35,30
101,1,0:30.0,Defensive rebound by P. Siakam,,35,30
102,1,0:24.0,P. Siakam misses 2-pt hook shot from 7 ft,,35,30
103,1,0:22.0,,Defensive rebound by L. Dončić,35,30
104,1,0:06.0,,Personal take foul by N. Powell (drawn by L. Dončić),35,30
105,1,0:03.0,,Personal foul by O. Anunoby (drawn by L. Dončić),35,30
106,1,0:03.0,,L. Dončić makes free throw 1 of 2,35,31
107,1,0:03.0,,D. Powell enters the game for D. Nowitzki,35,31
108,1,0:03.0,,L. Dončić makes free throw 2 of 2,35,32
109,1,0:00.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by F. VanVleet),,38,32
110,2,11:48.0,N. Powell misses 2-pt layup from 1 ft,,38,32
111,2,11:45.0,Offensive rebound by O. Anunoby,,38,32
112,2,11:43.0,O. Anunoby makes 2-pt dunk at rim,,40,32
113,2,11:34.0,,D. Finney-Smith makes 2-pt dunk from 2 ft (assist by L. Dončić),40,34
114,2,11:24.0,Personal foul by D. Harris (drawn by P. Siakam),,40,34
115,2,11:12.0,F. VanVleet makes 3-pt jump shot from 25 ft,,43,34
116,2,10:56.0,,Personal foul by N. Powell (drawn by L. Dončić),43,34
117,2,10:45.0,,D. Harris misses 2-pt jump shot from 21 ft,43,34
118,2,10:43.0,,Offensive rebound by D. Finney-Smith,43,34
119,2,10:42.0,,Turnover by D. Finney-Smith (out of bounds lost ball),43,34
120,2,10:33.0,Turnover by K. Lowry (bad pass; steal by D. Finney-Smith),,43,34
121,2,10:23.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),43,37
122,2,9:57.0,O. Anunoby misses 3-pt jump shot from 25 ft,,43,37
