,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
0,1,11:49.0,Personal foul by K. Lowry (drawn by Y. Ferrell),,0,0
1,1,11:39.0,B. Hield misses 2-pt layup from 2 ft,,0,0
2,1,11:38.0,Offensive rebound by Team,,0,0
3,1,11:32.0,Y. Ferrell misses 2-pt jump shot from 17 ft,,0,0
4,1,11:30.0,,Defensive rebound by S. Ibaka,0,0
5,1,11:11.0,,P. Siakam misses 2-pt layup from 4 ft,0,0
6,1,11:09.0,Defensive rebound by W. Cauley-Stein,,0,0
7,1,11:02.0,M. Bagley makes 2-pt hook shot from 3 ft (assist by B. Bogdanović),,2,0
8,1,10:40.0,,D. Green makes 3-pt jump shot from 25 ft (assist by F. VanVleet),2,3
9,1,10:30.0,B. Hield makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),,5,3
10,1,10:09.0,,Turnover by P. Siakam (bad pass; steal by B. Bogdanović),5,3
11,1,10:03.0,Y. Ferrell makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,8,3
12,1,9:51.0,,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),8,5
13,1,9:40.0,Y. Ferrell misses 2-pt jump shot from 9 ft,,8,5
14,1,9:35.0,,Defensive rebound by K. Lowry,8,5
15,1,9:31.0,,Shooting foul by W. Cauley-Stein (drawn by S. Ibaka),8,5
16,1,9:31.0,,S. Ibaka makes free throw 1 of 2,8,6
17,1,9:31.0,,S. Ibaka makes free throw 2 of 2,8,7
18,1,9:21.0,Shooting foul by F. VanVleet (drawn by B. Hield),,8,7
19,1,9:21.0,B. Hield makes free throw 1 of 2,,9,7
20,1,9:21.0,B. Hield makes free throw 2 of 2,,10,7
21,1,9:04.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),10,10
22,1,8:53.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,12,10
23,1,8:35.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by D. Green),12,13
24,1,8:19.0,M. Bagley makes 2-pt hook shot from 5 ft (assist by Y. Ferrell),,14,13
25,1,8:08.0,,S. Ibaka misses 3-pt jump shot from 26 ft,14,13
26,1,8:04.0,Defensive rebound by M. Bagley,,14,13
27,1,7:55.0,M. Bagley misses 2-pt layup from 2 ft,,14,13
