,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHARLOTTE_ACTION,GOLDEN STATE_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,C. Zeller makes 2-pt dunk from 1 ft,0,2
1,1,11:30.0,Personal foul by M. Williams (drawn by D. Green),,0,2
2,1,11:22.0,K. Thompson misses 2-pt jump shot from 12 ft,,0,2
3,1,11:19.0,,Defensive rebound by M. Williams,0,2
4,1,11:12.0,,M. Williams misses 3-pt jump shot from 25 ft,0,2
5,1,11:09.0,Defensive rebound by S. Curry,,0,2
6,1,11:06.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,3,2
7,1,10:42.0,,N. Batum misses 2-pt jump shot from 16 ft,3,2
8,1,10:40.0,Defensive rebound by D. Green,,3,2
9,1,10:28.0,K. Durant makes 2-pt jump shot from 11 ft,,5,2
10,1,10:16.0,,Shooting foul by D. Cousins (drawn by C. Zeller),5,2
11,1,10:16.0,,C. Zeller makes free throw 1 of 2,5,3
12,1,10:16.0,,C. Zeller makes free throw 2 of 2,5,4
13,1,10:01.0,Turnover by D. Green (bad pass; steal by C. Zeller),,5,4
14,1,9:55.0,,K. Walker misses 3-pt jump shot from 25 ft,5,4
15,1,9:55.0,,Offensive rebound by Team,5,4
16,1,9:52.0,,M. Williams makes 2-pt jump shot from 22 ft (assist by N. Batum),5,6
17,1,9:37.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,8,6
18,1,9:20.0,,M. Bridges misses 2-pt layup from 2 ft,8,6
19,1,9:17.0,Defensive rebound by D. Green,,8,6
20,1,9:14.0,D. Green makes 2-pt layup from 1 ft,,10,6
21,1,8:54.0,,K. Walker misses 2-pt jump shot from 7 ft,10,6
22,1,8:50.0,,Offensive rebound by C. Zeller,10,6
23,1,8:50.0,,C. Zeller makes 2-pt layup from 1 ft,10,8
24,1,8:44.0,K. Thompson misses 2-pt layup from 3 ft (block by N. Batum),,10,8
25,1,8:40.0,,Defensive rebound by K. Walker,10,8
26,1,8:38.0,,Personal foul by S. Curry (drawn by K. Walker),10,8
27,1,8:28.0,,N. Batum makes 2-pt jump shot from 8 ft,10,10
28,1,8:11.0,S. Curry misses 3-pt jump shot from 23 ft,,10,10
29,1,8:10.0,Offensive rebound by Team,,10,10
30,1,8:08.0,Turnover by D. Green (bad pass; steal by M. Bridges),,10,10
31,1,8:05.0,,Shooting foul by K. Thompson (drawn by N. Batum),10,10
32,1,8:05.0,,N. Batum makes free throw 1 of 2,10,11
33,1,8:05.0,,N. Batum makes free throw 2 of 2,10,12
34,1,7:48.0,K. Thompson misses 2-pt layup from 7 ft,,10,12
