,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
36,1,6:36.0,T. Young misses 2-pt dunk from 1 ft,,17,12
37,1,6:33.0,,Defensive rebound by N. Vučević,17,12
38,1,6:22.0,,A. Gordon misses 3-pt jump shot from 23 ft,17,12
39,1,6:20.0,Defensive rebound by M. Turner,,17,12
40,1,6:12.0,B. Bogdanović makes 2-pt layup from 10 ft,,19,12
41,1,5:56.0,,Orlando full timeout,19,12
42,1,5:56.0,,J. Isaac enters the game for J. Simmons,19,12
43,1,5:45.0,,Turnover by Team (shot clock),19,12
44,1,5:33.0,M. Turner makes 2-pt jump shot from 17 ft (assist by D. Collison),,21,12
45,1,5:11.0,,J. Isaac makes 2-pt layup from 2 ft (assist by N. Vučević),21,14
46,1,4:57.0,M. Turner misses 2-pt jump shot from 19 ft,,21,14
47,1,4:54.0,,Defensive rebound by J. Isaac,21,14
48,1,4:45.0,,J. Isaac misses 2-pt layup from 2 ft (block by M. Turner),21,14
49,1,4:43.0,,Offensive rebound by A. Gordon,21,14
50,1,4:43.0,,Turnover by J. Isaac (off goaltending),21,14
51,1,4:43.0,,J. Grant enters the game for D. Augustin,21,14
52,1,4:43.0,,T. Ross enters the game for E. Fournier,21,14
53,1,4:29.0,Turnover by T. Evans (step out of bounds),,21,14
54,1,4:12.0,,N. Vučević misses 3-pt jump shot from 26 ft,21,14
55,1,4:08.0,Defensive rebound by T. Young,,21,14
56,1,4:06.0,Shooting foul by T. Ross (drawn by T. Evans),,21,14
57,1,4:06.0,T. Evans makes free throw 1 of 2,,22,14
58,1,4:06.0,C. Joseph enters the game for B. Bogdanović,,22,14
59,1,4:06.0,T. Evans makes free throw 2 of 2,,23,14
60,1,3:52.0,,A. Gordon makes 2-pt jump shot from 14 ft (assist by T. Ross),23,16
61,1,3:32.0,T. Evans misses 2-pt layup from 1 ft,,23,16
62,1,3:28.0,,Defensive rebound by A. Gordon,23,16
63,1,3:15.0,,N. Vučević misses 2-pt hook shot from 9 ft,23,16
64,1,3:13.0,Defensive rebound by M. Turner,,23,16
65,1,3:07.0,T. Evans misses 3-pt jump shot from 23 ft,,23,16
66,1,3:04.0,,Defensive rebound by A. Gordon,23,16
67,1,2:48.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),23,18
68,1,2:44.0,Personal take foul by J. Isaac (drawn by T. Young),,23,18
69,1,2:44.0,T. Leaf enters the game for T. Evans,,23,18
70,1,2:44.0,D. McDermott enters the game for T. Young,,23,18
71,1,2:44.0,,M. Bamba enters the game for A. Gordon,23,18
72,1,2:44.0,,J. Simmons enters the game for N. Vučević,23,18
73,1,2:29.0,C. Joseph misses 3-pt jump shot from 28 ft,,23,18
74,1,2:26.0,,Defensive rebound by J. Simmons,23,18
75,1,2:14.0,,J. Isaac misses 3-pt jump shot from 22 ft,23,18
76,1,2:11.0,Defensive rebound by C. Joseph,,23,18
77,1,1:58.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. Collison),,26,18
78,1,1:41.0,,T. Ross makes 2-pt jump shot from 19 ft,26,20
79,1,1:26.0,M. Turner misses 2-pt jump shot from 14 ft,,26,20
80,1,1:24.0,,Defensive rebound by J. Isaac,26,20
81,1,1:18.0,,J. Isaac misses 3-pt jump shot from 25 ft,26,20
82,1,1:16.0,Defensive rebound by M. Turner,,26,20
83,1,1:10.0,D. Collison misses 2-pt layup from 2 ft,,26,20
84,1,1:08.0,,Defensive rebound by M. Bamba,26,20
85,1,1:04.0,,J. Isaac makes 2-pt layup from 2 ft (assist by J. Grant),26,22
86,1,1:04.0,,Shooting foul by T. Leaf (drawn by J. Isaac),26,22
87,1,1:04.0,A. Holiday enters the game for D. Collison,,26,22
88,1,1:04.0,K. O'Quinn enters the game for M. Turner,,26,22
89,1,1:04.0,,J. Isaac makes free throw 1 of 1,26,23
90,1,0:50.0,D. McDermott misses 3-pt jump shot from 25 ft,,26,23
91,1,0:46.0,,Defensive rebound by T. Ross,26,23
92,1,0:42.0,,T. Ross misses 3-pt jump shot from 24 ft,26,23
93,1,0:38.0,Defensive rebound by T. Leaf,,26,23
94,1,0:29.0,A. Holiday misses 3-pt jump shot from 25 ft,,26,23
95,1,0:26.0,,Defensive rebound by M. Bamba,26,23
96,1,0:07.0,,J. Simmons misses 2-pt jump shot from 12 ft,26,23
97,1,0:04.0,,Offensive rebound by J. Simmons,26,23
98,1,0:04.0,,J. Simmons makes 2-pt jump shot from 8 ft,26,25
99,1,0:00.0,C. Joseph makes 2-pt hook shot from 3 ft,,28,25
100,2,11:42.0,K. O'Quinn misses 2-pt layup from 2 ft,,28,25
101,2,11:38.0,,Defensive rebound by J. Grant,28,25
102,2,11:33.0,,M. Bamba misses 3-pt jump shot from 24 ft,28,25
103,2,11:32.0,Defensive rebound by A. Holiday,,28,25
104,2,11:10.0,C. Joseph makes 2-pt jump shot from 20 ft,,30,25
105,2,10:52.0,,M. Bamba makes 2-pt hook shot from 7 ft (assist by J. Simmons),30,27
106,2,10:41.0,Shooting foul by J. Isaac (drawn by T. Leaf),,30,27
107,2,10:41.0,T. Leaf makes free throw 1 of 2,,31,27
108,2,10:41.0,T. Leaf makes free throw 2 of 2,,32,27
109,2,10:17.0,,J. Simmons misses 2-pt jump shot from 9 ft,32,27
110,2,10:15.0,Defensive rebound by T. Leaf,,32,27
111,2,10:07.0,D. McDermott makes 3-pt jump shot from 27 ft (assist by T. Leaf),,35,27
112,2,9:54.0,,Personal foul by K. O'Quinn (drawn by J. Grant),35,27
113,2,9:40.0,,J. Isaac misses 2-pt jump shot from 9 ft (block by A. Holiday),35,27
114,2,9:39.0,,Offensive rebound by J. Isaac,35,27
115,2,9:39.0,,Turnover by Team (shot clock),35,27
116,2,9:26.0,K. O'Quinn misses 2-pt jump shot from 17 ft,,35,27
117,2,9:24.0,,Defensive rebound by J. Grant,35,27
118,2,9:14.0,,M. Bamba misses 2-pt layup from 2 ft,35,27
119,2,9:12.0,Defensive rebound by D. McDermott,,35,27
120,2,9:03.0,C. Joseph misses 2-pt jump shot from 18 ft,,35,27
121,2,9:00.0,,Defensive rebound by J. Isaac,35,27
122,2,8:50.0,,T. Ross misses 3-pt jump shot from 25 ft,35,27
123,2,8:48.0,Defensive rebound by D. McDermott,,35,27
124,2,8:44.0,Offensive foul by D. McDermott (drawn by J. Simmons),,35,27
125,2,8:44.0,Turnover by D. McDermott (offensive foul),,35,27
126,2,8:44.0,B. Bogdanović enters the game for T. Leaf,,35,27
127,2,8:44.0,,E. Fournier enters the game for J. Simmons,35,27
128,2,8:21.0,,Turnover by J. Grant (bad pass; steal by K. O'Quinn),35,27
129,2,8:17.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. McDermott),,37,27
130,2,7:55.0,,J. Isaac misses 2-pt layup from 2 ft,37,27
131,2,7:53.0,Defensive rebound by K. O'Quinn,,37,27
132,2,7:49.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by C. Joseph),,40,27
133,2,7:38.0,,Orlando full timeout,40,27
134,2,7:38.0,,A. Gordon enters the game for J. Isaac,40,27
135,2,7:33.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Grant),40,30
136,2,7:21.0,Personal foul by J. Grant (drawn by A. Holiday),,40,30
137,2,7:21.0,T. Young enters the game for D. McDermott,,40,30
138,2,7:21.0,,N. Vučević enters the game for M. Bamba,40,30
139,2,7:03.0,C. Joseph misses 3-pt jump shot from 25 ft,,40,30
140,2,7:00.0,,Defensive rebound by A. Gordon,40,30
141,2,6:50.0,,A. Gordon misses 2-pt hook shot from 5 ft,40,30
142,2,6:46.0,Defensive rebound by T. Young,,40,30
143,2,6:38.0,A. Holiday makes 2-pt jump shot from 19 ft (assist by T. Young),,42,30
144,2,6:14.0,,A. Gordon makes 3-pt jump shot from 25 ft,42,33
145,2,5:55.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,42,33
146,2,5:52.0,,Defensive rebound by J. Grant,42,33
147,2,5:42.0,,Turnover by J. Grant (bad pass; steal by B. Bogdanović),42,33
148,2,5:39.0,B. Bogdanović makes 2-pt layup from 1 ft,,44,33
149,2,5:25.0,,Offensive foul by E. Fournier (drawn by C. Joseph),44,33
150,2,5:25.0,,Turnover by E. Fournier (offensive foul),44,33
151,2,5:25.0,M. Turner enters the game for K. O'Quinn,,44,33
152,2,5:25.0,,D. Augustin enters the game for J. Grant,44,33
153,2,5:25.0,,J. Isaac enters the game for T. Ross,44,33
154,2,5:07.0,B. Bogdanović makes 2-pt jump shot from 2 ft,,46,33
155,2,4:48.0,,D. Augustin misses 2-pt jump shot from 13 ft (block by A. Holiday),46,33
156,2,4:47.0,Defensive rebound by M. Turner,,46,33
157,2,4:38.0,M. Turner misses 2-pt jump shot from 19 ft,,46,33
