,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),0,2
1,1,11:29.0,N. Jokić misses 2-pt jump shot from 11 ft,,0,2
2,1,11:28.0,,Defensive rebound by D. Green,0,2
3,1,11:19.0,,D. Cousins misses 3-pt jump shot from 28 ft,0,2
4,1,11:17.0,Defensive rebound by W. Barton,,0,2
5,1,11:06.0,Personal foul by K. Durant (drawn by N. Jokić),,0,2
6,1,11:00.0,G. Harris misses 2-pt layup from 6 ft,,0,2
7,1,10:58.0,,Defensive rebound by D. Cousins,0,2
8,1,10:58.0,,Personal foul by G. Harris (drawn by D. Cousins),0,2
9,1,10:40.0,,D. Cousins misses 2-pt hook shot from 1 ft,0,2
10,1,10:39.0,Defensive rebound by P. Millsap,,0,2
11,1,10:28.0,W. Barton misses 3-pt jump shot from 23 ft,,0,2
12,1,10:27.0,,Defensive rebound by D. Green,0,2
13,1,10:22.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),0,5
14,1,10:10.0,Personal foul by K. Thompson (drawn by G. Harris),,0,5
15,1,10:03.0,J. Murray misses 2-pt jump shot from 13 ft (block by D. Cousins),,0,5
16,1,10:01.0,,Defensive rebound by D. Green,0,5
17,1,9:57.0,,K. Thompson misses 3-pt jump shot from 26 ft,0,5
18,1,9:55.0,Defensive rebound by W. Barton,,0,5
19,1,9:53.0,Shooting foul by D. Green (drawn by G. Harris),,0,5
20,1,9:53.0,G. Harris makes free throw 1 of 2,,1,5
21,1,9:53.0,G. Harris misses free throw 2 of 2,,1,5
22,1,9:52.0,,Defensive rebound by D. Green,1,5
23,1,9:40.0,,K. Thompson misses 2-pt layup from 4 ft,1,5
24,1,9:39.0,,Offensive rebound by K. Thompson,1,5
25,1,9:38.0,,K. Thompson makes 2-pt layup from 1 ft,1,7
26,1,9:27.0,N. Jokić makes 2-pt hook shot from 5 ft,,3,7
27,1,9:15.0,,K. Thompson misses 2-pt jump shot from 19 ft,3,7
28,1,9:14.0,Defensive rebound by W. Barton,,3,7
29,1,9:09.0,Turnover by W. Barton (lost ball; steal by K. Thompson),,3,7
30,1,9:05.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by K. Thompson),3,9
31,1,8:46.0,P. Millsap misses 3-pt jump shot from 26 ft,,3,9
32,1,8:44.0,,Defensive rebound by D. Green,3,9
33,1,8:39.0,,D. Cousins makes 2-pt layup from 3 ft (assist by D. Green),3,11
34,1,8:39.0,Denver full timeout,,3,11
35,1,8:33.0,Turnover by N. Jokić (out of bounds lost ball),,3,11
36,1,8:21.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),3,14
37,1,8:05.0,Turnover by J. Murray (bad pass; steal by K. Thompson),,3,14
38,1,8:00.0,,Shooting foul by P. Millsap (drawn by D. Green),3,14
39,1,8:00.0,,D. Green makes free throw 1 of 2,3,15
40,1,8:00.0,,D. Green misses free throw 2 of 2,3,15
41,1,7:58.0,,Offensive rebound by D. Cousins,3,15
