,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
0,1,11:37.0,,R. Rubio makes 2-pt jump shot from 10 ft,0,2
1,1,11:11.0,K. Walker misses 2-pt layup from 2 ft,,0,2
2,1,11:09.0,Offensive rebound by Team,,0,2
3,1,11:09.0,,Violation by Team (kicked ball),0,2
4,1,11:02.0,,Loose ball foul by D. Mitchell (drawn by D. Bacon),0,2
5,1,10:49.0,B. Biyombo misses 2-pt jump shot from 18 ft,,0,2
6,1,10:45.0,,Defensive rebound by J. Crowder,0,2
7,1,10:38.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),0,4
8,1,10:38.0,,Shooting foul by D. Bacon (drawn by R. Gobert),0,4
9,1,10:38.0,,R. Gobert makes free throw 1 of 1,0,5
10,1,10:27.0,K. Walker makes 2-pt jump shot from 10 ft,,2,5
11,1,10:15.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),2,7
12,1,9:55.0,B. Biyombo makes 2-pt hook shot from 4 ft (assist by K. Walker),,4,7
13,1,9:44.0,,J. Ingles misses 3-pt jump shot from 25 ft,4,7
14,1,9:41.0,Defensive rebound by D. Bacon,,4,7
15,1,9:32.0,D. Bacon makes 2-pt jump shot from 20 ft (assist by K. Walker),,6,7
16,1,9:10.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by J. Ingles),6,10
17,1,8:48.0,Personal foul by J. Ingles (drawn by M. Williams),,6,10
18,1,8:43.0,K. Walker makes 2-pt jump shot from 14 ft (assist by B. Biyombo),,8,10
19,1,8:23.0,,J. Crowder misses 3-pt jump shot from 25 ft,8,10
20,1,8:21.0,Defensive rebound by K. Walker,,8,10
21,1,8:14.0,Personal foul by R. Rubio (drawn by K. Walker),,8,10
22,1,8:01.0,K. Walker misses 3-pt jump shot from 25 ft,,8,10
23,1,7:58.0,,Defensive rebound by J. Ingles,8,10
24,1,7:52.0,,Shooting foul by M. Williams (drawn by R. Gobert),8,10
25,1,7:52.0,,R. Gobert misses free throw 1 of 2,8,10
26,1,7:52.0,,Offensive rebound by Team,8,10
27,1,7:52.0,,R. Gobert misses free throw 2 of 2,8,10
28,1,7:51.0,Defensive rebound by B. Biyombo,,8,10
29,1,7:41.0,D. Bacon misses 2-pt jump shot from 11 ft,,8,10
30,1,7:38.0,,Defensive rebound by J. Crowder,8,10
31,1,7:33.0,,R. Rubio misses 2-pt layup from 3 ft,8,10
32,1,7:31.0,Defensive rebound by K. Walker,,8,10
33,1,7:28.0,M. Williams misses 3-pt jump shot from 24 ft,,8,10
34,1,7:28.0,Offensive rebound by B. Biyombo,,8,10
35,1,7:24.0,B. Biyombo makes 2-pt layup from 1 ft,,10,10
36,1,7:06.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Gobert),10,13
37,1,6:52.0,K. Walker misses 3-pt jump shot from 25 ft,,10,13
38,1,6:49.0,,Defensive rebound by R. Gobert,10,13
39,1,6:33.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),10,15
40,1,6:32.0,Charlotte full timeout,,10,15
