,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
0,1,11:45.0,,W. Selden misses 3-pt jump shot from 23 ft,0,0
1,1,11:40.0,Defensive rebound by J. Layman,,0,0
2,1,11:27.0,A. Aminu makes 2-pt layup from 1 ft (assist by M. Harkless),,2,0
3,1,11:13.0,,S. Harrison makes 2-pt layup from 1 ft (assist by R. Lopez),2,2
4,1,10:46.0,A. Aminu misses 3-pt jump shot from 23 ft,,2,2
5,1,10:43.0,Offensive rebound by D. Lillard,,2,2
6,1,10:42.0,Personal foul by A. Blakeney (drawn by J. Layman),,2,2
7,1,10:36.0,Shooting foul by W. Selden (drawn by E. Freedom),,2,2
8,1,10:36.0,E. Freedom makes free throw 1 of 2,,3,2
9,1,10:36.0,E. Freedom misses free throw 2 of 2,,3,2
10,1,10:34.0,,Defensive rebound by W. Selden,3,2
11,1,10:15.0,,W. Selden misses 2-pt jump shot from 21 ft,3,2
12,1,10:12.0,Defensive rebound by D. Lillard,,3,2
13,1,10:03.0,Turnover by M. Harkless (bad pass; steal by W. Selden),,3,2
14,1,10:01.0,,Personal foul by M. Harkless (drawn by W. Selden),3,2
15,1,9:50.0,,A. Blakeney makes 2-pt jump shot from 7 ft (assist by R. Lopez),3,4
16,1,9:33.0,M. Harkless misses 3-pt jump shot from 26 ft,,3,4
17,1,9:33.0,Offensive rebound by Team,,3,4
18,1,9:33.0,,Loose ball foul by R. Lopez (drawn by E. Freedom),3,4
19,1,9:26.0,D. Lillard misses 3-pt jump shot from 27 ft,,3,4
20,1,9:20.0,,Defensive rebound by B. Sampson,3,4
21,1,9:09.0,,R. Lopez misses 2-pt hook shot from 5 ft,3,4
22,1,9:07.0,Defensive rebound by M. Harkless,,3,4
23,1,8:58.0,D. Lillard misses 2-pt layup from 2 ft,,3,4
24,1,8:56.0,,Defensive rebound by S. Harrison,3,4
25,1,8:49.0,,W. Selden misses 3-pt jump shot from 25 ft,3,4
26,1,8:45.0,Defensive rebound by A. Aminu,,3,4
27,1,8:38.0,Offensive foul by E. Freedom (drawn by B. Sampson),,3,4
28,1,8:38.0,Turnover by E. Freedom (offensive foul),,3,4
29,1,8:22.0,,R. Lopez misses 2-pt hook shot from 4 ft,3,4
30,1,8:20.0,Defensive rebound by A. Aminu,,3,4
31,1,8:10.0,E. Freedom makes 2-pt jump shot from 13 ft (assist by J. Layman),,5,4
32,1,7:48.0,,Shooting foul by J. Layman (drawn by A. Blakeney),5,4
33,1,7:48.0,,A. Blakeney makes free throw 1 of 2,5,5
34,1,7:48.0,,A. Blakeney misses free throw 2 of 2,5,5
35,1,7:46.0,Defensive rebound by E. Freedom,,5,5
36,1,7:31.0,M. Harkless misses 2-pt hook shot from 3 ft,,5,5
37,1,7:30.0,Offensive rebound by M. Harkless,,5,5
38,1,7:28.0,M. Harkless makes 2-pt layup from 2 ft,,7,5
39,1,7:15.0,,S. Harrison misses 2-pt layup from 2 ft,7,5
40,1,7:13.0,Defensive rebound by D. Lillard,,7,5
41,1,7:04.0,E. Freedom misses 2-pt layup from 1 ft,,7,5
42,1,7:01.0,Offensive rebound by M. Harkless,,7,5
43,1,6:50.0,M. Harkless misses 2-pt jump shot from 19 ft,,7,5
44,1,6:48.0,Offensive rebound by J. Layman,,7,5
