,QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,Turnover by D. Smith (lost ball; steal by R. Gay),,0,0
1,1,11:30.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),0,2
2,1,11:15.0,W. Matthews makes 2-pt jump shot from 9 ft (assist by D. Jordan),,2,2
3,1,10:54.0,,L. Aldridge misses 2-pt jump shot from 16 ft,2,2
4,1,10:51.0,Defensive rebound by H. Barnes,,2,2
5,1,10:46.0,H. Barnes misses 2-pt jump shot from 17 ft,,2,2
6,1,10:42.0,,Defensive rebound by R. Gay,2,2
7,1,10:35.0,,B. Forbes makes 2-pt jump shot from 21 ft (assist by L. Aldridge),2,4
8,1,10:11.0,W. Matthews misses 2-pt layup from 2 ft,,2,4
9,1,10:09.0,,Defensive rebound by R. Gay,2,4
10,1,10:00.0,,L. Aldridge misses 2-pt jump shot from 21 ft,2,4
11,1,9:57.0,Defensive rebound by D. Jordan,,2,4
12,1,9:49.0,Offensive foul by D. Jordan (drawn by D. Cunningham),,2,4
13,1,9:49.0,Turnover by D. Jordan (offensive foul),,2,4
14,1,9:29.0,,D. DeRozan misses 2-pt jump shot from 14 ft,2,4
15,1,9:26.0,Defensive rebound by D. Jordan,,2,4
16,1,9:18.0,D. Smith makes 2-pt jump shot from 16 ft,,4,4
17,1,8:58.0,,Turnover by R. Gay (lost ball; steal by D. Smith),4,4
18,1,8:50.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Smith),,7,4
19,1,8:27.0,,B. Forbes makes 2-pt layup from 1 ft (assist by D. DeRozan),7,6
20,1,8:11.0,L. Dončić makes 2-pt jump shot from 9 ft,,9,6
21,1,7:59.0,,B. Forbes misses 2-pt jump shot from 18 ft,9,6
22,1,7:56.0,Defensive rebound by D. Jordan,,9,6
23,1,7:49.0,W. Matthews misses 2-pt jump shot from 15 ft,,9,6
24,1,7:45.0,,Defensive rebound by Team,9,6
25,1,7:29.0,,L. Aldridge makes 2-pt hook shot from 4 ft,9,8
26,1,7:17.0,Turnover by L. Dončić (traveling),,9,8
27,1,6:57.0,,Shooting foul by W. Matthews (drawn by D. DeRozan),9,8
28,1,6:57.0,,San Antonio full timeout,9,8
29,1,6:57.0,,D. DeRozan makes free throw 1 of 2,9,9
30,1,6:57.0,,D. DeRozan makes free throw 2 of 2,9,10
31,1,6:38.0,H. Barnes misses 2-pt jump shot from 14 ft,,9,10
32,1,6:36.0,,Defensive rebound by D. Cunningham,9,10
33,1,6:29.0,,Shooting foul by H. Barnes (drawn by D. DeRozan),9,10
34,1,6:29.0,,D. DeRozan makes free throw 1 of 2,9,11
35,1,6:29.0,D. Finney-Smith enters the game for H. Barnes,,9,11
36,1,6:29.0,,P. Mills enters the game for B. Forbes,9,11
37,1,6:29.0,,D. DeRozan makes free throw 2 of 2,9,12
38,1,6:16.0,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by W. Matthews),,12,12
39,1,6:01.0,,P. Mills misses 2-pt jump shot from 20 ft,12,12
40,1,5:59.0,Defensive rebound by L. Dončić,,12,12
41,1,5:49.0,L. Dončić makes 2-pt jump shot from 13 ft,,14,12
42,1,5:28.0,,Turnover by L. Aldridge (lost ball; steal by L. Dončić),14,12
43,1,5:25.0,D. Smith makes 2-pt layup from 3 ft,,16,12
44,1,5:25.0,,Violation by Team (def goaltending),16,12
45,1,5:10.0,,R. Gay misses 2-pt jump shot from 3 ft,16,12
46,1,5:08.0,Defensive rebound by D. Jordan,,16,12
47,1,5:05.0,Turnover by L. Dončić (bad pass; steal by R. Gay),,16,12
48,1,5:04.0,,Personal foul by D. Smith (drawn by R. Gay),16,12
49,1,5:04.0,J. Barea enters the game for D. Smith,,16,12
50,1,5:04.0,,M. Belinelli enters the game for R. Gay,16,12
51,1,4:53.0,,L. Aldridge misses 2-pt jump shot from 10 ft,16,12
52,1,4:51.0,Defensive rebound by D. Jordan,,16,12
53,1,4:38.0,W. Matthews misses 3-pt jump shot from 26 ft,,16,12
54,1,4:36.0,,Defensive rebound by P. Mills,16,12
55,1,4:31.0,,Turnover by P. Mills (bad pass; steal by D. Finney-Smith),16,12
56,1,4:22.0,Turnover by D. Jordan (bad pass; steal by D. Cunningham),,16,12
57,1,4:11.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by D. Cunningham),16,14
58,1,4:10.0,Dallas full timeout,,16,14
59,1,4:10.0,,P. Gasol enters the game for L. Aldridge,16,14
60,1,4:10.0,,R. Gay enters the game for D. Cunningham,16,14
61,1,4:10.0,,Q. Pondexter enters the game for D. DeRozan,16,14
62,1,3:55.0,D. Jordan misses 2-pt dunk at rim,,16,14
63,1,3:55.0,Offensive rebound by J. Barea,,16,14
64,1,3:48.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,16,14
65,1,3:48.0,,Defensive rebound by Q. Pondexter,16,14
66,1,3:29.0,,M. Belinelli makes 2-pt jump shot from 23 ft (assist by P. Gasol),16,16
67,1,3:13.0,Turnover by J. Barea (bad pass; steal by Q. Pondexter),,16,16
68,1,3:04.0,,M. Belinelli misses 3-pt jump shot from 26 ft,16,16
69,1,3:00.0,Defensive rebound by D. Jordan,,16,16
70,1,2:41.0,D. Jordan misses 2-pt hook shot from 2 ft (block by P. Gasol),,16,16
71,1,2:41.0,Offensive rebound by Team,,16,16
72,1,2:41.0,Turnover by Team (shot clock),,16,16
73,1,2:41.0,H. Barnes enters the game for L. Dončić,,16,16
74,1,2:41.0,J. Brunson enters the game for D. Jordan,,16,16
75,1,2:41.0,D. Powell enters the game for W. Matthews,,16,16
76,1,2:26.0,,Turnover by R. Gay (out of bounds lost ball),16,16
77,1,2:02.0,H. Barnes misses 3-pt jump shot from 27 ft,,16,16
78,1,2:01.0,,Defensive rebound by Q. Pondexter,16,16
79,1,1:53.0,,Loose ball foul by P. Gasol (drawn by D. Powell),16,16
80,1,1:53.0,,Turnover by P. Gasol (turnover),16,16
81,1,1:36.0,J. Barea misses 2-pt jump shot from 18 ft,,16,16
82,1,1:32.0,,Defensive rebound by R. Gay,16,16
83,1,1:24.0,,R. Gay makes 2-pt dunk at rim (assist by P. Gasol),16,18
84,1,0:59.0,D. Finney-Smith misses 2-pt layup from 2 ft (block by P. Gasol),,16,18
85,1,0:55.0,,Defensive rebound by M. Belinelli,16,18
86,1,0:53.0,Violation by Team (kicked ball),,16,18
87,1,0:53.0,M. Kleber enters the game for D. Finney-Smith,,16,18
88,1,0:49.0,,M. Belinelli misses 2-pt jump shot from 15 ft,16,18
89,1,0:47.0,Defensive rebound by D. Powell,,16,18
90,1,0:40.0,H. Barnes makes 2-pt layup from 2 ft,,18,18
91,1,0:40.0,Shooting foul by Q. Pondexter (drawn by H. Barnes),,18,18
92,1,0:40.0,H. Barnes misses free throw 1 of 1,,18,18
93,1,0:40.0,,Defensive rebound by R. Gay,18,18
94,1,0:36.0,,Turnover by R. Gay (bad pass; steal by J. Barea),18,18
95,1,0:32.0,M. Kleber misses 3-pt jump shot from 26 ft,,18,18
96,1,0:30.0,,Defensive rebound by Q. Pondexter,18,18
97,1,0:15.0,,Q. Pondexter makes 2-pt layup from 1 ft (assist by R. Gay),18,20
98,1,0:03.0,Offensive foul by H. Barnes (drawn by P. Mills),,18,20
99,1,0:03.0,Turnover by H. Barnes (offensive foul),,18,20
100,1,0:00.0,,Turnover by P. Gasol (lost ball; steal by D. Powell),18,20
101,2,11:49.0,,R. Gay makes 2-pt jump shot from 20 ft,18,22
102,2,11:29.0,J. Barea makes 2-pt layup from 3 ft (assist by J. Brunson),,20,22
103,2,11:17.0,,Personal foul by J. Brunson (drawn by M. Belinelli),20,22
104,2,11:17.0,,D. Cunningham enters the game for R. Gay,20,22
105,2,11:17.0,,D. DeRozan enters the game for Q. Pondexter,20,22
106,2,11:13.0,,P. Mills misses 2-pt jump shot from 18 ft,20,22
107,2,11:08.0,Defensive rebound by J. Barea,,20,22
108,2,11:00.0,J. Brunson misses 3-pt jump shot from 24 ft,,20,22
109,2,10:57.0,,Defensive rebound by D. Cunningham,20,22
110,2,10:50.0,,Personal foul by D. Powell (drawn by D. DeRozan),20,22
111,2,10:50.0,,B. Forbes enters the game for P. Mills,20,22
112,2,10:41.0,,M. Belinelli makes 2-pt layup from 2 ft (assist by D. DeRozan),20,24
113,2,10:41.0,,Shooting foul by M. Kleber (drawn by M. Belinelli),20,24
114,2,10:41.0,,L. Aldridge enters the game for D. Cunningham,20,24
115,2,10:41.0,,M. Belinelli makes free throw 1 of 1,20,25
116,2,10:30.0,J. Barea misses 2-pt jump shot from 13 ft,,20,25
117,2,10:28.0,,Defensive rebound by P. Gasol,20,25
118,2,10:13.0,,M. Belinelli misses 2-pt jump shot from 13 ft,20,25
