,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
0,1,11:44.0,T. Harris makes 2-pt jump shot from 22 ft (assist by M. Gortat),,2,0
1,1,11:23.0,,T. Prince misses 3-pt jump shot from 26 ft,2,0
2,1,11:21.0,Defensive rebound by T. Harris,,2,0
3,1,11:14.0,T. Harris misses 2-pt layup from 3 ft,,2,0
4,1,11:10.0,Offensive rebound by M. Gortat,,2,0
5,1,11:09.0,M. Gortat misses 2-pt layup from 2 ft,,2,0
6,1,11:07.0,,Defensive rebound by A. Len,2,0
7,1,10:59.0,,T. Young makes 2-pt layup from 1 ft,2,2
8,1,10:43.0,T. Harris makes 3-pt jump shot from 25 ft (assist by M. Gortat),,5,2
9,1,10:28.0,,A. Len makes 2-pt layup from 2 ft (assist by T. Young),5,4
10,1,10:14.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,7,4
11,1,10:03.0,,T. Young makes 2-pt layup from 1 ft,7,6
12,1,9:51.0,M. Gortat misses 2-pt layup from 2 ft (block by K. Bazemore),,7,6
13,1,9:51.0,,Defensive rebound by Team,7,6
14,1,9:40.0,,Turnover by K. Bazemore (bad pass; steal by A. Bradley),7,6
15,1,9:38.0,Turnover by P. Beverley (traveling),,7,6
16,1,9:28.0,,Turnover by K. Bazemore (bad pass; steal by S. Gilgeous-Alexander),7,6
17,1,9:23.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,7,6
18,1,9:21.0,Offensive rebound by P. Beverley,,7,6
19,1,9:17.0,M. Gortat misses 2-pt dunk from 2 ft,,7,6
20,1,9:17.0,,Defensive rebound by A. Len,7,6
21,1,9:09.0,,A. Len misses 2-pt jump shot from 22 ft,7,6
22,1,9:06.0,Defensive rebound by M. Gortat,,7,6
23,1,8:52.0,P. Beverley makes 2-pt jump shot from 21 ft,,9,6
24,1,8:36.0,,Turnover by A. Len (3 sec),9,6
25,1,8:25.0,T. Harris makes 2-pt jump shot from 20 ft,,11,6
26,1,8:16.0,,Turnover by T. Young (bad pass; steal by T. Harris),11,6
27,1,8:05.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,13,6
