,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:40.0,T. Bryant misses 2-pt layup from 1 ft (block by J. Harris),,0,0
1,1,11:40.0,Offensive rebound by Team,,0,0
2,1,11:37.0,B. Beal misses 2-pt jump shot from 16 ft,,0,0
3,1,11:33.0,,Defensive rebound by R. Kurucs,0,0
4,1,11:16.0,,R. Kurucs makes 2-pt jump shot from 4 ft,0,2
5,1,11:03.0,Turnover by J. Wall (bad pass; steal by J. Allen),,0,2
6,1,10:59.0,,D. Russell makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),0,5
7,1,10:43.0,T. Satoranský misses 2-pt jump shot from 15 ft,,0,5
8,1,10:39.0,,Defensive rebound by J. Allen,0,5
9,1,10:22.0,,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,0,5
10,1,10:19.0,,Offensive rebound by R. Kurucs,0,5
11,1,10:17.0,,R. Kurucs makes 2-pt layup from 1 ft,0,7
12,1,10:04.0,T. Bryant makes 2-pt layup from 3 ft (assist by J. Wall),,2,7
13,1,10:04.0,Shooting foul by D. Russell (drawn by T. Bryant),,2,7
14,1,10:04.0,T. Bryant misses free throw 1 of 1,,2,7
15,1,10:04.0,,Defensive rebound by R. Hollis-Jefferson,2,7
16,1,9:53.0,,J. Harris makes 2-pt layup from 1 ft (assist by J. Allen),2,9
17,1,9:42.0,J. Wall misses 2-pt jump shot from 20 ft,,2,9
18,1,9:42.0,,Defensive rebound by R. Kurucs,2,9
19,1,9:34.0,,R. Kurucs misses 2-pt layup from 1 ft (block by T. Bryant),2,9
20,1,9:34.0,Defensive rebound by Team,,2,9
21,1,9:30.0,J. Green makes 2-pt layup from 1 ft (assist by J. Wall),,4,9
22,1,9:30.0,Shooting foul by J. Allen (drawn by J. Green),,4,9
23,1,9:30.0,J. Green makes free throw 1 of 1,,5,9
24,1,9:10.0,,Turnover by D. Russell (bad pass; steal by J. Green),5,9
25,1,9:06.0,B. Beal misses 2-pt layup at rim,,5,9
26,1,9:05.0,,Defensive rebound by Team,5,9
27,1,8:47.0,,D. Russell misses 2-pt jump shot from 3 ft,5,9
