,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
0,1,11:46.0,,D. Dedmon misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,,Offensive rebound by T. Young,0,0
2,1,11:40.0,,T. Young misses 2-pt layup from 1 ft,0,0
3,1,11:37.0,,Offensive rebound by D. Dedmon,0,0
4,1,11:37.0,,D. Dedmon misses 2-pt layup from 1 ft,0,0
5,1,11:36.0,,Offensive rebound by D. Dedmon,0,0
6,1,11:35.0,,D. Dedmon makes 2-pt layup from 1 ft,0,2
7,1,11:22.0,O. Porter misses 2-pt jump shot from 21 ft,,0,2
8,1,11:18.0,,Defensive rebound by D. Dedmon,0,2
9,1,11:11.0,,J. Collins makes 2-pt jump shot from 15 ft (assist by K. Bazemore),0,4
10,1,11:02.0,B. Beal makes 2-pt layup from 2 ft,,2,4
11,1,10:53.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),2,6
12,1,10:40.0,T. Bryant makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,5,6
13,1,10:26.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by K. Huerter),5,8
14,1,10:13.0,B. Beal misses 2-pt layup from 1 ft (block by K. Bazemore),,5,8
15,1,10:11.0,,Defensive rebound by K. Huerter,5,8
16,1,10:08.0,,K. Huerter misses 2-pt layup from 2 ft,5,8
17,1,10:06.0,,Offensive rebound by J. Collins,5,8
18,1,10:02.0,,Shooting foul by T. Bryant (drawn by D. Dedmon),5,8
19,1,10:02.0,,D. Dedmon misses free throw 1 of 2,5,8
20,1,10:02.0,,Offensive rebound by Team,5,8
21,1,10:02.0,,D. Dedmon makes free throw 2 of 2,5,9
22,1,9:44.0,O. Porter makes 2-pt hook shot from 4 ft (assist by A. Rivers),,7,9
23,1,9:20.0,,K. Huerter misses 3-pt jump shot from 26 ft,7,9
24,1,9:16.0,Defensive rebound by A. Rivers,,7,9
25,1,9:10.0,A. Rivers misses 2-pt layup from 1 ft,,7,9
26,1,9:06.0,Offensive rebound by O. Porter,,7,9
27,1,9:04.0,O. Porter misses 2-pt layup from 2 ft,,7,9
28,1,9:02.0,,Defensive rebound by J. Collins,7,9
29,1,8:56.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by K. Bazemore),7,12
30,1,8:44.0,T. Satoranský makes 2-pt jump shot from 21 ft,,9,12
31,1,8:35.0,,Personal foul by A. Rivers (drawn by T. Young),9,12
32,1,8:31.0,,D. Dedmon misses 3-pt jump shot from 25 ft,9,12
33,1,8:28.0,Defensive rebound by A. Rivers,,9,12
34,1,8:13.0,O. Porter makes 2-pt jump shot from 17 ft (assist by B. Beal),,11,12
35,1,8:05.0,,Turnover by J. Collins (offensive foul),11,12
36,1,8:05.0,,Offensive foul by J. Collins (drawn by O. Porter),11,12
37,1,7:49.0,T. Bryant misses 2-pt jump shot from 8 ft,,11,12
38,1,7:47.0,Offensive rebound by T. Bryant,,11,12
39,1,7:47.0,T. Bryant makes 2-pt dunk from 2 ft,,13,12
40,1,7:47.0,Shooting foul by K. Bazemore (drawn by T. Bryant),,13,12
41,1,7:47.0,T. Bryant makes free throw 1 of 1,,14,12
42,1,7:39.0,,D. Dedmon misses 3-pt jump shot from 26 ft,14,12
43,1,7:34.0,,Offensive rebound by J. Collins,14,12
44,1,7:30.0,,D. Dedmon misses 2-pt jump shot from 9 ft,14,12
45,1,7:25.0,,Offensive rebound by J. Collins,14,12
46,1,7:25.0,,Personal foul by O. Porter (drawn by D. Dedmon),14,12
47,1,7:21.0,,J. Collins misses 3-pt jump shot from 25 ft,14,12
48,1,7:17.0,Defensive rebound by T. Bryant,,14,12
49,1,7:12.0,O. Porter makes 2-pt layup from 1 ft (assist by T. Satoranský),,16,12
50,1,6:58.0,,K. Huerter makes 3-pt jump shot from 22 ft (assist by T. Young),16,15
51,1,6:48.0,Personal foul by K. Huerter (drawn by T. Satoranský),,16,15
52,1,6:48.0,,Atlanta full timeout,16,15
53,1,6:48.0,,D. Bembry enters the game for K. Bazemore,16,15
54,1,6:48.0,,A. Len enters the game for D. Dedmon,16,15
55,1,6:34.0,T. Bryant misses 2-pt hook shot from 3 ft,,16,15
56,1,6:31.0,,Defensive rebound by J. Collins,16,15
57,1,6:28.0,,T. Young misses 2-pt jump shot from 12 ft,16,15
58,1,6:23.0,Defensive rebound by A. Rivers,,16,15
59,1,6:17.0,B. Beal makes 2-pt jump shot from 16 ft,,18,15
60,1,5:54.0,,J. Collins makes 2-pt layup from 2 ft (assist by D. Bembry),18,17
61,1,5:41.0,B. Beal misses 2-pt layup from 2 ft,,18,17
62,1,5:40.0,Offensive rebound by T. Bryant,,18,17
63,1,5:40.0,Shooting foul by A. Len (drawn by T. Bryant),,18,17
64,1,5:40.0,T. Bryant makes free throw 1 of 2,,19,17
65,1,5:40.0,M. Morris enters the game for O. Porter,,19,17
66,1,5:40.0,,V. Carter enters the game for J. Collins,19,17
67,1,5:40.0,,J. Lin enters the game for T. Young,19,17
68,1,5:40.0,T. Bryant makes free throw 2 of 2,,20,17
69,1,5:33.0,,A. Len misses 2-pt layup from 7 ft (block by T. Satoranský),20,17
70,1,5:30.0,Defensive rebound by Team,,20,17
71,1,5:15.0,A. Rivers misses 3-pt jump shot from 23 ft,,20,17
72,1,5:12.0,,Defensive rebound by K. Huerter,20,17
73,1,5:03.0,,D. Bembry makes 2-pt layup from 1 ft,20,19
74,1,4:51.0,B. Beal makes 2-pt jump shot from 11 ft (assist by T. Bryant),,22,19
75,1,4:38.0,,J. Lin makes 2-pt layup from 1 ft (assist by V. Carter),22,21
76,1,4:23.0,B. Beal makes 2-pt layup from 1 ft,,24,21
77,1,4:01.0,,A. Len misses 2-pt layup from 3 ft,24,21
78,1,3:58.0,Defensive rebound by T. Bryant,,24,21
79,1,3:52.0,T. Bryant misses 3-pt jump shot from 25 ft,,24,21
80,1,3:50.0,,Defensive rebound by Team,24,21
81,1,3:50.0,T. Brown enters the game for T. Bryant,,24,21
82,1,3:50.0,K. Oubre enters the game for T. Satoranský,,24,21
83,1,3:50.0,,K. Bazemore enters the game for K. Huerter,24,21
84,1,3:34.0,,K. Bazemore misses 3-pt jump shot from 23 ft,24,21
85,1,3:30.0,Defensive rebound by K. Oubre,,24,21
86,1,3:17.0,T. Brown makes 2-pt layup from 3 ft (assist by B. Beal),,26,21
87,1,3:15.0,,Atlanta full timeout,26,21
88,1,3:03.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Lin),26,23
89,1,2:48.0,M. Morris misses 3-pt jump shot from 25 ft,,26,23
90,1,2:44.0,Offensive rebound by T. Brown,,26,23
91,1,2:43.0,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Brown),,29,23
92,1,2:27.0,,K. Bazemore misses 3-pt jump shot from 25 ft,29,23
93,1,2:26.0,Defensive rebound by Team,,29,23
94,1,2:12.0,A. Rivers misses 2-pt layup from 2 ft,,29,23
95,1,2:10.0,,Defensive rebound by A. Len,29,23
96,1,2:07.0,,K. Bazemore misses 3-pt jump shot from 23 ft,29,23
97,1,2:04.0,Defensive rebound by T. Brown,,29,23
98,1,1:50.0,M. Morris misses 2-pt hook shot from 10 ft,,29,23
99,1,1:46.0,,Defensive rebound by J. Lin,29,23
100,1,1:42.0,,Shooting foul by M. Morris (drawn by K. Bazemore),29,23
101,1,1:42.0,,K. Bazemore makes free throw 1 of 2,29,24
102,1,1:42.0,,T. Young enters the game for J. Lin,29,24
103,1,1:42.0,,K. Bazemore makes free throw 2 of 2,29,25
104,1,1:29.0,Personal foul by T. Young (drawn by K. Oubre),,29,25
105,1,1:29.0,O. Porter enters the game for B. Beal,,29,25
106,1,1:17.0,Turnover by K. Oubre (lost ball; steal by T. Young),,29,25
107,1,1:11.0,,D. Bembry misses 2-pt layup from 2 ft,29,25
108,1,1:08.0,Defensive rebound by A. Rivers,,29,25
109,1,1:03.0,Shooting foul by A. Len (drawn by A. Rivers),,29,25
110,1,1:03.0,A. Rivers makes free throw 1 of 2,,30,25
111,1,1:03.0,,T. Dorsey enters the game for D. Bembry,30,25
112,1,1:03.0,,M. Plumlee enters the game for A. Len,30,25
113,1,1:03.0,A. Rivers makes free throw 2 of 2,,31,25
114,1,0:48.0,,M. Plumlee misses 2-pt hook shot from 11 ft,31,25
115,1,0:45.0,Defensive rebound by O. Porter,,31,25
116,1,0:38.0,Turnover by A. Rivers (lost ball; steal by V. Carter),,31,25
117,1,0:31.0,,T. Young misses 3-pt jump shot from 27 ft,31,25
118,1,0:26.0,Defensive rebound by T. Brown,,31,25
119,1,0:09.0,O. Porter misses 3-pt jump shot from 25 ft,,31,25
120,1,0:06.0,Offensive rebound by A. Rivers,,31,25
121,1,0:03.0,T. Brown makes 2-pt jump shot from 11 ft (assist by A. Rivers),,33,25
122,1,0:00.0,,K. Bazemore misses 3-pt jump shot from 46 ft,33,25
123,1,0:00.0,,Offensive rebound by Team,33,25
124,2,11:45.0,Shooting foul by J. Collins (drawn by K. Oubre),,33,25
125,2,11:45.0,K. Oubre makes free throw 1 of 2,,34,25
126,2,11:45.0,K. Oubre makes free throw 2 of 2,,35,25
127,2,11:33.0,,T. Young misses 2-pt jump shot from 12 ft,35,25
128,2,11:29.0,Defensive rebound by K. Oubre,,35,25
129,2,11:19.0,Turnover by O. Porter (bad pass; steal by T. Young),,35,25
130,2,11:16.0,,Turnover by M. Plumlee (out of bounds lost ball),35,25
131,2,11:07.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by M. Morris),,38,25
132,2,10:48.0,,Personal foul by M. Morris (drawn by T. Young),38,25
133,2,10:48.0,J. Smith enters the game for M. Morris,,38,25
134,2,10:35.0,,Turnover by K. Huerter (out of bounds lost ball),38,25
135,2,10:25.0,J. Smith misses 2-pt layup from 2 ft (block by M. Plumlee),,38,25
136,2,10:22.0,,Defensive rebound by J. Collins,38,25
137,2,10:20.0,,T. Dorsey makes 3-pt jump shot from 26 ft (assist by T. Young),38,28
138,2,10:01.0,Shooting foul by T. Young (drawn by T. Satoranský),,38,28
139,2,10:01.0,T. Satoranský makes free throw 1 of 2,,39,28
140,2,10:01.0,T. Satoranský makes free throw 2 of 2,,40,28
141,2,9:44.0,,Turnover by M. Plumlee (bad pass; steal by T. Brown),40,28
142,2,9:39.0,T. Brown misses 2-pt jump shot from 18 ft,,40,28
143,2,9:35.0,,Defensive rebound by M. Plumlee,40,28
144,2,9:33.0,,T. Young makes 3-pt jump shot from 28 ft (assist by M. Plumlee),40,31
145,2,9:31.0,Washington full timeout,,40,31
146,2,9:31.0,B. Beal enters the game for T. Brown,,40,31
147,2,9:31.0,,D. Dedmon enters the game for M. Plumlee,40,31
148,2,9:14.0,O. Porter misses 3-pt jump shot from 25 ft,,40,31
149,2,9:10.0,,Defensive rebound by D. Dedmon,40,31
150,2,9:07.0,,Shooting foul by J. Smith (drawn by T. Young),40,31
151,2,9:07.0,,T. Young makes free throw 1 of 2,40,32
152,2,9:07.0,,D. Bembry enters the game for K. Huerter,40,32
153,2,9:07.0,,T. Young makes free throw 2 of 2,40,33
154,2,8:58.0,B. Beal misses 2-pt jump shot from 20 ft,,40,33
155,2,8:51.0,,Defensive rebound by J. Collins,40,33
156,2,8:37.0,,J. Collins misses 2-pt layup from 1 ft,40,33
