,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
0,1,11:47.0,W. Chandler misses 2-pt layup from 2 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. Favors,0,0
2,1,11:31.0,,J. Ingles misses 2-pt layup from 2 ft,0,0
3,1,11:30.0,,Offensive rebound by R. Gobert,0,0
4,1,11:30.0,,R. Gobert misses 2-pt layup from 1 ft,0,0
5,1,11:30.0,,Offensive rebound by R. Gobert,0,0
6,1,11:30.0,,Shooting foul by W. Chandler (drawn by R. Gobert),0,0
7,1,11:30.0,,Violation by Team (delay of game),0,0
8,1,11:30.0,,R. Gobert makes free throw 1 of 2,0,1
9,1,11:30.0,,R. Gobert makes free throw 2 of 2,0,2
10,1,11:16.0,J. Embiid misses 2-pt hook shot from 8 ft,,0,2
11,1,11:14.0,,Defensive rebound by D. Favors,0,2
12,1,10:58.0,,R. Gobert misses 2-pt layup from 4 ft,0,2
13,1,10:55.0,Defensive rebound by B. Simmons,,0,2
14,1,10:53.0,J. Redick misses 3-pt jump shot from 24 ft,,0,2
15,1,10:51.0,,Defensive rebound by D. Favors,0,2
16,1,10:42.0,,D. Mitchell makes 2-pt layup from 1 ft,0,4
17,1,10:34.0,B. Simmons misses 2-pt layup from 2 ft (block by D. Favors),,0,4
18,1,10:31.0,,Defensive rebound by D. Favors,0,4
19,1,10:28.0,,D. Mitchell misses 3-pt jump shot from 27 ft,0,4
20,1,10:25.0,Defensive rebound by B. Simmons,,0,4
21,1,10:19.0,B. Simmons misses 2-pt layup from 4 ft,,0,4
22,1,10:16.0,Offensive rebound by B. Simmons,,0,4
23,1,10:05.0,W. Chandler misses 3-pt jump shot from 25 ft,,0,4
24,1,10:01.0,,Defensive rebound by R. Gobert,0,4
25,1,9:58.0,,D. Mitchell misses 2-pt jump shot from 15 ft,0,4
26,1,9:54.0,Defensive rebound by J. Embiid,,0,4
27,1,9:48.0,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),,2,4
28,1,9:27.0,,J. Ingles misses 2-pt jump shot from 7 ft,2,4
29,1,9:27.0,Defensive rebound by J. Embiid,,2,4
30,1,9:27.0,Personal foul by J. Ingles (drawn by J. Embiid),,2,4
31,1,9:17.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Embiid),,5,4
32,1,8:54.0,,Shooting foul by J. Butler (drawn by R. Gobert),5,4
33,1,8:54.0,,R. Gobert makes free throw 1 of 2,5,5
34,1,8:54.0,,R. Gobert makes free throw 2 of 2,5,6
35,1,8:46.0,J. Embiid misses 3-pt jump shot from 25 ft,,5,6
36,1,8:45.0,,Defensive rebound by Team,5,6
37,1,8:34.0,,D. Favors misses 3-pt jump shot from 23 ft,5,6
38,1,8:30.0,Defensive rebound by J. Redick,,5,6
39,1,8:26.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,7,6
40,1,8:07.0,,R. Rubio misses 2-pt jump shot from 19 ft,7,6
41,1,8:05.0,Defensive rebound by J. Embiid,,7,6
42,1,7:43.0,B. Simmons misses 2-pt hook shot from 9 ft,,7,6
43,1,7:40.0,,Defensive rebound by R. Gobert,7,6
44,1,7:39.0,,Personal foul by J. Redick (drawn by D. Favors),7,6
45,1,7:33.0,,J. Ingles misses 3-pt jump shot from 25 ft,7,6
46,1,7:28.0,Defensive rebound by B. Simmons,,7,6
47,1,7:20.0,J. Embiid misses 2-pt layup from 2 ft,,7,6
48,1,7:17.0,,Defensive rebound by R. Rubio,7,6
49,1,7:13.0,,Shooting foul by B. Simmons (drawn by D. Favors),7,6
50,1,7:13.0,,D. Favors misses free throw 1 of 2,7,6
51,1,7:13.0,,Offensive rebound by Team,7,6
52,1,7:13.0,T. McConnell enters the game for W. Chandler,,7,6
53,1,7:13.0,M. Muscala enters the game for J. Embiid,,7,6
54,1,7:13.0,L. Shamet enters the game for J. Redick,,7,6
55,1,7:13.0,,K. Korver enters the game for J. Ingles,7,6
56,1,7:13.0,,D. Favors makes free throw 2 of 2,7,7
57,1,6:58.0,B. Simmons misses 2-pt hook shot from 4 ft,,7,7
58,1,6:56.0,,Defensive rebound by R. Gobert,7,7
59,1,6:41.0,,K. Korver makes 2-pt jump shot from 3 ft (assist by D. Mitchell),7,9
60,1,6:26.0,J. Butler misses 2-pt jump shot from 12 ft,,7,9
61,1,6:23.0,Offensive rebound by B. Simmons,,7,9
62,1,6:23.0,B. Simmons makes 2-pt dunk at rim,,9,9
63,1,6:03.0,,K. Korver misses 3-pt jump shot from 29 ft,9,9
64,1,6:00.0,,Offensive rebound by R. Gobert,9,9
65,1,5:59.0,,R. Gobert makes 2-pt layup from 2 ft,9,11
66,1,5:46.0,L. Shamet misses 3-pt jump shot from 25 ft,,9,11
67,1,5:45.0,,Defensive rebound by D. Favors,9,11
