,QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
0,1,11:43.0,,C. Paul misses 2-pt jump shot from 5 ft,0,0
1,1,11:42.0,,Offensive rebound by C. Capela,0,0
2,1,11:41.0,,Shooting foul by B. Adebayo (drawn by C. Capela),0,0
3,1,11:41.0,,C. Capela makes free throw 1 of 2,0,1
4,1,11:41.0,,C. Capela makes free throw 2 of 2,0,2
5,1,11:26.0,B. Adebayo misses 2-pt hook shot from 11 ft,,0,2
6,1,11:25.0,,Defensive rebound by C. Capela,0,2
7,1,11:19.0,,J. Harden misses 2-pt layup from 5 ft,0,2
8,1,11:17.0,Defensive rebound by Team,,0,2
9,1,11:06.0,K. Olynyk misses 2-pt hook shot from 7 ft,,0,2
10,1,11:05.0,,Defensive rebound by C. Capela,0,2
11,1,11:00.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by J. Harden),0,5
12,1,10:42.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,3,5
13,1,10:27.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by J. Harden),3,8
14,1,10:14.0,Personal foul by J. Harden (drawn by K. Olynyk),,3,8
15,1,10:01.0,B. Adebayo makes 2-pt layup at rim,,5,8
16,1,9:40.0,,Turnover by C. Capela (lost ball; steal by J. Richardson),5,8
17,1,9:36.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by D. Waiters),,8,8
18,1,9:22.0,,J. Harden misses 3-pt jump shot from 24 ft,8,8
19,1,9:22.0,Defensive rebound by B. Adebayo,,8,8
20,1,9:10.0,D. Waiters makes 2-pt layup from 1 ft,,10,8
21,1,8:58.0,,J. Harden makes 2-pt jump shot from 7 ft,10,10
22,1,8:39.0,J. Richardson makes 2-pt jump shot from 16 ft (assist by B. Adebayo),,12,10
23,1,8:13.0,,G. Clark misses 3-pt jump shot from 23 ft,12,10
24,1,8:13.0,,Offensive rebound by Team,12,10
25,1,8:13.0,,Turnover by Team (shot clock),12,10
26,1,8:00.0,J. Winslow misses 2-pt layup from 1 ft,,12,10
27,1,7:58.0,Offensive rebound by J. Winslow,,12,10
28,1,7:56.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Winslow),,15,10
29,1,7:45.0,,C. Paul makes 2-pt jump shot from 17 ft,15,12
30,1,7:34.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Winslow),,17,12
31,1,7:18.0,,Shooting foul by J. Winslow (drawn by J. Harden),17,12
32,1,7:18.0,,J. Harden makes free throw 1 of 2,17,13
33,1,7:18.0,,J. Harden makes free throw 2 of 2,17,14
34,1,7:02.0,J. Winslow makes 2-pt layup from 1 ft,,19,14
35,1,6:44.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),19,17
36,1,6:24.0,B. Adebayo misses 2-pt hook shot from 7 ft,,19,17
37,1,6:23.0,,Defensive rebound by C. Capela,19,17
38,1,6:13.0,,J. Harden makes 3-pt jump shot from 25 ft,19,20
39,1,5:54.0,Turnover by J. Winslow (bad pass; steal by J. Harden),,19,20
40,1,5:46.0,,G. Clark misses 3-pt jump shot from 25 ft,19,20
41,1,5:43.0,,Offensive rebound by C. Paul,19,20
42,1,5:40.0,,G. Clark makes 3-pt jump shot from 25 ft (assist by C. Paul),19,23
43,1,5:39.0,Miami full timeout,,19,23
44,1,5:39.0,D. Wade enters the game for J. Richardson,,19,23
45,1,5:39.0,,G. Green enters the game for G. Clark,19,23
46,1,5:39.0,,A. Rivers enters the game for C. Paul,19,23
47,1,5:23.0,K. Olynyk makes 2-pt layup from 2 ft (assist by D. Waiters),,21,23
48,1,5:00.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by J. Harden),21,26
49,1,4:35.0,D. Waiters makes 2-pt jump shot from 19 ft,,23,26
50,1,4:19.0,,G. Green misses 3-pt jump shot from 25 ft,23,26
51,1,4:18.0,,Offensive rebound by Team,23,26
52,1,4:18.0,Loose ball foul by K. Olynyk (drawn by C. Capela),,23,26
53,1,4:18.0,D. Jones enters the game for K. Olynyk,,23,26
54,1,4:05.0,,J. Harden makes 3-pt jump shot from 30 ft (assist by A. Rivers),23,29
55,1,3:35.0,D. Wade misses 2-pt jump shot from 15 ft,,23,29
56,1,3:35.0,,Defensive rebound by J. Harden,23,29
57,1,3:27.0,,Shooting foul by D. Jones (drawn by J. Harden),23,29
