,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
0,1,11:48.0,,T. Young misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by J. Lamb,,0,0
2,1,11:38.0,Personal foul by K. Huerter (drawn by J. Lamb),,0,0
3,1,11:32.0,M. Williams makes 3-pt jump shot from 26 ft (assist by C. Zeller),,3,0
4,1,11:13.0,,D. Dedmon misses 3-pt jump shot from 26 ft,3,0
5,1,11:09.0,Defensive rebound by N. Batum,,3,0
6,1,11:04.0,Turnover by N. Batum (bad pass; steal by K. Huerter),,3,0
7,1,11:00.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),3,3
8,1,10:41.0,N. Batum misses 3-pt jump shot from 25 ft,,3,3
9,1,10:39.0,,Defensive rebound by J. Collins,3,3
10,1,10:31.0,,T. Prince misses 3-pt jump shot from 22 ft,3,3
11,1,10:28.0,Defensive rebound by J. Lamb,,3,3
12,1,10:18.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,6,3
13,1,9:59.0,,Turnover by T. Young (bad pass; steal by J. Lamb),6,3
14,1,9:54.0,N. Batum makes 2-pt dunk from 1 ft (assist by J. Lamb),,8,3
15,1,9:54.0,,Atlanta full timeout,8,3
16,1,9:47.0,,Turnover by T. Prince (traveling),8,3
17,1,9:36.0,Offensive foul by N. Batum (drawn by T. Prince),,8,3
18,1,9:36.0,Turnover by N. Batum (offensive foul),,8,3
19,1,9:30.0,,T. Young makes 3-pt jump shot from 28 ft,8,6
20,1,9:17.0,M. Williams misses 3-pt jump shot from 25 ft,,8,6
21,1,9:15.0,,Defensive rebound by Team,8,6
22,1,9:06.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),8,8
23,1,8:42.0,Shooting foul by J. Collins (drawn by K. Walker),,8,8
24,1,8:42.0,K. Walker makes free throw 1 of 2,,9,8
25,1,8:42.0,K. Walker makes free throw 2 of 2,,10,8
26,1,8:28.0,,T. Young makes 2-pt layup from 1 ft,10,10
27,1,8:19.0,Offensive foul by K. Walker (drawn by T. Prince),,10,10
28,1,8:19.0,Turnover by K. Walker (offensive foul),,10,10
29,1,8:11.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),10,12
30,1,7:53.0,C. Zeller makes 2-pt jump shot from 10 ft (assist by K. Walker),,12,12
31,1,7:44.0,,T. Young makes 3-pt jump shot from 31 ft,12,15
32,1,7:30.0,K. Walker makes 3-pt jump shot from 25 ft,,15,15
33,1,7:09.0,,T. Prince misses 2-pt jump shot from 11 ft,15,15
34,1,7:07.0,Defensive rebound by C. Zeller,,15,15
35,1,7:01.0,Personal foul by J. Collins (drawn by K. Walker),,15,15
36,1,7:01.0,,K. Bazemore enters the game for J. Collins,15,15
37,1,7:01.0,,A. Len enters the game for D. Dedmon,15,15
38,1,7:01.0,,O. Spellman enters the game for T. Prince,15,15
39,1,6:55.0,Shooting foul by A. Len (drawn by C. Zeller),,15,15
40,1,6:55.0,C. Zeller makes free throw 1 of 2,,16,15
41,1,6:55.0,C. Zeller makes free throw 2 of 2,,17,15
42,1,6:39.0,,T. Young misses 2-pt jump shot from 8 ft,17,15
43,1,6:35.0,Defensive rebound by K. Walker,,17,15
44,1,6:33.0,Shooting foul by O. Spellman (drawn by M. Williams),,17,15
45,1,6:33.0,M. Williams makes free throw 1 of 2,,18,15
46,1,6:33.0,,D. Bembry enters the game for K. Huerter,18,15
47,1,6:33.0,,J. Lin enters the game for T. Young,18,15
48,1,6:33.0,M. Williams makes free throw 2 of 2,,19,15
49,1,6:20.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by J. Lin),19,18
50,1,6:01.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by K. Walker),,22,18
