,QUARTER,TIME_REMAINING,INDIANA_ACTION,MIAMI_ACTION,INDIANA_SCORE,MIAMI_SCORE
0,1,11:38.0,D. Collison misses 2-pt jump shot from 17 ft,,0,0
1,1,11:35.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:18.0,,J. Richardson makes 3-pt jump shot from 29 ft (assist by J. Winslow),0,3
3,1,11:03.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),,2,3
4,1,10:46.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Richardson),2,5
5,1,10:46.0,,Shooting foul by M. Turner (drawn by H. Whiteside),2,5
6,1,10:46.0,,H. Whiteside makes free throw 1 of 1,2,6
7,1,10:32.0,T. Young misses 2-pt hook shot from 5 ft,,2,6
8,1,10:30.0,Offensive rebound by T. Young,,2,6
9,1,10:29.0,T. Young misses 2-pt hook shot from 4 ft (block by H. Whiteside),,2,6
10,1,10:25.0,,Defensive rebound by J. Richardson,2,6
11,1,10:23.0,,T. Johnson misses 3-pt jump shot from 25 ft,2,6
12,1,10:20.0,Defensive rebound by C. Joseph,,2,6
13,1,10:15.0,D. Collison makes 2-pt layup from 2 ft (assist by C. Joseph),,4,6
14,1,9:54.0,,Turnover by J. Winslow (bad pass; steal by T. Young),4,6
15,1,9:53.0,Personal take foul by J. Johnson (drawn by T. Young),,4,6
16,1,9:38.0,B. Bogdanović makes 2-pt layup from 2 ft,,6,6
17,1,9:19.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by J. Richardson),6,9
18,1,9:04.0,D. Collison misses 2-pt jump shot from 7 ft (block by T. Johnson),,6,9
19,1,9:03.0,,Defensive rebound by T. Johnson,6,9
20,1,8:53.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Johnson),6,11
21,1,8:34.0,T. Young misses 2-pt jump shot from 17 ft,,6,11
22,1,8:31.0,Offensive rebound by C. Joseph,,6,11
