,QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
0,1,11:48.0,,Turnover by J. Murray (bad pass; steal by K. Olynyk),0,0
1,1,11:39.0,H. Whiteside makes 2-pt layup from 1 ft (assist by K. Olynyk),,2,0
2,1,11:29.0,,Turnover by J. Murray (bad pass; steal by K. Olynyk),2,0
3,1,11:24.0,K. Olynyk makes 2-pt layup from 2 ft,,4,0
4,1,11:13.0,,Denver full timeout,4,0
5,1,11:02.0,,N. Jokić misses 2-pt layup from 2 ft,4,0
6,1,10:59.0,,Offensive rebound by M. Plumlee,4,0
7,1,10:59.0,,M. Plumlee makes 2-pt dunk from 1 ft,4,2
8,1,10:46.0,Shooting foul by W. Barton (drawn by J. Richardson),,4,2
9,1,10:46.0,J. Richardson makes free throw 1 of 2,,5,2
10,1,10:46.0,J. Richardson makes free throw 2 of 2,,6,2
11,1,10:29.0,,M. Plumlee makes 2-pt hook shot from 5 ft (assist by N. Jokić),6,4
12,1,10:08.0,J. Richardson misses 3-pt jump shot from 24 ft,,6,4
13,1,10:05.0,,Defensive rebound by M. Plumlee,6,4
14,1,9:58.0,,M. Beasley makes 2-pt jump shot from 5 ft (assist by M. Plumlee),6,6
15,1,9:40.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by K. Olynyk),,9,6
16,1,9:22.0,,W. Barton misses 3-pt jump shot from 25 ft,9,6
17,1,9:18.0,Defensive rebound by H. Whiteside,,9,6
18,1,9:03.0,J. Winslow misses 3-pt jump shot from 24 ft,,9,6
19,1,8:59.0,Offensive rebound by K. Olynyk,,9,6
20,1,8:50.0,K. Olynyk misses 3-pt jump shot from 24 ft,,9,6
21,1,8:42.0,,Defensive rebound by N. Jokić,9,6
22,1,8:37.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by W. Barton),9,9
23,1,8:27.0,Personal foul by M. Beasley (drawn by J. Richardson),,9,9
24,1,8:16.0,K. Olynyk misses 2-pt jump shot from 5 ft,,9,9
25,1,8:15.0,,Defensive rebound by N. Jokić,9,9
26,1,8:09.0,,N. Jokić makes 2-pt jump shot from 5 ft,9,11
27,1,7:48.0,H. Whiteside misses 2-pt jump shot from 7 ft,,9,11
28,1,7:43.0,Offensive rebound by K. Olynyk,,9,11
29,1,7:43.0,K. Olynyk misses 2-pt layup at rim,,9,11
30,1,7:43.0,,Defensive rebound by N. Jokić,9,11
31,1,7:41.0,,Shooting foul by J. Richardson (drawn by N. Jokić),9,11
32,1,7:41.0,,N. Jokić makes free throw 1 of 2,9,12
33,1,7:41.0,,N. Jokić makes free throw 2 of 2,9,13
34,1,7:18.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by D. Waiters),,12,13
35,1,6:57.0,,J. Murray misses 3-pt jump shot from 25 ft,12,13
36,1,6:55.0,Defensive rebound by H. Whiteside,,12,13
37,1,6:45.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,15,13
38,1,6:28.0,,W. Barton makes 2-pt jump shot from 17 ft (assist by M. Plumlee),15,15
39,1,6:10.0,K. Olynyk misses 2-pt layup from 3 ft (block by M. Plumlee),,15,15
40,1,6:08.0,,Defensive rebound by N. Jokić,15,15
41,1,6:04.0,,M. Plumlee misses 2-pt dunk from 2 ft,15,15
42,1,6:02.0,Defensive rebound by J. Richardson,,15,15
43,1,5:51.0,J. Winslow misses 2-pt jump shot from 7 ft,,15,15
44,1,5:50.0,Offensive rebound by H. Whiteside,,15,15
45,1,5:48.0,K. Olynyk misses 3-pt jump shot from 23 ft,,15,15
46,1,5:47.0,,Defensive rebound by N. Jokić,15,15
47,1,5:36.0,,N. Jokić makes 2-pt jump shot from 6 ft,15,17
48,1,5:27.0,Miami full timeout,,15,17
49,1,5:27.0,D. Wade enters the game for J. Richardson,,15,17
50,1,5:27.0,,T. Craig enters the game for W. Barton,15,17
51,1,5:27.0,,P. Millsap enters the game for J. Murray,15,17
52,1,5:27.0,,M. Morris enters the game for M. Plumlee,15,17
53,1,5:15.0,J. Winslow misses 3-pt jump shot from 23 ft,,15,17
54,1,5:10.0,,Defensive rebound by P. Millsap,15,17
55,1,5:05.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Beasley),15,20
56,1,4:39.0,K. Olynyk makes 2-pt jump shot from 12 ft,,17,20
57,1,4:22.0,,M. Morris makes 2-pt jump shot from 6 ft,17,22
58,1,4:22.0,B. Adebayo enters the game for K. Olynyk,,17,22
59,1,4:22.0,J. Johnson enters the game for H. Whiteside,,17,22
60,1,4:22.0,R. McGruder enters the game for J. Winslow,,17,22
61,1,4:03.0,D. Wade makes 2-pt jump shot from 8 ft (assist by B. Adebayo),,19,22
