,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA CLIPPERS_ACTION,NEW YORK_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,D. Gallinari makes 2-pt dunk from 3 ft,0,2
1,1,11:12.0,D. Smith makes 2-pt layup from 2 ft,,2,2
2,1,11:01.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Smith),2,2
3,1,10:57.0,D. Smith makes 2-pt layup from 1 ft (assist by L. Thomas),,4,2
4,1,10:44.0,,I. Zubac misses 2-pt layup from 3 ft (block by D. Smith),4,2
5,1,10:41.0,Defensive rebound by D. Dotson,,4,2
6,1,10:38.0,D. Smith misses 3-pt jump shot from 28 ft,,4,2
7,1,10:34.0,,Defensive rebound by I. Zubac,4,2
8,1,10:28.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),4,4
9,1,10:13.0,L. Thomas misses 2-pt jump shot from 20 ft,,4,4
10,1,10:09.0,,Defensive rebound by L. Shamet,4,4
11,1,9:57.0,,Turnover by I. Zubac (lost ball; steal by K. Knox),4,4
12,1,9:49.0,K. Knox misses 3-pt jump shot from 27 ft,,4,4
13,1,9:45.0,,Defensive rebound by P. Beverley,4,4
14,1,9:39.0,,D. Gallinari misses 3-pt jump shot from 25 ft,4,4
15,1,9:36.0,Defensive rebound by N. Vonleh,,4,4
16,1,9:30.0,D. Dotson misses 2-pt layup from 4 ft,,4,4
17,1,9:27.0,D. Dotson misses 2-pt layup at rim,,4,4
18,1,9:27.0,Offensive rebound by D. Dotson,,4,4
19,1,9:27.0,,Defensive rebound by D. Gallinari,4,4
20,1,9:21.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,4,4
21,1,9:21.0,,Offensive rebound by I. Zubac,4,4
22,1,9:16.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by I. Zubac),4,7
23,1,8:57.0,K. Knox misses 2-pt jump shot from 22 ft,,4,7
24,1,8:53.0,,Defensive rebound by P. Beverley,4,7
25,1,8:50.0,,Personal foul by D. Dotson (drawn by P. Beverley),4,7
26,1,8:36.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Gallinari),4,10
27,1,8:30.0,New York full timeout,,4,10
28,1,8:20.0,L. Thomas misses 2-pt jump shot from 17 ft,,4,10
29,1,8:17.0,,Defensive rebound by P. Beverley,4,10
30,1,7:58.0,,D. Gallinari makes 2-pt jump shot from 18 ft,4,12
31,1,7:39.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by L. Thomas),,7,12
32,1,7:12.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),7,15
33,1,7:03.0,D. Dotson misses 3-pt jump shot from 26 ft,,7,15
34,1,7:01.0,,Defensive rebound by D. Gallinari,7,15
35,1,6:51.0,,Personal foul by D. Smith (drawn by D. Gallinari),7,15
36,1,6:51.0,M. Robinson enters the game for L. Thomas,,7,15
37,1,6:51.0,A. Trier enters the game for N. Vonleh,,7,15
38,1,6:37.0,,D. Gallinari misses 3-pt jump shot from 27 ft,7,15
39,1,6:33.0,,Offensive rebound by I. Zubac,7,15
40,1,6:33.0,,I. Zubac misses 2-pt layup from 1 ft,7,15
41,1,6:33.0,Defensive rebound by M. Robinson,,7,15
42,1,6:24.0,D. Smith misses 2-pt layup from 2 ft,,7,15
43,1,6:19.0,,Defensive rebound by L. Shamet,7,15
44,1,6:17.0,,L. Shamet misses 3-pt jump shot from 30 ft,7,15
45,1,6:17.0,Defensive rebound by D. Dotson,,7,15
46,1,6:09.0,D. Dotson misses 2-pt jump shot from 20 ft,,7,15
47,1,6:06.0,,Defensive rebound by P. Beverley,7,15
48,1,6:01.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 27 ft (assist by P. Beverley),7,18
49,1,5:57.0,New York full timeout,,7,18
50,1,5:57.0,E. Mudiay enters the game for D. Smith,,7,18
51,1,5:45.0,Personal foul by S. Gilgeous-Alexander (drawn by E. Mudiay),,7,18
52,1,5:34.0,A. Trier makes 3-pt jump shot from 27 ft,,10,18
53,1,5:13.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Gallinari),10,21
54,1,4:57.0,Turnover by A. Trier (out of bounds lost ball),,10,21
55,1,4:48.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. Beverley),10,24
56,1,4:27.0,K. Knox misses 2-pt jump shot from 13 ft,,10,24
