,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:39.0,,K. Knox makes 2-pt jump shot from 9 ft (assist by T. Hardaway),0,2
1,1,11:24.0,D. Dedmon misses 3-pt jump shot from 24 ft,,0,2
2,1,11:22.0,,Defensive rebound by N. Vonleh,0,2
3,1,11:14.0,,Shooting foul by J. Collins (drawn by N. Vonleh),0,2
4,1,11:14.0,,N. Vonleh misses free throw 1 of 2,0,2
5,1,11:14.0,,Offensive rebound by Team,0,2
6,1,11:14.0,,N. Vonleh makes free throw 2 of 2,0,3
7,1,10:58.0,K. Bazemore makes 2-pt layup from 1 ft,,2,3
8,1,10:43.0,,N. Vonleh makes 2-pt layup from 4 ft (assist by T. Hardaway),2,5
9,1,10:28.0,Turnover by K. Huerter (bad pass; steal by K. Knox),,2,5
10,1,10:22.0,,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),2,7
11,1,10:05.0,Turnover by K. Bazemore (traveling),,2,7
12,1,9:54.0,,E. Mudiay misses 2-pt layup from 1 ft,2,7
13,1,9:53.0,Defensive rebound by J. Collins,,2,7
14,1,9:41.0,K. Bazemore makes 2-pt layup from 2 ft (assist by T. Young),,4,7
15,1,9:41.0,Shooting foul by E. Freedom (drawn by K. Bazemore),,4,7
16,1,9:41.0,K. Bazemore makes free throw 1 of 1,,5,7
17,1,9:28.0,,Personal foul by D. Dedmon (drawn by E. Freedom),5,7
18,1,9:16.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by E. Freedom),5,10
19,1,9:10.0,K. Huerter misses 3-pt jump shot from 23 ft,,5,10
20,1,9:08.0,,Defensive rebound by N. Vonleh,5,10
21,1,9:01.0,,K. Knox misses 3-pt jump shot from 26 ft,5,10
22,1,8:59.0,Defensive rebound by J. Collins,,5,10
23,1,8:54.0,K. Bazemore misses 2-pt layup from 1 ft,,5,10
24,1,8:52.0,Offensive rebound by J. Collins,,5,10
25,1,8:47.0,J. Collins misses 2-pt layup from 1 ft,,5,10
26,1,8:46.0,Offensive rebound by J. Collins,,5,10
27,1,8:46.0,Shooting foul by K. Knox (drawn by J. Collins),,5,10
28,1,8:46.0,J. Collins makes free throw 1 of 2,,6,10
29,1,8:46.0,J. Collins makes free throw 2 of 2,,7,10
30,1,8:31.0,,E. Mudiay misses 3-pt jump shot from 23 ft,7,10
31,1,8:29.0,Defensive rebound by D. Dedmon,,7,10
32,1,8:20.0,T. Young misses 2-pt layup from 2 ft (block by N. Vonleh),,7,10
33,1,8:18.0,Offensive rebound by J. Collins,,7,10
34,1,8:06.0,K. Bazemore misses 3-pt jump shot from 23 ft,,7,10
35,1,8:04.0,,Defensive rebound by K. Knox,7,10
36,1,7:59.0,,E. Freedom makes 2-pt layup from 1 ft (assist by K. Knox),7,12
37,1,7:43.0,Personal foul by E. Mudiay (drawn by T. Young),,7,12
38,1,7:43.0,D. Bembry enters the game for K. Bazemore,,7,12
39,1,7:41.0,J. Collins misses 3-pt jump shot from 26 ft,,7,12
40,1,7:39.0,,Defensive rebound by K. Knox,7,12
41,1,7:28.0,,N. Vonleh misses 2-pt hook shot from 9 ft,7,12
42,1,7:26.0,Defensive rebound by T. Young,,7,12
43,1,7:19.0,D. Bembry makes 3-pt jump shot from 24 ft (assist by T. Young),,10,12
44,1,7:02.0,,E. Mudiay makes 2-pt jump shot from 12 ft,10,14
45,1,6:37.0,K. Huerter misses 2-pt layup from 1 ft,,10,14
46,1,6:36.0,,Defensive rebound by T. Hardaway,10,14
47,1,6:31.0,,K. Knox makes 2-pt layup from 1 ft (assist by T. Hardaway),10,16
48,1,6:27.0,Atlanta full timeout,,10,16
49,1,6:27.0,A. Len enters the game for D. Dedmon,,10,16
50,1,6:27.0,J. Lin enters the game for T. Young,,10,16
51,1,6:16.0,D. Bembry makes 3-pt jump shot from 23 ft (assist by J. Lin),,13,16
52,1,6:00.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by E. Mudiay),13,19
53,1,5:42.0,J. Lin makes 2-pt layup from 1 ft (assist by A. Len),,15,19
54,1,5:25.0,,E. Freedom misses 2-pt layup from 2 ft,15,19
55,1,5:23.0,Defensive rebound by A. Len,,15,19
56,1,5:18.0,A. Len misses 2-pt jump shot from 19 ft,,15,19
57,1,5:16.0,,Defensive rebound by E. Freedom,15,19
58,1,5:03.0,,N. Vonleh misses 3-pt jump shot from 27 ft,15,19
59,1,5:01.0,Defensive rebound by J. Lin,,15,19
60,1,4:54.0,J. Collins makes 2-pt layup at rim (assist by J. Lin),,17,19
61,1,4:39.0,,K. Knox makes 3-pt jump shot from 27 ft,17,22
62,1,4:15.0,K. Huerter makes 2-pt jump shot from 12 ft (assist by A. Len),,19,22
63,1,4:04.0,,E. Mudiay makes 3-pt jump shot from 26 ft,19,25
64,1,3:51.0,J. Collins makes 2-pt dunk at rim (assist by D. Bembry),,21,25
65,1,3:48.0,Technical foul by T. Young,,21,25
66,1,3:48.0,V. Carter enters the game for J. Collins,,21,25
67,1,3:48.0,D. Hamilton enters the game for K. Huerter,,21,25
68,1,3:48.0,,F. Ntilikina enters the game for E. Freedom,21,25
69,1,3:48.0,,L. Thomas enters the game for E. Mudiay,21,25
70,1,3:48.0,,T. Hardaway makes technical free throw,21,26
71,1,3:37.0,,L. Thomas makes 2-pt jump shot from 18 ft (assist by F. Ntilikina),21,28
72,1,3:16.0,V. Carter misses 3-pt jump shot from 27 ft,,21,28
73,1,3:14.0,,Defensive rebound by K. Knox,21,28
74,1,3:07.0,,K. Knox makes 2-pt jump shot from 18 ft,21,30
75,1,2:50.0,J. Lin makes 2-pt jump shot from 9 ft,,23,30
76,1,2:37.0,,T. Hardaway misses 3-pt jump shot from 23 ft,23,30
77,1,2:35.0,Defensive rebound by J. Lin,,23,30
78,1,2:29.0,J. Lin misses 3-pt jump shot from 26 ft,,23,30
79,1,2:27.0,,Defensive rebound by K. Knox,23,30
80,1,2:15.0,,Shooting foul by D. Hamilton (drawn by T. Hardaway),23,30
81,1,2:15.0,,New York full timeout,23,30
82,1,2:15.0,,T. Hardaway makes free throw 1 of 3,23,31
83,1,2:15.0,,T. Hardaway makes free throw 2 of 3,23,32
84,1,2:15.0,,T. Hardaway misses free throw 3 of 3,23,32
85,1,2:13.0,Defensive rebound by V. Carter,,23,32
86,1,2:03.0,Personal foul by L. Thomas (drawn by A. Len),,23,32
87,1,2:03.0,,D. Dotson enters the game for T. Hardaway,23,32
88,1,2:00.0,Personal foul by F. Ntilikina (drawn by J. Lin),,23,32
89,1,2:00.0,J. Lin misses free throw 1 of 2,,23,32
90,1,2:00.0,Offensive rebound by Team,,23,32
91,1,2:00.0,J. Lin makes free throw 2 of 2,,24,32
