,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
0,1,11:43.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by M. Bridges),0,3
1,1,11:25.0,J. Richardson makes 3-pt jump shot from 22 ft (assist by G. Dragić),,3,3
2,1,11:14.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by D. Ayton),3,6
3,1,11:02.0,Turnover by G. Dragić (step out of bounds),,3,6
4,1,10:54.0,,Personal foul by B. Adebayo (drawn by D. Ayton),3,6
5,1,10:39.0,,J. Jackson misses 2-pt jump shot from 9 ft,3,6
6,1,10:37.0,Defensive rebound by B. Adebayo,,3,6
7,1,10:31.0,J. Richardson misses 3-pt jump shot from 26 ft,,3,6
8,1,10:29.0,,Defensive rebound by T. Ariza,3,6
9,1,10:21.0,,D. Melton misses 2-pt jump shot from 10 ft,3,6
10,1,10:17.0,Defensive rebound by G. Dragić,,3,6
11,1,10:12.0,Personal foul by M. Bridges (drawn by J. Richardson),,3,6
12,1,10:00.0,J. Johnson makes 2-pt layup from 1 ft,,5,6
13,1,9:42.0,,D. Ayton makes 2-pt jump shot from 9 ft (assist by J. Jackson),5,8
14,1,9:27.0,G. Dragić misses 2-pt layup from 1 ft,,5,8
15,1,9:26.0,,Defensive rebound by D. Melton,5,8
16,1,9:21.0,,Turnover by J. Jackson (out of bounds lost ball),5,8
17,1,9:12.0,B. Adebayo makes 2-pt layup from 1 ft (assist by G. Dragić),,7,8
18,1,9:12.0,Shooting foul by D. Ayton (drawn by B. Adebayo),,7,8
19,1,9:12.0,B. Adebayo misses free throw 1 of 1,,7,8
20,1,9:12.0,,Defensive rebound by T. Ariza,7,8
21,1,9:00.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Bridges),7,10
22,1,8:47.0,Shooting foul by D. Melton (drawn by B. Adebayo),,7,10
23,1,8:47.0,B. Adebayo makes free throw 1 of 2,,8,10
24,1,8:47.0,B. Adebayo makes free throw 2 of 2,,9,10
25,1,8:35.0,,D. Ayton misses 2-pt dunk at rim (block by J. Johnson),9,10
26,1,8:33.0,,Offensive rebound by T. Ariza,9,10
27,1,8:24.0,,D. Ayton makes 2-pt layup at rim (assist by M. Bridges),9,12
28,1,8:12.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),,11,12
29,1,7:56.0,,M. Bridges misses 3-pt jump shot from 24 ft,11,12
30,1,7:56.0,Defensive rebound by Team,,11,12
31,1,7:48.0,G. Dragić misses 2-pt jump shot from 13 ft,,11,12
32,1,7:46.0,Offensive rebound by B. Adebayo,,11,12
33,1,7:46.0,Shooting foul by D. Melton (drawn by B. Adebayo),,11,12
34,1,7:46.0,B. Adebayo makes free throw 1 of 2,,12,12
35,1,7:46.0,B. Adebayo makes free throw 2 of 2,,13,12
36,1,7:30.0,,T. Ariza makes 2-pt jump shot from 8 ft,13,14
37,1,7:11.0,J. Richardson makes 2-pt jump shot from 21 ft,,15,14
38,1,6:59.0,,Turnover by D. Melton (bad pass; steal by G. Dragić),15,14
